Tech,Geo class,Depth,Year,Cap cost 1000$/MW,Fixed O&M 1000$/MW-yr,Var O&M $/MWh
egs,9,nearfield,2022,13270.91653,349.219675,0
egs,10,nearfield,2022,15429.6875,392.4875,0
geohydro,1,allkm,2022,2422.405264,95.77664072,0
geohydro,2,allkm,2022,3119.296988,111.0585412,0
geohydro,3,allkm,2022,3455.675765,119.8302111,0
geohydro,4,allkm,2022,3923.327241,130.7689085,0
geohydro,5,allkm,2022,3728.640842,132.0905259,0
geohydro,6,allkm,2022,4468.252255,154.1914614,0
geohydro,7,allkm,2022,5163.057742,171.4045512,0
geohydro,8,allkm,2022,6780.770135,223.9611239,0
geohydro,9,allkm,2022,10037.09397,306.9623395,0
geohydro,10,allkm,2022,18605.38583,545.3341639,0
egs,1,allkm,2023,8758.323201,170.081511,0
egs,2,allkm,2023,9235.410221,187.0318192,0
egs,3,allkm,2023,9335.626778,197.8512805,0
egs,4,allkm,2023,9500.742514,210.3694955,0
egs,5,allkm,2023,10754.07857,239.3157878,0
egs,6,allkm,2023,12545.84613,281.0021977,0
egs,7,allkm,2023,14473.42611,288.3656575,0
egs,8,allkm,2023,17520.91739,360.3808778,0
egs,9,allkm,2023,22061.80983,470.446471,0
egs,10,allkm,2023,25841.04079,528.6223077,0
egs,1,nearfield,2023,4663.042461,136.5197008,0
egs,2,nearfield,2023,4496.249878,138.6344814,0
egs,3,nearfield,2023,4988.074448,148.8855407,0
egs,4,nearfield,2023,5256.229625,164.917215,0
egs,5,nearfield,2023,4789.336721,159.1710245,0
egs,6,nearfield,2023,6156.827931,205.7969847,0
egs,7,nearfield,2023,7969.377121,230.2010851,0
egs,8,nearfield,2023,9183.32666,264.4510113,0
egs,9,nearfield,2023,12099.07303,337.3181087,0
egs,10,nearfield,2023,14039.54522,380.2694231,0
geohydro,1,allkm,2023,2410.170367,95.82262807,0
geohydro,2,allkm,2023,3066.718029,110.7522883,0
geohydro,3,allkm,2023,3389.615942,119.3838712,0
