r,rr,AC,DC,Source,Project(s),Vintage
p3,p69,,1907.27,1.5x geodesic distance,combinatorial,
p3,p7,,378.89,1.5x geodesic distance,combinatorial,
p3,p70,,1861.02,1.5x geodesic distance,combinatorial,
p3,p71,,2002.51,1.5x geodesic distance,combinatorial,
p3,p72,,2247.34,1.5x geodesic distance,combinatorial,
p3,p73,,2184.83,1.5x geodesic distance,combinatorial,
p3,p74,,2113.18,1.5x geodesic distance,combinatorial,
p3,p75,,2131.9,1.5x geodesic distance,combinatorial,
p3,p76,,2112.95,1.5x geodesic distance,combinatorial,
p3,p77,,1975.88,1.5x geodesic distance,combinatorial,
p3,p78,,2088.09,1.5x geodesic distance,combinatorial,
p3,p79,,2192.29,1.5x geodesic distance,combinatorial,
p3,p8,,751.46,1.5x geodesic distance,combinatorial,
p3,p80,,2256.22,1.5x geodesic distance,combinatorial,
p3,p81,,2078.16,1.5x geodesic distance,combinatorial,
p3,p82,,2176.39,1.5x geodesic distance,combinatorial,
p3,p83,,2307.42,1.5x geodesic distance,combinatorial,
p3,p84,,2348.87,1.5x geodesic distance,combinatorial,
p3,p85,,2357.64,1.5x geodesic distance,combinatorial,
p3,p86,,2530.73,1.5x geodesic distance,combinatorial,
p3,p87,,2665.79,1.5x geodesic distance,combinatorial,
p3,p88,,2623.32,1.5x geodesic distance,combinatorial,
p3,p89,,2795.19,1.5x geodesic distance,combinatorial,
p3,p9,,1093.21,1.5x geodesic distance,combinatorial,
p3,p90,,2917.76,1.5x geodesic distance,combinatorial,
p3,p91,,2989.15,1.5x geodesic distance,combinatorial,
p3,p92,,2628.31,1.5x geodesic distance,combinatorial,
p3,p93,,2600.86,1.5x geodesic distance,combinatorial,
p3,p94,,2935.77,1.5x geodesic distance,combinatorial,
p3,p95,,3006.35,1.5x geodesic distance,combinatorial,
p3,p96,,3300.78,1.5x geodesic distance,combinatorial,
p3,p97,,3091.47,1.5x geodesic distance,combinatorial,
p3,p98,,3205.83,1.5x geodesic distance,combinatorial,
p3,p99,,3331.7,1.5x geodesic distance,combinatorial,
p30,p1,,1828.93,1.5x geodesic distance,combinatorial,
p30,p10,,660.39,1.5x geodesic distance,combinatorial,
p30,p100,,2836.52,1.5x geodesic distance,combinatorial,
p30,p101,,2584.68,1.5x geodesic distance,combinatorial,
p30,p102,,2852.39,1.5x geodesic distance,combinatorial,
p30,p103,,2511.23,1.5x geodesic distance,combinatorial,
p30,p104,,2325.84,1.5x geodesic distance,combinatorial,
p30,p105,,2324.89,1.5x geodesic distance,combinatorial,
p30,p106,,2210.7,1.5x geodesic distance,combinatorial,
p30,p107,,2064.72,1.5x geodesic distance,combinatorial,
p30,p108,,2097.21,1.5x geodesic distance,combinatorial,
p30,p109,,2214.57,1.5x geodesic distance,combinatorial,
p30,p11,,554.43,1.5x geodesic distance,combinatorial,
p30,p110,,2468.92,1.5x geodesic distance,combinatorial,
p30,p111,,2593.97,1.5x geodesic distance,combinatorial,
p30,p112,,2463.91,1.5x geodesic distance,combinatorial,
p30,p113,,2364.69,1.5x geodesic distance,combinatorial,
p30,p114,,2333.5,1.5x geodesic distance,combinatorial,
p30,p115,,2705.57,1.5x geodesic distance,combinatorial,
p30,p116,,2565.69,1.5x geodesic distance,combinatorial,
p30,p117,,2549.35,1.5x geodesic distance,combinatorial,
p30,p118,,2680.66,1.5x geodesic distance,combinatorial,
p30,p119,,2878.04,1.5x geodesic distance,combinatorial,
p30,p12,,1065.83,1.5x geodesic distance,combinatorial,
p30,p120,,2884.97,1.5x geodesic distance,combinatorial,
p30,p121,,2876.22,1.5x geodesic distance,combinatorial,
p30,p122,,3081.83,1.5x geodesic distance,combinatorial,
p30,p123,,2927.63,1.5x geodesic distance,combinatorial,
p30,p124,,3027.55,1.5x geodesic distance,combinatorial,
p30,p125,,3049.1,1.5x geodesic distance,combinatorial,
p30,p126,,3117.3,1.5x geodesic distance,combinatorial,
p30,p127,,3218.97,1.5x geodesic distance,combinatorial,
p30,p128,,3238.48,1.5x geodesic distance,combinatorial,
p30,p129,,3286.35,1.5x geodesic distance,combinatorial,
p30,p13,,556.45,1.5x geodesic distance,combinatorial,
p30,p130,,3396.43,1.5x geodesic distance,combinatorial,
p30,p131,,3419.38,1.5x geodesic distance,combinatorial,
p30,p132,,3245.55,1.5x geodesic distance,combinatorial,
p30,p133,,3388.92,1.5x geodesic distance,combinatorial,
p30,p134,,3501.63,1.5x geodesic distance,combinatorial,
p30,p14,,1549.4,1.5x geodesic distance,combinatorial,
p30,p15,,1257.28,1.5x geodesic distance,combinatorial,
p30,p16,,1168.58,1.5x geodesic distance,combinatorial,
p30,p17,,1537.48,1.5x geodesic distance,combinatorial,
p30,p18,,1583.02,1.5x geodesic distance,combinatorial,
p30,p19,,1687,1.5x geodesic distance,combinatorial,
p30,p2,,1675.96,1.5x geodesic distance,combinatorial,
p30,p20,,1417.91,1.5x geodesic distance,combinatorial,
p30,p21,,1137.99,1.5x geodesic distance,combinatorial,
p30,p22,,1301.36,1.5x geodesic distance,combinatorial,
p30,p23,,1323.66,1.5x geodesic distance,combinatorial,
p30,p24,,1052.71,1.5x geodesic distance,combinatorial,
p30,p25,,890.61,1.5x geodesic distance,combinatorial,
p30,p26,,860.68,1.5x geodesic distance,combinatorial,
p30,p3,,1681.1,1.5x geodesic distance,combinatorial,
p30,p31,,474.04,1.5x geodesic distance,combinatorial,
p30,p32,,1377.18,1.5x geodesic distance,combinatorial,
p30,p33,,923.38,1.5x geodesic distance,combinatorial,
p30,p34,,859.53,1.5x geodesic distance,combinatorial,
p30,p35,,1523.84,1.5x geodesic distance,combinatorial,
p30,p36,,1711.19,1.5x geodesic distance,combinatorial,
p30,p37,,1886.12,1.5x geodesic distance,combinatorial,
p30,p38,,1646.38,1.5x geodesic distance,combinatorial,
p30,p39,,1164.32,1.5x geodesic distance,combinatorial,
p30,p4,,1681.37,1.5x geodesic distance,combinatorial,
p30,p40,,1378.06,1.5x geodesic distance,combinatorial,
p30,p41,,1548.15,1.5x geodesic distance,combinatorial,
p30,p42,,1974.84,1.5x geodesic distance,combinatorial,
p30,p43,,1940.92,1.5x geodesic distance,combinatorial,
p30,p44,,1760.3,1.5x geodesic distance,combinatorial,
p30,p45,,1680.75,1.5x geodesic distance,combinatorial,
p30,p46,,1998.03,1.5x geodesic distance,combinatorial,
p30,p47,,569.33,1.5x geodesic distance,combinatorial,
p30,p48,,798.35,1.5x geodesic distance,combinatorial,
p30,p49,,929.07,1.5x geodesic distance,combinatorial,
p30,p5,,1671.63,1.5x geodesic distance,combinatorial,
p30,p50,,1200.77,1.5x geodesic distance,combinatorial,
p30,p51,,1346.33,1.5x geodesic distance,combinatorial,
p30,p52,,1039.24,1.5x geodesic distance,combinatorial,
p30,p53,,1284.88,1.5x geodesic distance,combinatorial,
p30,p54,,1545.51,1.5x geodesic distance,combinatorial,
p30,p55,,1583.42,1.5x geodesic distance,combinatorial,
p30,p56,,1490.74,1.5x geodesic distance,combinatorial,
p30,p57,,1416.01,1.5x geodesic distance,combinatorial,
p30,p58,,1865.03,1.5x geodesic distance,combinatorial,
p30,p59,,388.25,1.5x geodesic distance,combinatorial,
p30,p6,,1438.35,1.5x geodesic distance,combinatorial,
p30,p60,,827.07,1.5x geodesic distance,combinatorial,
p30,p61,,721.47,1.5x geodesic distance,combinatorial,
p30,p62,,751.31,1.5x geodesic distance,combinatorial,
p30,p63,,1231.2,1.5x geodesic distance,combinatorial,
p30,p64,,1183.65,1.5x geodesic distance,combinatorial,
p30,p65,,1138.39,1.5x geodesic distance,combinatorial,
p30,p66,,1506.71,1.5x geodesic distance,combinatorial,
p30,p67,,1404.43,1.5x geodesic distance,combinatorial,
p30,p68,,1846.07,1.5x geodesic distance,combinatorial,
p30,p69,,1858.42,1.5x geodesic distance,combinatorial,
p30,p7,,1318.67,1.5x geodesic distance,combinatorial,
p30,p70,,1726.55,1.5x geodesic distance,combinatorial,
p30,p71,,1738.04,1.5x geodesic distance,combinatorial,
p30,p72,,1864.99,1.5x geodesic distance,combinatorial,
p30,p73,,1726.59,1.5x geodesic distance,combinatorial,
p30,p74,,2383.86,1.5x geodesic distance,combinatorial,
p30,p75,,2246.25,1.5x geodesic distance,combinatorial,
p30,p76,,2207.51,1.5x geodesic distance,combinatorial,
p30,p77,,2055.28,1.5x geodesic distance,combinatorial,
p30,p78,,2085.46,1.5x geodesic distance,combinatorial,
p30,p79,,2186.99,1.5x geodesic distance,combinatorial,
p30,p8,,1335.43,1.5x geodesic distance,combinatorial,
p30,p80,,2152.45,1.5x geodesic distance,combinatorial,
p30,p81,,1938.69,1.5x geodesic distance,combinatorial,
p30,p82,,1971.74,1.5x geodesic distance,combinatorial,
p30,p83,,2063.28,1.5x geodesic distance,combinatorial,
p30,p84,,1812.3,1.5x geodesic distance,combinatorial,
p30,p85,,1626.76,1.5x geodesic distance,combinatorial,
p30,p86,,1645.08,1.5x geodesic distance,combinatorial,
p30,p87,,1815.88,1.5x geodesic distance,combinatorial,
p30,p88,,1935.38,1.5x geodesic distance,combinatorial,
p30,p89,,2099.18,1.5x geodesic distance,combinatorial,
p30,p9,,1135.69,1.5x geodesic distance,combinatorial,
p30,p90,,2026.15,1.5x geodesic distance,combinatorial,
p30,p91,,2104.33,1.5x geodesic distance,combinatorial,
p30,p92,,2106.92,1.5x geodesic distance,combinatorial,
p30,p93,,2141.55,1.5x geodesic distance,combinatorial,
p30,p94,,2306.63,1.5x geodesic distance,combinatorial,
p30,p95,,2474.08,1.5x geodesic distance,combinatorial,
p30,p96,,2697.57,1.5x geodesic distance,combinatorial,
p30,p97,,2605.74,1.5x geodesic distance,combinatorial,
p30,p98,,2788.63,1.5x geodesic distance,combinatorial,
p30,p99,,3008.75,1.5x geodesic distance,combinatorial,
p31,p1,,1772.56,1.5x geodesic distance,combinatorial,
p31,p100,,2385.16,1.5x geodesic distance,combinatorial,
p31,p101,,2257.71,1.5x geodesic distance,combinatorial,
p31,p102,,2543.2,1.5x geodesic distance,combinatorial,
p31,p103,,2042.47,1.5x geodesic distance,combinatorial,
p31,p104,,1855.57,1.5x geodesic distance,combinatorial,
p31,p105,,1859.23,1.5x geodesic distance,combinatorial,
p31,p106,,1751.28,1.5x geodesic distance,combinatorial,
p31,p107,,1617.3,1.5x geodesic distance,combinatorial,
p31,p108,,1651.97,1.5x geodesic distance,combinatorial,
p31,p109,,1766.45,1.5x geodesic distance,combinatorial,
p31,p11,,937.67,1.5x geodesic distance,combinatorial,
p31,p110,,2028.49,1.5x geodesic distance,combinatorial,
p31,p111,,2129.24,1.5x geodesic distance,combinatorial,
p31,p112,,2005.66,1.5x geodesic distance,combinatorial,
p31,p113,,1906.94,1.5x geodesic distance,combinatorial,
p31,p114,,1879.33,1.5x geodesic distance,combinatorial,
p31,p115,,2246.6,1.5x geodesic distance,combinatorial,
p31,p116,,2112.59,1.5x geodesic distance,combinatorial,
p31,p117,,2102.43,1.5x geodesic distance,combinatorial,
p31,p118,,2242.16,1.5x geodesic distance,combinatorial,
p31,p119,,2418.22,1.5x geodesic distance,combinatorial,
p31,p12,,1179.6,1.5x geodesic distance,combinatorial,
p31,p120,,2429.51,1.5x geodesic distance,combinatorial,
p31,p121,,2422.31,1.5x geodesic distance,combinatorial,
p31,p122,,2626.57,1.5x geodesic distance,combinatorial,
p31,p123,,2478.12,1.5x geodesic distance,combinatorial,
p31,p124,,2585.51,1.5x geodesic distance,combinatorial,
p31,p125,,2598.24,1.5x geodesic distance,combinatorial,
p31,p126,,2661.05,1.5x geodesic distance,combinatorial,
p31,p127,,2753.17,1.5x geodesic distance,combinatorial,
p31,p128,,2779.77,1.5x geodesic distance,combinatorial,
p31,p129,,2815.97,1.5x geodesic distance,combinatorial,
p31,p13,,732.93,1.5x geodesic distance,combinatorial,
p31,p130,,2930.16,1.5x geodesic distance,combinatorial,
p31,p131,,2955.24,1.5x geodesic distance,combinatorial,
p31,p132,,2785.29,1.5x geodesic distance,combinatorial,
p31,p133,,2926.48,1.5x geodesic distance,combinatorial,
p31,p134,,3032.7,1.5x geodesic distance,combinatorial,
p31,p14,,1424.69,1.5x geodesic distance,combinatorial,
p31,p15,,1167.69,1.5x geodesic distance,combinatorial,
p31,p16,,967.27,1.5x geodesic distance,combinatorial,
p31,p17,,1346.11,1.5x geodesic distance,combinatorial,
p31,p18,,1332.98,1.5x geodesic distance,combinatorial,
p31,p19,,1353.95,1.5x geodesic distance,combinatorial,
p31,p2,,1609.77,1.5x geodesic distance,combinatorial,
p31,p20,,1115.77,1.5x geodesic distance,combinatorial,
p31,p21,,831.9,1.5x geodesic distance,combinatorial,
p31,p22,,955.7,1.5x geodesic distance,combinatorial,
p31,p23,,954.12,1.5x geodesic distance,combinatorial,
p31,p24,,641.83,1.5x geodesic distance,combinatorial,
p31,p26,,602.02,1.5x geodesic distance,combinatorial,
p31,p27,,656.75,1.5x geodesic distance,combinatorial,
p31,p3,,1545.14,1.5x geodesic distance,combinatorial,
p31,p30,,474.04,1.5x geodesic distance,combinatorial,
p31,p32,,967.89,1.5x geodesic distance,combinatorial,
p31,p33,,498.63,1.5x geodesic distance,combinatorial,
p31,p35,,1171.69,1.5x geodesic distance,combinatorial,
p31,p36,,1294.72,1.5x geodesic distance,combinatorial,
p31,p37,,1440.25,1.5x geodesic distance,combinatorial,
p31,p38,,1180.7,1.5x geodesic distance,combinatorial,
p31,p39,,740.34,1.5x geodesic distance,combinatorial,
p31,p4,,1585.71,1.5x geodesic distance,combinatorial,
p31,p40,,905.78,1.5x geodesic distance,combinatorial,
p31,p41,,1074.2,1.5x geodesic distance,combinatorial,
p31,p42,,1528.86,1.5x geodesic distance,combinatorial,
p31,p43,,1472.37,1.5x geodesic distance,combinatorial,
p31,p44,,1295.93,1.5x geodesic distance,combinatorial,
p31,p45,,1207.68,1.5x geodesic distance,combinatorial,
p31,p46,,1524.43,1.5x geodesic distance,combinatorial,
p31,p49,,464.03,1.5x geodesic distance,combinatorial,
p31,p5,,1660.98,1.5x geodesic distance,combinatorial,
p31,p50,,773.96,1.5x geodesic distance,combinatorial,
p31,p51,,910.13,1.5x geodesic distance,combinatorial,
p31,p52,,566.06,1.5x geodesic distance,combinatorial,
p31,p53,,823.01,1.5x geodesic distance,combinatorial,
p31,p54,,1078.57,1.5x geodesic distance,combinatorial,
p31,p55,,1136.88,1.5x geodesic distance,combinatorial,
p31,p56,,1058.53,1.5x geodesic distance,combinatorial,
p31,p57,,1061.09,1.5x geodesic distance,combinatorial,
p31,p58,,1543.69,1.5x geodesic distance,combinatorial,
p31,p6,,1509.51,1.5x geodesic distance,combinatorial,
p31,p60,,535.52,1.5x geodesic distance,combinatorial,
p31,p61,,543.99,1.5x geodesic distance,combinatorial,
p31,p62,,500.54,1.5x geodesic distance,combinatorial,
p31,p63,,876.1,1.5x geodesic distance,combinatorial,
p31,p64,,923.83,1.5x geodesic distance,combinatorial,
p31,p65,,919.46,1.5x geodesic distance,combinatorial,
p31,p66,,1212.37,1.5x geodesic distance,combinatorial,
p31,p67,,1129.64,1.5x geodesic distance,combinatorial,
p31,p68,,1376.15,1.5x geodesic distance,combinatorial,
p31,p69,,1384.38,1.5x geodesic distance,combinatorial,
p31,p7,,1237.21,1.5x geodesic distance,combinatorial,
p31,p70,,1252.68,1.5x geodesic distance,combinatorial,
p31,p71,,1268.59,1.5x geodesic distance,combinatorial,
p31,p72,,1408.78,1.5x geodesic distance,combinatorial,
p31,p73,,1274.23,1.5x geodesic distance,combinatorial,
p31,p74,,1912,1.5x geodesic distance,combinatorial,
p31,p75,,1772.27,1.5x geodesic distance,combinatorial,
p31,p76,,1733.5,1.5x geodesic distance,combinatorial,
p31,p77,,1581.55,1.5x geodesic distance,combinatorial,
p31,p78,,1611.65,1.5x geodesic distance,combinatorial,
p31,p79,,1713.73,1.5x geodesic distance,combinatorial,
p31,p8,,1428.15,1.5x geodesic distance,combinatorial,
p31,p80,,1681.96,1.5x geodesic distance,combinatorial,
p31,p81,,1466.91,1.5x geodesic distance,combinatorial,
p31,p82,,1503.57,1.5x geodesic distance,combinatorial,
p31,p83,,1599.67,1.5x geodesic distance,combinatorial,
p31,p84,,1374.81,1.5x geodesic distance,combinatorial,
p31,p85,,1218.32,1.5x geodesic distance,combinatorial,
p31,p86,,1280.42,1.5x geodesic distance,combinatorial,
p31,p87,,1449.43,1.5x geodesic distance,combinatorial,
p31,p88,,1532.59,1.5x geodesic distance,combinatorial,
p31,p89,,1704.92,1.5x geodesic distance,combinatorial,
p31,p9,,1345.15,1.5x geodesic distance,combinatorial,
p31,p90,,1681.71,1.5x geodesic distance,combinatorial,
p31,p91,,1760.83,1.5x geodesic distance,combinatorial,
p31,p92,,1678.3,1.5x geodesic distance,combinatorial,
p31,p93,,1704.27,1.5x geodesic distance,combinatorial,
p31,p94,,1905,1.5x geodesic distance,combinatorial,
p31,p95,,2058.66,1.5x geodesic distance,combinatorial,
p31,p96,,2301.62,1.5x geodesic distance,combinatorial,
p31,p97,,2185.63,1.5x geodesic distance,combinatorial,
p31,p98,,2361.72,1.5x geodesic distance,combinatorial,
p31,p99,,2572.64,1.5x geodesic distance,combinatorial,
p32,p1,,1426.56,1.5x geodesic distance,combinatorial,
p32,p10,,1590.93,1.5x geodesic distance,combinatorial,
p32,p100,,2003.07,1.5x geodesic distance,combinatorial,
p32,p101,,2401.04,1.5x geodesic distance,combinatorial,
p32,p102,,2704.92,1.5x geodesic distance,combinatorial,
p32,p103,,1532.98,1.5x geodesic distance,combinatorial,
p32,p104,,1346.96,1.5x geodesic distance,combinatorial,
p32,p105,,1414.91,1.5x geodesic distance,combinatorial,
p32,p106,,1389.97,1.5x geodesic distance,combinatorial,
p32,p107,,1378.53,1.5x geodesic distance,combinatorial,
p32,p108,,1420.26,1.5x geodesic distance,combinatorial,
p32,p109,,1491.87,1.5x geodesic distance,combinatorial,
p32,p11,,1621.98,1.5x geodesic distance,combinatorial,
p32,p110,,1760.35,1.5x geodesic distance,combinatorial,
p32,p111,,1659.63,1.5x geodesic distance,combinatorial,
p32,p112,,1614.05,1.5x geodesic distance,combinatorial,
p32,p113,,1534.01,1.5x geodesic distance,combinatorial,
p32,p114,,1540.24,1.5x geodesic distance,combinatorial,
p32,p115,,1819.55,1.5x geodesic distance,combinatorial,
p32,p116,,1748.22,1.5x geodesic distance,combinatorial,
p32,p117,,1783.02,1.5x geodesic distance,combinatorial,
p32,p118,,1957.57,1.5x geodesic distance,combinatorial,
p32,p119,,1967.08,1.5x geodesic distance,combinatorial,
p32,p12,,1365.63,1.5x geodesic distance,combinatorial,
p32,p120,,2012.97,1.5x geodesic distance,combinatorial,
p32,p121,,2018.21,1.5x geodesic distance,combinatorial,
p32,p122,,2194.93,1.5x geodesic distance,combinatorial,
p32,p123,,2100.09,1.5x geodesic distance,combinatorial,
p32,p124,,2245.34,1.5x geodesic distance,combinatorial,
p32,p125,,2200.58,1.5x geodesic distance,combinatorial,
p32,p126,,2219.29,1.5x geodesic distance,combinatorial,
p32,p127,,2219.73,1.5x geodesic distance,combinatorial,
p32,p128,,2310.18,1.5x geodesic distance,combinatorial,
p32,p129,,2221.3,1.5x geodesic distance,combinatorial,
p32,p13,,1250.73,1.5x geodesic distance,combinatorial,
p32,p130,,2381.51,1.5x geodesic distance,combinatorial,
p32,p131,,2427.09,1.5x geodesic distance,combinatorial,
p32,p132,,2302.36,1.5x geodesic distance,combinatorial,
p32,p133,,2415.87,1.5x geodesic distance,combinatorial,
p32,p134,,2447.6,1.5x geodesic distance,combinatorial,
p32,p14,,1035.89,1.5x geodesic distance,combinatorial,
p32,p15,,974.35,1.5x geodesic distance,combinatorial,
p32,p16,,663.29,1.5x geodesic distance,combinatorial,
p32,p17,,835.12,1.5x geodesic distance,combinatorial,
p32,p18,,683.22,1.5x geodesic distance,combinatorial,
p32,p19,,490.66,1.5x geodesic distance,combinatorial,
p32,p2,,1286.17,1.5x geodesic distance,combinatorial,
p32,p20,,428.7,1.5x geodesic distance,combinatorial,
p32,p21,,403.86,1.5x geodesic distance,combinatorial,
p32,p25,,749.4,1.5x geodesic distance,combinatorial,
p32,p26,,612.36,1.5x geodesic distance,combinatorial,
p32,p27,,1330.44,1.5x geodesic distance,combinatorial,
p32,p28,,1302.57,1.5x geodesic distance,combinatorial,
p32,p29,,987.79,1.5x geodesic distance,combinatorial,
p32,p3,,1090.1,1.5x geodesic distance,combinatorial,
p32,p30,,1377.18,1.5x geodesic distance,combinatorial,
p32,p31,,967.89,1.5x geodesic distance,combinatorial,
p32,p34,,553.59,1.5x geodesic distance,combinatorial,
p32,p35,,307.58,1.5x geodesic distance,combinatorial,
p32,p36,,334.16,1.5x geodesic distance,combinatorial,
p32,p37,,551.33,1.5x geodesic distance,combinatorial,
p32,p39,,231.47,1.5x geodesic distance,combinatorial,
p32,p4,,1206.34,1.5x geodesic distance,combinatorial,
p32,p40,,496.1,1.5x geodesic distance,combinatorial,
p32,p41,,624.94,1.5x geodesic distance,combinatorial,
p32,p42,,634.91,1.5x geodesic distance,combinatorial,
p32,p43,,744.53,1.5x geodesic distance,combinatorial,
p32,p44,,555.08,1.5x geodesic distance,combinatorial,
p32,p45,,646.05,1.5x geodesic distance,combinatorial,
p32,p46,,896.98,1.5x geodesic distance,combinatorial,
p32,p47,,1110.57,1.5x geodesic distance,combinatorial,
p32,p48,,1091.93,1.5x geodesic distance,combinatorial,
p32,p49,,777.73,1.5x geodesic distance,combinatorial,
p32,p5,,1438.59,1.5x geodesic distance,combinatorial,
p32,p50,,1000.13,1.5x geodesic distance,combinatorial,
p32,p51,,1006.73,1.5x geodesic distance,combinatorial,
p32,p52,,658.54,1.5x geodesic distance,combinatorial,
p32,p53,,806.92,1.5x geodesic distance,combinatorial,
p32,p54,,844.23,1.5x geodesic distance,combinatorial,
p32,p55,,1057.28,1.5x geodesic distance,combinatorial,
p32,p56,,1098.1,1.5x geodesic distance,combinatorial,
p32,p57,,1381.9,1.5x geodesic distance,combinatorial,
p32,p58,,1816.58,1.5x geodesic distance,combinatorial,
p32,p59,,1300.15,1.5x geodesic distance,combinatorial,
p32,p6,,1495.43,1.5x geodesic distance,combinatorial,
p32,p60,,1232.96,1.5x geodesic distance,combinatorial,
p32,p61,,1363.6,1.5x geodesic distance,combinatorial,
p32,p62,,1267.73,1.5x geodesic distance,combinatorial,
p32,p63,,1274.53,1.5x geodesic distance,combinatorial,
p32,p64,,1498.2,1.5x geodesic distance,combinatorial,
p32,p65,,1558.8,1.5x geodesic distance,combinatorial,
p32,p66,,1630.84,1.5x geodesic distance,combinatorial,
p32,p67,,1611.81,1.5x geodesic distance,combinatorial,
p32,p68,,688.38,1.5x geodesic distance,combinatorial,
p32,p69,,839.19,1.5x geodesic distance,combinatorial,
p32,p7,,1024.41,1.5x geodesic distance,combinatorial,
p32,p70,,776.26,1.5x geodesic distance,combinatorial,
p32,p71,,912.87,1.5x geodesic distance,combinatorial,
p32,p72,,1157.25,1.5x geodesic distance,combinatorial,
p32,p73,,1098.22,1.5x geodesic distance,combinatorial,
p32,p74,,1182.24,1.5x geodesic distance,combinatorial,
p32,p75,,1132.05,1.5x geodesic distance,combinatorial,
p32,p76,,1104.06,1.5x geodesic distance,combinatorial,
p32,p77,,949.98,1.5x geodesic distance,combinatorial,
p32,p78,,1045.13,1.5x geodesic distance,combinatorial,
p32,p79,,1155.9,1.5x geodesic distance,combinatorial,
p32,p8,,1481.56,1.5x geodesic distance,combinatorial,
p32,p80,,1198.12,1.5x geodesic distance,combinatorial,
p32,p81,,1003.43,1.5x geodesic distance,combinatorial,
p32,p82,,1096.47,1.5x geodesic distance,combinatorial,
p32,p83,,1227.22,1.5x geodesic distance,combinatorial,
p32,p84,,1263.88,1.5x geodesic distance,combinatorial,
p32,p85,,1301.72,1.5x geodesic distance,combinatorial,
p32,p86,,1498.3,1.5x geodesic distance,combinatorial,
p32,p87,,1614.66,1.5x geodesic distance,combinatorial,
p32,p88,,1545.74,1.5x geodesic distance,combinatorial,
p32,p89,,1713.6,1.5x geodesic distance,combinatorial,
p32,p9,,1636.79,1.5x geodesic distance,combinatorial,
p32,p90,,1862.47,1.5x geodesic distance,combinatorial,
p32,p91,,1929.47,1.5x geodesic distance,combinatorial,
p32,p92,,1538.46,1.5x geodesic distance,combinatorial,
p32,p93,,1511.02,1.5x geodesic distance,combinatorial,
p32,p94,,1847.14,1.5x geodesic distance,combinatorial,
p32,p95,,1916.76,1.5x geodesic distance,combinatorial,
p32,p96,,2210.78,1.5x geodesic distance,combinatorial,
p32,p97,,2004.48,1.5x geodesic distance,combinatorial,
p32,p98,,2126.2,1.5x geodesic distance,combinatorial,
p32,p99,,2267.65,1.5x geodesic distance,combinatorial,
p33,p1,,1531.12,1.5x geodesic distance,combinatorial,
p33,p10,,1245.69,1.5x geodesic distance,combinatorial,
p33,p100,,2144.06,1.5x geodesic distance,combinatorial,
p33,p101,,2283.71,1.5x geodesic distance,combinatorial,
p33,p102,,2584.94,1.5x geodesic distance,combinatorial,
p33,p103,,1732.59,1.5x geodesic distance,combinatorial,
p33,p104,,1540.09,1.5x geodesic distance,combinatorial,
p33,p105,,1573.39,1.5x geodesic distance,combinatorial,
p33,p106,,1500.19,1.5x geodesic distance,combinatorial,
p33,p107,,1419.63,1.5x geodesic distance,combinatorial,
p33,p108,,1459.68,1.5x geodesic distance,combinatorial,
p33,p109,,1558.28,1.5x geodesic distance,combinatorial,
p33,p11,,1245.14,1.5x geodesic distance,combinatorial,
p33,p110,,1833.51,1.5x geodesic distance,combinatorial,
p33,p111,,1840.22,1.5x geodesic distance,combinatorial,
p33,p112,,1749.79,1.5x geodesic distance,combinatorial,
p33,p113,,1656.59,1.5x geodesic distance,combinatorial,
p33,p114,,1644.25,1.5x geodesic distance,combinatorial,
p33,p115,,1980.68,1.5x geodesic distance,combinatorial,
p33,p116,,1873.09,1.5x geodesic distance,combinatorial,
p33,p117,,1884.5,1.5x geodesic distance,combinatorial,
p33,p118,,2045.3,1.5x geodesic distance,combinatorial,
p33,p119,,2144.72,1.5x geodesic distance,combinatorial,
p33,p12,,1185.77,1.5x geodesic distance,combinatorial,
p33,p120,,2172.77,1.5x geodesic distance,combinatorial,
p33,p121,,2171.4,1.5x geodesic distance,combinatorial,
p33,p122,,2366.36,1.5x geodesic distance,combinatorial,
p33,p123,,2240.98,1.5x geodesic distance,combinatorial,
p33,p124,,2368.98,1.5x geodesic distance,combinatorial,
p33,p125,,2353.91,1.5x geodesic distance,combinatorial,
p33,p126,,2396.57,1.5x geodesic distance,combinatorial,
p33,p127,,2446.56,1.5x geodesic distance,combinatorial,
p33,p128,,2503.86,1.5x geodesic distance,combinatorial,
p33,p129,,2481.57,1.5x geodesic distance,combinatorial,
p33,p130,,2618.73,1.5x geodesic distance,combinatorial,
p33,p131,,2653.83,1.5x geodesic distance,combinatorial,
p33,p132,,2503.08,1.5x geodesic distance,combinatorial,
p33,p133,,2633.04,1.5x geodesic distance,combinatorial,
p33,p134,,2705.29,1.5x geodesic distance,combinatorial,
p33,p14,,1143.15,1.5x geodesic distance,combinatorial,
p33,p15,,958.89,1.5x geodesic distance,combinatorial,
p33,p16,,669.36,1.5x geodesic distance,combinatorial,
p33,p17,,1003.28,1.5x geodesic distance,combinatorial,
p33,p18,,932.67,1.5x geodesic distance,combinatorial,
p33,p19,,882.96,1.5x geodesic distance,combinatorial,
p33,p2,,1371.18,1.5x geodesic distance,combinatorial,
p33,p20,,682.13,1.5x geodesic distance,combinatorial,
p33,p25,,560.93,1.5x geodesic distance,combinatorial,
p33,p27,,942.76,1.5x geodesic distance,combinatorial,
p33,p28,,871.15,1.5x geodesic distance,combinatorial,
p33,p29,,541.38,1.5x geodesic distance,combinatorial,
