tech,ba,year,var_name,con_name,value
ccgt-gas,Rajasthan,2023,cap,eq_capacity_limit,232.18066885240748
ccgt-gas,Rajasthan,2023,cap,eq_reserve_margin,1496.536959889841
ccgt-gas,Rajasthan,2024,cap,_obj,-400.42904817155517
ccgt-gas,Rajasthan,2024,cap,eq_cap_init_retub,0.0
ccgt-gas,Rajasthan,2024,cap,eq_cap_init_retmo,-2558.60629645906
ccgt-gas,Rajasthan,2024,cap,eq_growthlimit_relative,-721.7049398870495
ccgt-gas,Rajasthan,2024,cap,eq_capacity_limit,132.1573494248454
ccgt-gas,Rajasthan,2024,cap,eq_reserve_margin,3548.5829350928216
ccgt-gas,Rajasthan,2025,cap,_obj,-367.3660589463648
ccgt-gas,Rajasthan,2025,cap,eq_cap_init_retub,0.0
ccgt-gas,Rajasthan,2025,cap,eq_cap_init_retmo,-2279.7398624390553
ccgt-gas,Rajasthan,2025,cap,eq_growthlimit_relative,0.0
ccgt-gas,Rajasthan,2025,cap,eq_capacity_limit,61.90374431295228
ccgt-gas,Rajasthan,2025,cap,eq_reserve_margin,2585.2021770724687
ccgt-gas,Rajasthan,2026,cap,_obj,-337.03343081331843
ccgt-gas,Rajasthan,2026,cap,eq_cap_init_retub,0.0
ccgt-gas,Rajasthan,2026,cap,eq_cap_init_retmo,-2085.547617541457
ccgt-gas,Rajasthan,2026,cap,eq_growthlimit_relative,0.0
ccgt-gas,Rajasthan,2026,cap,eq_capacity_limit,58.33911396271113
ccgt-gas,Rajasthan,2026,cap,eq_reserve_margin,2364.241934392063
ccgt-gas,Rajasthan,2027,cap,_obj,-309.2049756819408
ccgt-gas,Rajasthan,2027,cap,eq_cap_init_retub,0.0
ccgt-gas,Rajasthan,2027,cap,eq_cap_init_retmo,-1926.7122314461885
ccgt-gas,Rajasthan,2027,cap,eq_growthlimit_relative,0.0
ccgt-gas,Rajasthan,2027,cap,eq_capacity_limit,45.9626534238473
ccgt-gas,Rajasthan,2027,cap,eq_reserve_margin,2189.954553704285
ccgt-gas,Rajasthan,2028,cap,_obj,-283.6742694696624
ccgt-gas,Rajasthan,2028,cap,eq_cap_init_retub,0.0
ccgt-gas,Rajasthan,2028,cap,eq_cap_init_retmo,-1995.0362957485322
ccgt-gas,Rajasthan,2028,cap,eq_growthlimit_relative,0.0
ccgt-gas,Rajasthan,2028,cap,eq_capacity_limit,37.12724658626923
ccgt-gas,Rajasthan,2028,cap,eq_reserve_margin,2241.5833186319264
ccgt-gas,Rajasthan,2029,cap,_obj,-260.25172410064795
ccgt-gas,Rajasthan,2029,cap,eq_cap_init_retub,0.0
ccgt-gas,Rajasthan,2029,cap,eq_cap_init_retmo,-1529.3070088279746
ccgt-gas,Rajasthan,2029,cap,eq_growthlimit_relative,0.0
ccgt-gas,Rajasthan,2029,cap,eq_capacity_limit,40.587094682848694
ccgt-gas,Rajasthan,2029,cap,eq_reserve_margin,1748.9716382457775
ccgt-gas,Rajasthan,2030,cap,_obj,-2691.72977669148
ccgt-gas,Rajasthan,2030,cap,eq_cap_init_retub,0.0
ccgt-gas,Rajasthan,2030,cap,eq_cap_init_retmo,-16652.61150369392
ccgt-gas,Rajasthan,2030,cap,eq_growthlimit_relative,0.0
ccgt-gas,Rajasthan,2030,cap,eq_capacity_limit,424.9492599074973
ccgt-gas,Rajasthan,2030,cap,eq_reserve_margin,18919.3920204779
ccgt-gas,Assam,2017,cap,_obj,-286.9644005
ccgt-gas,Assam,2017,cap,eq_cap_init_noret,286.9644005
ccgt-gas,Assam,2017,cap,eq_capacity_limit,0.0
ccgt-gas,Assam,2017,cap,eq_reserve_margin,0.0
ccgt-gas,Assam,2018,cap,_obj,-263.2700369151155
ccgt-gas,Assam,2018,cap,eq_cap_init_noret,263.2700369151155
ccgt-gas,Assam,2018,cap,eq_capacity_limit,0.0
ccgt-gas,Assam,2018,cap,eq_reserve_margin,0.0
ccgt-gas,Assam,2019,cap,_obj,-263.265585306192
ccgt-gas,Assam,2019,cap,eq_cap_init_noret,263.265585306192
ccgt-gas,Assam,2019,cap,eq_capacity_limit,0.0
ccgt-gas,Assam,2019,cap,eq_reserve_margin,0.0
ccgt-gas,Assam,2020,cap,_obj,-241.52790782541018
ccgt-gas,Assam,2020,cap,eq_cap_init_noret,241.52790782541018
ccgt-gas,Assam,2020,cap,eq_capacity_limit,0.0
ccgt-gas,Assam,2020,cap,eq_reserve_margin,0.0
ccgt-gas,Assam,2021,cap,_obj,-221.585308276945
ccgt-gas,Assam,2021,cap,eq_cap_init_noret,221.58530827694494
ccgt-gas,Assam,2021,cap,eq_capacity_limit,0.0
ccgt-gas,Assam,2021,cap,eq_reserve_margin,5.833999949800274e-13
ccgt-gas,Assam,2022,cap,_obj,-203.28921338708142
ccgt-gas,Assam,2022,cap,eq_cap_init_noret,203.28921338708142
ccgt-gas,Assam,2022,cap,eq_cap_init_retmo,0.0
ccgt-gas,Assam,2022,cap,eq_growthlimit_relative,0.0
ccgt-gas,Assam,2022,cap,eq_capacity_limit,0.0
ccgt-gas,Assam,2022,cap,eq_reserve_margin,5.833999949800274e-13
ccgt-gas,Assam,2023,cap,_obj,-186.5038741015198
ccgt-gas,Assam,2023,cap,eq_cap_init_retub,-12768.393858142877
ccgt-gas,Assam,2023,cap,eq_cap_init_retmo,11852.843258688026
ccgt-gas,Assam,2023,cap,eq_growthlimit_relative,462.5799080452854
ccgt-gas,Assam,2023,cap,eq_capacity_limit,0.0
ccgt-gas,Assam,2023,cap,eq_reserve_margin,639.4745655110867
ccgt-gas,Assam,2024,cap,_obj,-171.1044888703396
ccgt-gas,Assam,2024,cap,eq_cap_init_retub,0.0
ccgt-gas,Assam,2024,cap,eq_cap_init_retmo,-1036.8286435463338
ccgt-gas,Assam,2024,cap,eq_growthlimit_relative,-308.3866053635236
ccgt-gas,Assam,2024,cap,eq_capacity_limit,0.0
ccgt-gas,Assam,2024,cap,eq_reserve_margin,1516.3197377801978
