*r,rr,multiplier
p65,p86,1.472
p65,p87,1.4
p65,p88,1.375
p65,p89,1.47
p65,p90,1.461
p65,p91,1.491
p65,p92,1.441
p65,p93,1.316
p65,p94,1.493
p65,p95,1.549
p65,p96,1.57
p65,p97,1.582
p65,p98,1.598
p65,p99,1.608
p65,p100,1.692
p65,p101,1.579
p65,p102,1.583
p65,p103,1.197
p65,p104,1.209
p65,p105,1.254
p65,p106,1.251
p65,p107,1.288
p65,p108,1.287
p65,p109,1.322
p65,p110,1.425
p65,p111,1.354
p65,p112,1.347
p65,p113,1.31
p65,p114,1.355
p65,p115,1.491
p65,p116,1.43
p65,p117,1.499
p65,p118,1.573
p65,p119,1.608
p65,p120,1.715
p65,p121,1.708
p65,p122,1.806
p65,p123,1.734
p65,p124,1.792
p65,p125,1.785
p65,p126,1.795
p65,p127,1.619
p65,p128,1.896
p65,p129,1.657
p65,p130,1.776
p65,p131,1.791
p65,p132,1.707
p65,p133,1.765
p65,p134,1.86
p66,p1,1.216
p66,p2,1.188
p66,p3,1.174
p66,p4,1.188
p66,p5,1.204
p66,p6,1.213
p66,p7,1.162
p66,p8,1.213
p66,p9,1.521
p66,p10,1.443
p66,p11,1.401
p66,p12,1.21
p66,p13,1.177
p66,p14,1.245
p66,p15,1.163
p66,p16,1.163
p66,p17,1.124
p66,p18,1.088
p66,p19,1.064
p66,p20,1.103
p66,p21,1.131
p66,p22,1.106
p66,p23,1.075
p66,p24,1.1
p66,p25,1.164
p66,p26,1.199
p66,p27,1.319
p66,p28,1.334
p66,p29,1.141
p66,p30,1.339
p66,p31,1.124
p66,p32,1.078
p66,p33,1.112
p66,p34,1.096
p66,p35,1.068
p66,p36,1.07
p66,p37,1.08
p66,p38,1.094
p66,p39,1.082
p66,p40,1.093
p66,p41,1.112
p66,p42,1.08
p66,p43,1.109
p66,p44,1.09
p66,p45,1.105
p66,p46,1.075
p66,p47,1.401
p66,p48,1.547
p66,p49,1.1
p66,p50,1.156
p66,p51,1.153
p66,p52,1.116
p66,p53,1.128
p66,p54,1.141
p66,p55,1.16
p66,p56,1.174
p66,p57,1.273
p66,p58,1.141
p66,p59,1.389
p66,p60,1.558
p66,p61,1.593
p66,p62,1.526
p66,p63,1.625
p66,p64,1.637
p66,p65,1.617
p66,p67,1.656
p66,p68,1.111
p66,p69,1.118
p66,p70,1.128
p66,p71,1.13
p66,p72,1.11
p66,p73,1.111
p66,p74,1.074
p66,p75,1.062
p66,p76,1.064
p66,p77,1.072
p66,p78,1.072
p66,p79,1.063
p66,p80,1.063
p66,p81,1.072
p66,p82,1.076
p66,p83,1.069
p66,p84,1.092
p66,p85,1.187
p66,p86,1.212
p66,p87,1.171
p66,p88,1.199
p66,p89,1.417
p66,p90,1.347
p66,p91,1.413
p66,p92,1.331
p66,p93,1.132
p66,p94,1.518
p66,p95,1.558
p66,p96,1.557
p66,p97,1.598
p66,p98,1.586
p66,p99,1.59
p66,p100,1.678
p66,p101,1.568
p66,p102,1.575
p66,p103,1.057
p66,p104,1.058
p66,p105,1.1
p66,p106,1.073
p66,p107,1.083
p66,p108,1.095
p66,p109,1.148
p66,p110,1.298
p66,p111,1.235
p66,p112,1.212
p66,p113,1.16
p66,p114,1.208
p66,p115,1.398
p66,p116,1.319
p66,p117,1.4
p66,p118,1.53
p66,p119,1.538
p66,p120,1.706
p66,p121,1.697
p66,p122,1.812
p66,p123,1.728
p66,p124,1.795
p66,p125,1.788
p66,p126,1.799
p66,p127,1.562
p66,p128,1.915
p66,p129,1.607
p66,p130,1.739
p66,p131,1.755
p66,p132,1.663
p66,p133,1.728
p66,p134,1.833
p67,p1,1.28
p67,p2,1.256
p67,p3,1.201
p67,p4,1.257
p67,p5,1.27
p67,p6,1.333
p67,p7,1.241
p67,p8,1.333
p67,p9,1.518
p67,p10,1.436
p67,p11,1.39
p67,p12,1.319
p67,p13,1.295
p67,p14,1.319
p67,p15,1.244
p67,p16,1.257
p67,p17,1.155
p67,p18,1.122
p67,p19,1.102
p67,p20,1.142
p67,p21,1.236
p67,p22,1.15
p67,p23,1.12
p67,p24,1.229
p67,p25,1.338
p67,p26,1.351
p67,p27,1.303
p67,p28,1.317
p67,p29,1.324
p67,p30,1.321
p67,p31,1.358
p67,p32,1.126
p67,p33,1.267
p67,p34,1.287
p67,p35,1.109
p67,p36,1.113
p67,p37,1.125
p67,p38,1.149
p67,p39,1.136
p67,p40,1.157
p67,p41,1.177
p67,p42,1.124
p67,p43,1.16
p67,p44,1.142
p67,p45,1.165
p67,p46,1.112
p67,p47,1.379
p67,p48,1.523
p67,p49,1.369
p67,p50,1.468
p67,p51,1.259
p67,p52,1.309
p67,p53,1.213
p67,p54,1.219
p67,p55,1.253
p67,p56,1.284
p67,p57,1.751
p67,p58,1.258
p67,p59,1.369
p67,p60,1.55
p67,p61,1.583
p67,p62,1.514
p67,p63,1.62
p67,p64,1.636
p67,p65,1.633
p67,p66,1.656
p67,p68,1.164
p67,p69,1.176
p67,p70,1.19
p67,p71,1.199
p67,p72,1.164
p67,p73,1.248
p67,p74,1.106
p67,p75,1.099
p67,p76,1.102
p67,p77,1.11
p67,p78,1.112
p67,p79,1.103
p67,p80,1.106
p67,p81,1.117
p67,p82,1.123
p67,p83,1.118
p67,p84,1.159
p67,p85,1.288
p67,p86,1.326
p67,p87,1.274
p67,p88,1.265
p67,p89,1.447
p67,p90,1.399
p67,p91,1.448
p67,p92,1.366
p67,p93,1.179
p67,p94,1.532
p67,p95,1.537
p67,p96,1.564
p67,p97,1.602
p67,p98,1.59
p67,p99,1.594
p67,p100,1.677
p67,p101,1.575
p67,p102,1.58
p67,p103,1.094
p67,p104,1.099
p67,p105,1.139
p67,p106,1.12
p67,p107,1.138
p67,p108,1.148
p67,p109,1.192
p67,p110,1.324
p67,p111,1.261
p67,p112,1.243
p67,p113,1.196
p67,p114,1.242
p67,p115,1.413
p67,p116,1.341
p67,p117,1.416
p67,p118,1.539
p67,p119,1.544
p67,p120,1.703
p67,p121,1.694
p67,p122,1.804
p67,p123,1.724
p67,p124,1.788
p67,p125,1.78
p67,p126,1.791
p67,p127,1.566
p67,p128,1.902
p67,p129,1.609
p67,p130,1.735
p67,p131,1.751
p67,p132,1.663
p67,p133,1.724
p67,p134,1.825
p68,p1,1.252
p68,p2,1.228
p68,p3,1.218
p68,p4,1.212
p68,p5,1.274
p68,p6,1.235
p68,p7,1.177
p68,p8,1.234
p68,p9,1.445
p68,p10,1.346
p68,p11,1.296
p68,p12,1.232
p68,p13,1.178
p68,p14,1.228
p68,p15,1.179
p68,p16,1.183
p68,p17,1.136
p68,p18,1.073
p68,p19,1.028
p68,p20,1.05
p68,p21,1.099
p68,p22,1.079
p68,p23,1.054
p68,p24,1.046
p68,p25,1.155
p68,p26,1.137
p68,p27,1.19
p68,p28,1.199
p68,p29,1.139
p68,p30,1.11
p68,p31,1.107
p68,p32,1.04
p68,p33,1.045
p68,p34,1.051
p68,p35,1.029
p68,p36,1.018
p68,p37,1.008
p68,p38,1.018
p68,p39,1.033
p68,p40,1.038
p68,p41,1.022
p68,p42,1.024
p68,p43,1.065
p68,p44,1.013
p68,p45,1.008
p68,p46,1.113
p68,p47,1.024
p68,p48,1.017
p68,p49,1.019
p68,p50,1.025
p68,p51,1.036
p68,p52,1.024
p68,p53,1.023
p68,p54,1.045
p68,p55,1.057
p68,p56,1.062
p68,p57,1.108
p68,p58,1.058
p68,p59,1.056
p68,p60,1.019
p68,p61,1.048
p68,p62,1.021
p68,p63,1.121
p68,p64,1.19
p68,p65,1.207
p68,p66,1.111
p68,p67,1.164
p68,p69,1.018
p68,p70,1.017
p68,p71,1.028
p68,p72,1.031
p68,p73,1.041
p68,p74,1.147
p68,p75,1.085
p68,p76,1.095
p68,p77,1.107
p68,p78,1.112
p68,p79,1.094
p68,p80,1.053
p68,p81,1.025
p68,p82,1.033
p68,p83,1.036
p68,p84,1.066
p68,p85,1.089
p68,p86,1.054
p68,p87,1.032
p68,p88,1.088
p68,p89,1.212
p68,p90,1.124
p68,p91,1.181
p68,p92,1.128
p68,p93,1.08
p68,p94,1.309
p68,p95,1.416
p68,p96,1.474
p68,p97,1.438
p68,p98,1.474
p68,p99,1.489
p68,p100,1.775
p68,p101,1.333
p68,p102,1.359
p68,p103,1.046
p68,p104,1.052
p68,p105,1.099
p68,p106,1.023
p68,p107,1.027
p68,p108,1.034
p68,p109,1.129
p68,p110,1.303
p68,p111,1.232
p68,p112,1.226
p68,p113,1.157
p68,p114,1.214
p68,p115,1.456
p68,p116,1.384
p68,p117,1.451
p68,p118,1.419
p68,p119,1.651
p68,p120,1.769
p68,p121,1.759
p68,p122,1.882
p68,p123,1.842
p68,p124,1.868
p68,p125,1.866
p68,p126,1.869
p68,p127,1.675
p68,p128,2.01
p68,p129,1.725
p68,p130,1.899
p68,p131,1.919
p68,p132,1.799
p68,p133,1.881
p68,p134,2.01
p69,p1,1.232
p69,p2,1.209
p69,p3,1.198
p69,p4,1.194
p69,p5,1.216
p69,p6,1.23
p69,p7,1.163
p69,p8,1.23
p69,p9,1.433
p69,p10,1.33
p69,p11,1.281
p69,p12,1.227
p69,p13,1.183
p69,p14,1.207
p69,p15,1.164
p69,p16,1.164
p69,p17,1.122
p69,p18,1.066
p69,p19,1.03
p69,p20,1.043
p69,p21,1.095
p69,p22,1.079
p69,p23,1.05
p69,p24,1.05
p69,p25,1.166
p69,p26,1.144
p69,p27,1.175
p69,p28,1.183
p69,p29,1.121
p69,p30,1.111
p69,p31,1.092
p69,p32,1.024
p69,p33,1.047
p69,p34,1.043
p69,p35,1.026
p69,p36,1.025
p69,p37,1.012
p69,p38,1.016
p69,p39,1.05
p69,p40,1.025
p69,p41,1.044
p69,p42,1.021
p69,p43,1.029
p69,p44,1.023
p69,p45,1.03
p69,p46,1.097
p69,p47,1.047
p69,p48,1.044
p69,p49,1.043
p69,p50,1.045
p69,p51,1.039
p69,p52,1.039
p69,p53,1.049
p69,p54,1.056
p69,p55,1.087
p69,p56,1.067
p69,p57,1.114
p69,p58,1.056
p69,p59,1.075
p69,p60,1.044
p69,p61,1.073
p69,p62,1.045
p69,p63,1.13
p69,p64,1.203
p69,p65,1.232
p69,p66,1.118
p69,p67,1.176
p69,p68,1.018
p69,p70,1.057
p69,p71,1.082
p69,p72,1.04
p69,p73,1.069
p69,p74,1.134
p69,p75,1.068
p69,p76,1.07
p69,p77,1.105
p69,p78,1.1
p69,p79,1.075
p69,p80,1.039
p69,p81,1.036
p69,p82,1.047
p69,p83,1.028
p69,p84,1.086
p69,p85,1.102
p69,p86,1.069
p69,p87,1.036
p69,p88,1.106
p69,p89,1.251
p69,p90,1.141
p69,p91,1.207
p69,p92,1.166
p69,p93,1.111
p69,p94,1.372
p69,p95,1.489
p69,p96,1.54
p69,p97,1.511
p69,p98,1.545
p69,p99,1.553
p69,p100,1.88
p69,p101,1.369
p69,p102,1.393
p69,p103,1.042
p69,p104,1.049
p69,p105,1.118
p69,p106,1.017
p69,p107,1.041
p69,p108,1.04
p69,p109,1.143
p69,p110,1.364
p69,p111,1.271
p69,p112,1.272
p69,p113,1.189
p69,p114,1.261
p69,p115,1.53
p69,p116,1.456
p69,p117,1.53
p69,p118,1.487
p69,p119,1.745
p69,p120,1.877
p69,p121,1.865
p69,p122,1.991
p69,p123,1.951
p69,p124,1.962
p69,p125,1.972
p69,p126,1.973
p69,p127,1.75
p69,p128,2.122
p69,p129,1.798
p69,p130,1.989
p69,p131,2.01
p69,p132,1.879
p69,p133,1.967
p69,p134,2.104
p70,p1,1.239
p70,p2,1.216
p70,p3,1.205
p70,p4,1.2
p70,p5,1.221
p70,p6,1.235
p70,p7,1.166
p70,p8,1.235
p70,p9,1.444
p70,p10,1.35
p70,p11,1.299
p70,p12,1.233
p70,p13,1.193
p70,p14,1.214
p70,p15,1.167
p70,p16,1.169
p70,p17,1.128
p70,p18,1.073
p70,p19,1.045
p70,p20,1.048
p70,p21,1.093
p70,p22,1.079
p70,p23,1.052
p70,p24,1.077
p70,p25,1.178
p70,p26,1.171
p70,p27,1.188
p70,p28,1.18
p70,p29,1.133
p70,p30,1.116
p70,p31,1.097
p70,p32,1.031
p70,p33,1.058
p70,p34,1.052
p70,p35,1.034
p70,p36,1.028
p70,p37,1.007
p70,p38,1.038
p70,p39,1.057
p70,p40,1.053
p70,p41,1.072
p70,p42,1.019
p70,p43,1.044
p70,p44,1.01
p70,p45,1.035
p70,p46,1.068
p70,p47,1.05
p70,p48,1.048
p70,p49,1.044
p70,p50,1.043
p70,p51,1.047
p70,p52,1.039
p70,p53,1.048
p70,p54,1.07
p70,p55,1.08
p70,p56,1.077
p70,p57,1.13
p70,p58,1.073
p70,p59,1.081
p70,p60,1.046
p70,p61,1.078
p70,p62,1.048
p70,p63,1.149
p70,p64,1.225
p70,p65,1.256
p70,p66,1.128
p70,p67,1.19
p70,p68,1.017
p70,p69,1.057
p70,p71,1.069
p70,p72,1.074
p70,p73,1.067
p70,p74,1.113
p70,p75,1.067
p70,p76,1.07
p70,p77,1.076
p70,p78,1.085
p70,p79,1.06
p70,p80,1.048
p70,p81,1.062
p70,p82,1.045
p70,p83,1.033
p70,p84,1.102
p70,p85,1.12
p70,p86,1.097
p70,p87,1.066
p70,p88,1.13
p70,p89,1.28
p70,p90,1.168
p70,p91,1.205
p70,p92,1.193
p70,p93,1.109
p70,p94,1.399
p70,p95,1.469
p70,p96,1.525
p70,p97,1.492
p70,p98,1.527
p70,p99,1.537
p70,p100,1.842
p70,p101,1.39
p70,p102,1.412
p70,p103,1.048
p70,p104,1.056
p70,p105,1.127
p70,p106,1.03
p70,p107,1.04
p70,p108,1.044
p70,p109,1.125
p70,p110,1.345
p70,p111,1.259
p70,p112,1.272
p70,p113,1.194
p70,p114,1.257
p70,p115,1.504
p70,p116,1.447
p70,p117,1.518
p70,p118,1.469
p70,p119,1.711
p70,p120,1.838
p70,p121,1.826
p70,p122,1.951
p70,p123,1.911
p70,p124,1.928
p70,p125,1.933
p70,p126,1.935
p70,p127,1.724
p70,p128,2.081
p70,p129,1.772
p70,p130,1.957
p70,p131,1.977
p70,p132,1.851
p70,p133,1.936
p70,p134,2.07
p71,p1,1.233
p71,p2,1.211
p71,p3,1.201
p71,p4,1.196
p71,p5,1.206
p71,p6,1.218
p71,p7,1.151
p71,p8,1.217
p71,p9,1.417
p71,p10,1.352
p71,p11,1.21
p71,p12,1.214
p71,p13,1.192
p71,p14,1.209
p71,p15,1.152
p71,p16,1.15
p71,p17,1.129
p71,p18,1.08
p71,p19,1.051
p71,p20,1.079
p71,p21,1.089
p71,p22,1.079
p71,p23,1.053
p71,p24,1.056
p71,p25,1.151
p71,p26,1.141
p71,p27,1.192
p71,p28,1.173
p71,p29,1.139
p71,p30,1.099
p71,p31,1.094
p71,p32,1.038
p71,p33,1.08
p71,p34,1.072
p71,p35,1.049
p71,p36,1.033
p71,p37,1.016
p71,p38,1.052
p71,p39,1.041
p71,p40,1.065
p71,p41,1.075
p71,p42,1.025
p71,p43,1.046
p71,p44,1.025
p71,p45,1.054
p71,p46,1.086
p71,p47,1.038
p71,p48,1.048
p71,p49,1.034
p71,p50,1.055
p71,p51,1.04
p71,p52,1.039
p71,p53,1.065
p71,p54,1.094
p71,p55,1.095
p71,p56,1.069
p71,p57,1.132
p71,p58,1.07
p71,p59,1.066
p71,p60,1.047
p71,p61,1.079
p71,p62,1.048
p71,p63,1.152
p71,p64,1.235
p71,p65,1.267
p71,p66,1.13
p71,p67,1.199
p71,p68,1.028
p71,p69,1.082
p71,p70,1.069
p71,p72,1.062
p71,p73,1.067
p71,p74,1.075
p71,p75,1.046
p71,p76,1.047
p71,p77,1.093
p71,p78,1.068
p71,p79,1.067
p71,p80,1.037
p71,p81,1.084
p71,p82,1.038
p71,p83,1.061
p71,p84,1.115
p71,p85,1.15
p71,p86,1.068
p71,p87,1.066
p71,p88,1.14
p71,p89,1.316
p71,p90,1.183
p71,p91,1.224
p71,p92,1.223
p71,p93,1.126
p71,p94,1.439
p71,p95,1.53
p71,p96,1.581
p71,p97,1.552
p71,p98,1.585
p71,p99,1.587
p71,p100,1.712
p71,p101,1.424
p71,p102,1.442
p71,p103,1.028
p71,p104,1.039
p71,p105,1.114
p71,p106,1.054
p71,p107,1.043
p71,p108,1.048
p71,p109,1.156
p71,p110,1.399
p71,p111,1.247
p71,p112,1.301
p71,p113,1.229
p71,p114,1.319
p71,p115,1.498
p71,p116,1.5
p71,p117,1.618
p71,p118,1.526
p71,p119,1.71
p71,p120,1.97
p71,p121,1.956
p71,p122,1.954
p71,p123,1.772
p71,p124,1.93
p71,p125,1.936
p71,p126,1.938
p71,p127,1.723
p71,p128,2.085
p71,p129,1.772
p71,p130,1.959
p71,p131,1.98
p71,p132,1.852
p71,p133,1.938
p71,p134,2.074
p72,p1,1.219
p72,p2,1.198
p72,p3,1.187
p72,p4,1.184
p72,p5,1.187
p72,p6,1.197
p72,p7,1.133
p72,p8,1.196
p72,p9,1.378
p72,p10,1.343
p72,p11,1.203
p72,p12,1.191
p72,p13,1.191
p72,p14,1.194
p72,p15,1.133
p72,p16,1.128
p72,p17,1.122
p72,p18,1.077
p72,p19,1.057
p72,p20,1.076
p72,p21,1.072
p72,p22,1.069
p72,p23,1.051
p72,p24,1.042
p72,p25,1.128
p72,p26,1.117
p72,p27,1.191
p72,p28,1.169
p72,p29,1.142
p72,p30,1.096
p72,p31,1.097
p72,p32,1.042
p72,p33,1.076
p72,p34,1.076
p72,p35,1.052
p72,p36,1.043
p72,p37,1.023
p72,p38,1.065
p72,p39,1.029
p72,p40,1.041
p72,p41,1.062
p72,p42,1.028
p72,p43,1.032
p72,p44,1.033
p72,p45,1.07
p72,p46,1.068
p72,p47,1.04
p72,p48,1.049
p72,p49,1.046
p72,p50,1.094
p72,p51,1.112
p72,p52,1.057
p72,p53,1.069
p72,p54,1.098
p72,p55,1.14
p72,p56,1.156
p72,p57,1.136
p72,p58,1.071
p72,p59,1.066
p72,p60,1.047
p72,p61,1.077
p72,p62,1.049
p72,p63,1.238
p72,p64,1.294
p72,p65,1.315
p72,p66,1.11
p72,p67,1.164
p72,p68,1.031
p72,p69,1.04
p72,p70,1.074
p72,p71,1.062
p72,p73,1.153
p72,p74,1.06
p72,p75,1.026
p72,p76,1.03
p72,p77,1.066
p72,p78,1.05
p72,p79,1.02
p72,p80,1.02
p72,p81,1.046
p72,p82,1.05
p72,p83,1.028
p72,p84,1.191
p72,p85,1.11
p72,p86,1.074
p72,p87,1.043
p72,p88,1.178
p72,p89,1.407
p72,p90,1.197
p72,p91,1.291
p72,p92,1.321
p72,p93,1.181
p72,p94,1.588
p72,p95,1.677
p72,p96,1.7
p72,p97,1.696
p72,p98,1.717
p72,p99,1.696
p72,p100,1.852
p72,p101,1.478
p72,p102,1.488
p72,p103,1.028
p72,p104,1.021
p72,p105,1.149
p72,p106,1.04
p72,p107,1.044
p72,p108,1.052
p72,p109,1.258
p72,p110,1.54
p72,p111,1.27
p72,p112,1.352
p72,p113,1.278
p72,p114,1.402
p72,p115,1.689
p72,p116,1.591
p72,p117,1.704
p72,p118,1.658
p72,p119,1.904
p72,p120,2.072
p72,p121,2.055
p72,p122,2.141
p72,p123,1.916
p72,p124,2.118
p72,p125,2.151
p72,p126,2.121
p72,p127,1.762
p72,p128,2.269
p72,p129,1.81
p72,p130,2.005
p72,p131,2.026
p72,p132,1.893
p72,p133,1.982
p72,p134,2.121
p73,p1,1.23
p73,p2,1.209
p73,p3,1.2
p73,p4,1.196
p73,p5,1.196
p73,p6,1.206
p73,p7,1.143
p73,p8,1.205
p73,p9,1.393
p73,p10,1.365
p73,p11,1.214
p73,p12,1.201
p73,p13,1.206
p73,p14,1.207
p73,p15,1.143
p73,p16,1.139
p73,p17,1.134
p73,p18,1.091
p73,p19,1.064
p73,p20,1.09
p73,p21,1.083
p73,p22,1.083
p73,p23,1.063
p73,p24,1.054
p73,p25,1.14
p73,p26,1.13
p73,p27,1.206
p73,p28,1.181
p73,p29,1.158
p73,p30,1.101
p73,p31,1.106
p73,p32,1.059
p73,p33,1.071
p73,p34,1.07
p73,p35,1.069
p73,p36,1.04
p73,p37,1.027
p73,p38,1.057
p73,p39,1.04
p73,p40,1.062
p73,p41,1.099
p73,p42,1.034
p73,p43,1.05
p73,p44,1.038
p73,p45,1.06
p73,p46,1.097
p73,p47,1.04
p73,p48,1.047
p73,p49,1.056
p73,p50,1.093
p73,p51,1.099
p73,p52,1.07
p73,p53,1.102
p73,p54,1.102
p73,p55,1.157
p73,p56,1.157
p73,p57,1.18
p73,p58,1.073
p73,p59,1.07
p73,p60,1.046
p73,p61,1.08
p73,p62,1.048
p73,p63,1.255
p73,p64,1.317
p73,p65,1.346
p73,p66,1.111
p73,p67,1.248
p73,p68,1.041
p73,p69,1.069
p73,p70,1.067
p73,p71,1.067
p73,p72,1.153
p73,p74,1.07
p73,p75,1.047
p73,p76,1.049
p73,p77,1.098
p73,p78,1.057
p73,p79,1.047
p73,p80,1.058
p73,p81,1.075
p73,p82,1.081
p73,p83,1.073
p73,p84,1.186
p73,p85,1.155
p73,p86,1.072
p73,p87,1.067
p73,p88,1.193
p73,p89,1.444
p73,p90,1.217
p73,p91,1.266
p73,p92,1.328
p73,p93,1.211
p73,p94,1.542
p73,p95,1.717
p73,p96,1.625
p73,p97,1.663
p73,p98,1.686
p73,p99,1.672
p73,p100,1.815
p73,p101,1.494
p73,p102,1.502
p73,p103,1.048
p73,p104,1.046
p73,p105,1.13
p73,p106,1.07
p73,p107,1.118
p73,p108,1.13
p73,p109,1.235
p73,p110,1.51
p73,p111,1.252
p73,p112,1.314
p73,p113,1.248
p73,p114,1.343
p73,p115,1.601
p73,p116,1.521
p73,p117,1.618
p73,p118,1.629
p73,p119,1.803
p73,p120,1.964
p73,p121,1.951
p73,p122,2.036
p73,p123,1.876
p73,p124,2.033
p73,p125,2.052
p73,p126,2.017
p73,p127,1.711
p73,p128,2.16
p73,p129,1.761
p73,p130,1.942
p73,p131,1.963
p73,p132,1.838
p73,p133,1.922
p73,p134,2.055
p74,p1,1.258
p74,p2,1.238
p74,p3,1.231
p74,p4,1.225
p74,p5,1.277
p74,p6,1.226
p74,p7,1.181
p74,p8,1.213
p74,p9,1.386
p74,p10,1.303
p74,p11,1.263
p74,p12,1.21
p74,p13,1.168
p74,p14,1.239
p74,p15,1.184
p74,p16,1.166
p74,p17,1.166
p74,p18,1.12
p74,p19,1.096
p74,p20,1.114
p74,p21,1.108
p74,p22,1.106
p74,p23,1.088
p74,p24,1.083
p74,p25,1.148
p74,p26,1.136
p74,p27,1.175
p74,p28,1.181
p74,p29,1.134
p74,p30,1.121
p74,p31,1.112
p74,p32,1.081
p74,p33,1.08
p74,p34,1.083
p74,p35,1.109
p74,p36,1.119
p74,p37,1.157
p74,p38,1.108
p74,p39,1.075
p74,p40,1.094
p74,p41,1.11
p74,p42,1.174
p74,p43,1.16
p74,p44,1.122
p74,p45,1.113
p74,p46,1.143
p74,p47,1.068
p74,p48,1.063
p74,p49,1.077
p74,p50,1.066
p74,p51,1.057
p74,p52,1.084
p74,p53,1.079
p74,p54,1.089
p74,p55,1.07
p74,p56,1.068
p74,p57,1.079
p74,p58,1.064
p74,p59,1.088
p74,p60,1.061
p74,p61,1.081
p74,p62,1.061
p74,p63,1.112
p74,p64,1.166
p74,p65,1.19
p74,p66,1.074
p74,p67,1.106
p74,p68,1.147
p74,p69,1.134
p74,p70,1.113
p74,p71,1.075
p74,p72,1.06
p74,p73,1.07
p74,p75,1.147
p74,p76,1.137
p74,p77,1.148
p74,p78,1.098
p74,p79,1.108
p74,p80,1.099
p74,p81,1.079
p74,p82,1.075
p74,p83,1.084
p74,p84,1.063
p74,p85,1.057
p74,p86,1.051
p74,p87,1.049
p74,p88,1.103
p74,p89,1.211
p74,p90,1.13
p74,p91,1.181
p74,p92,1.15
p74,p93,1.106
p74,p94,1.308
p74,p95,1.406
p74,p96,1.462
p74,p97,1.426
p74,p98,1.461
p74,p99,1.477
p74,p100,1.796
p74,p101,1.413
p74,p102,1.438
p74,p103,1.08
p74,p104,1.095
p74,p105,1.158
p74,p106,1.077
p74,p107,1.064
p74,p108,1.069
p74,p109,1.149
p74,p110,1.302
p74,p111,1.262
p74,p112,1.281
p74,p113,1.212
p74,p114,1.267
p74,p115,1.482
p74,p116,1.426
p74,p117,1.491
p74,p118,1.409
p74,p119,1.674
p74,p120,1.791
p74,p121,1.781
p74,p122,1.902
p74,p123,1.862
p74,p124,1.885
p74,p125,1.886
p74,p126,1.888
p74,p127,1.693
p74,p128,2.027
p74,p129,1.742
p74,p130,1.915
p74,p131,1.935
p74,p132,1.815
p74,p133,1.897
p74,p134,2.025
p75,p1,1.227
p75,p2,1.205
p75,p3,1.195
p75,p4,1.191
p75,p5,1.246
p75,p6,1.21
p75,p7,1.159
p75,p8,1.21
p75,p9,1.389
p75,p10,1.295
p75,p11,1.253
p75,p12,1.206
p75,p13,1.161
p75,p14,1.202
p75,p15,1.16
p75,p16,1.16
p75,p17,1.126
p75,p18,1.076
p75,p19,1.038
p75,p20,1.07
p75,p21,1.094
p75,p22,1.083
p75,p23,1.068
p75,p24,1.054
p75,p25,1.139
p75,p26,1.123
p75,p27,1.16
p75,p28,1.166
p75,p29,1.113
p75,p30,1.111
p75,p31,1.097
p75,p32,1.059
p75,p33,1.052
p75,p34,1.053
p75,p35,1.057
p75,p36,1.041
p75,p37,1.055
p75,p38,1.057
p75,p39,1.052
p75,p40,1.049
p75,p41,1.073
p75,p42,1.085
p75,p43,1.091
p75,p44,1.071
p75,p45,1.062
p75,p46,1.067
p75,p47,1.055
p75,p48,1.063
p75,p49,1.055
p75,p50,1.051
p75,p51,1.038
p75,p52,1.06
p75,p53,1.078
p75,p54,1.071
p75,p55,1.049
p75,p56,1.05
p75,p57,1.067
p75,p58,1.05
p75,p59,1.074
p75,p60,1.061
p75,p61,1.083
p75,p62,1.062
p75,p63,1.105
p75,p64,1.168
p75,p65,1.194
p75,p66,1.062
p75,p67,1.099
p75,p68,1.085
p75,p69,1.068
p75,p70,1.067
p75,p71,1.046
p75,p72,1.026
p75,p73,1.047
p75,p74,1.147
p75,p76,1.061
p75,p77,1.06
p75,p78,1.042
p75,p79,1.053
p75,p80,1.061
p75,p81,1.036
p75,p82,1.029
p75,p83,1.054
p75,p84,1.038
p75,p85,1.036
p75,p86,1.033
p75,p87,1.031
p75,p88,1.093
p75,p89,1.278
p75,p90,1.126
p75,p91,1.184
p75,p92,1.15
p75,p93,1.095
p75,p94,1.338
p75,p95,1.455
p75,p96,1.51
p75,p97,1.477
p75,p98,1.512
p75,p99,1.523
p75,p100,1.92
p75,p101,1.445
p75,p102,1.469
p75,p103,1.057
p75,p104,1.07
p75,p105,1.163
p75,p106,1.047
p75,p107,1.038
p75,p108,1.044
p75,p109,1.149
p75,p110,1.336
p75,p111,1.296
p75,p112,1.325
p75,p113,1.236
p75,p114,1.308
p75,p115,1.564
p75,p116,1.501
p75,p117,1.576
p75,p118,1.455
p75,p119,1.783
p75,p120,1.919
p75,p121,1.906
p75,p122,2.031
p75,p123,1.992
p75,p124,1.996
p75,p125,2.011
p75,p126,2.012
p75,p127,1.779
p75,p128,2.162
p75,p129,1.826
p75,p130,2.022
p75,p131,2.043
p75,p132,1.909
p75,p133,1.999
p75,p134,2.137
p76,p1,1.226
p76,p2,1.204
p76,p3,1.193
p76,p4,1.19
p76,p5,1.245
p76,p6,1.214
p76,p7,1.162
p76,p8,1.213
p76,p9,1.394
p76,p10,1.299
p76,p11,1.257
p76,p12,1.21
p76,p13,1.165
p76,p14,1.201
p76,p15,1.163
p76,p16,1.164
p76,p17,1.124
p76,p18,1.073
p76,p19,1.035
