*i,ii,ctt,wst
csp3_5_r_ss,csp3_5,r,ss
csp3_6_r_ss,csp3_6,r,ss
csp3_7_r_ss,csp3_7,r,ss
csp3_8_r_ss,csp3_8,r,ss
csp3_9_r_ss,csp3_9,r,ss
csp3_10_r_ss,csp3_10,r,ss
csp3_11_r_ss,csp3_11,r,ss
csp3_12_r_ss,csp3_12,r,ss
csp3_1_r_ww,csp3_1,r,ww
csp3_2_r_ww,csp3_2,r,ww
csp3_3_r_ww,csp3_3,r,ww
csp3_4_r_ww,csp3_4,r,ww
csp3_5_r_ww,csp3_5,r,ww
csp3_6_r_ww,csp3_6,r,ww
csp3_7_r_ww,csp3_7,r,ww
csp3_8_r_ww,csp3_8,r,ww
csp3_9_r_ww,csp3_9,r,ww
csp3_10_r_ww,csp3_10,r,ww
csp3_11_r_ww,csp3_11,r,ww
csp3_12_r_ww,csp3_12,r,ww
csp3_1_d_fsu,csp3_1,d,fsu
csp3_2_d_fsu,csp3_2,d,fsu
csp3_3_d_fsu,csp3_3,d,fsu
csp3_4_d_fsu,csp3_4,d,fsu
csp3_5_d_fsu,csp3_5,d,fsu
csp3_6_d_fsu,csp3_6,d,fsu
csp3_7_d_fsu,csp3_7,d,fsu
csp3_8_d_fsu,csp3_8,d,fsu
csp3_9_d_fsu,csp3_9,d,fsu
csp3_10_d_fsu,csp3_10,d,fsu
csp3_11_d_fsu,csp3_11,d,fsu
csp3_12_d_fsu,csp3_12,d,fsu
csp3_1_d_fsa,csp3_1,d,fsa
csp3_2_d_fsa,csp3_2,d,fsa
csp3_3_d_fsa,csp3_3,d,fsa
csp3_4_d_fsa,csp3_4,d,fsa
csp3_5_d_fsa,csp3_5,d,fsa
csp3_6_d_fsa,csp3_6,d,fsa
csp3_7_d_fsa,csp3_7,d,fsa
csp3_8_d_fsa,csp3_8,d,fsa
csp3_9_d_fsa,csp3_9,d,fsa
csp3_10_d_fsa,csp3_10,d,fsa
csp3_11_d_fsa,csp3_11,d,fsa
csp3_12_d_fsa,csp3_12,d,fsa
csp3_1_d_fsl,csp3_1,d,fsl
csp3_2_d_fsl,csp3_2,d,fsl
csp3_3_d_fsl,csp3_3,d,fsl
csp3_4_d_fsl,csp3_4,d,fsl
csp3_5_d_fsl,csp3_5,d,fsl
csp3_6_d_fsl,csp3_6,d,fsl
csp3_7_d_fsl,csp3_7,d,fsl
csp3_8_d_fsl,csp3_8,d,fsl
csp3_9_d_fsl,csp3_9,d,fsl
csp3_10_d_fsl,csp3_10,d,fsl
csp3_11_d_fsl,csp3_11,d,fsl
csp3_12_d_fsl,csp3_12,d,fsl
csp3_1_d_fg,csp3_1,d,fg
csp3_2_d_fg,csp3_2,d,fg
csp3_3_d_fg,csp3_3,d,fg
csp3_4_d_fg,csp3_4,d,fg
csp3_5_d_fg,csp3_5,d,fg
csp3_6_d_fg,csp3_6,d,fg
csp3_7_d_fg,csp3_7,d,fg
csp3_8_d_fg,csp3_8,d,fg
csp3_9_d_fg,csp3_9,d,fg
csp3_10_d_fg,csp3_10,d,fg
csp3_11_d_fg,csp3_11,d,fg
csp3_12_d_fg,csp3_12,d,fg
csp3_1_d_sg,csp3_1,d,sg
csp3_2_d_sg,csp3_2,d,sg
csp3_3_d_sg,csp3_3,d,sg
csp3_4_d_sg,csp3_4,d,sg
csp3_5_d_sg,csp3_5,d,sg
csp3_6_d_sg,csp3_6,d,sg
csp3_7_d_sg,csp3_7,d,sg
csp3_8_d_sg,csp3_8,d,sg
csp3_9_d_sg,csp3_9,d,sg
csp3_10_d_sg,csp3_10,d,sg
csp3_11_d_sg,csp3_11,d,sg
csp3_12_d_sg,csp3_12,d,sg
csp3_1_d_ss,csp3_1,d,ss
csp3_2_d_ss,csp3_2,d,ss
csp3_3_d_ss,csp3_3,d,ss
csp3_4_d_ss,csp3_4,d,ss
csp3_5_d_ss,csp3_5,d,ss
csp3_6_d_ss,csp3_6,d,ss
csp3_7_d_ss,csp3_7,d,ss
csp3_8_d_ss,csp3_8,d,ss
csp3_9_d_ss,csp3_9,d,ss
csp3_10_d_ss,csp3_10,d,ss
csp3_11_d_ss,csp3_11,d,ss
csp3_12_d_ss,csp3_12,d,ss
csp3_1_d_ww,csp3_1,d,ww
csp3_2_d_ww,csp3_2,d,ww
csp3_3_d_ww,csp3_3,d,ww
csp3_4_d_ww,csp3_4,d,ww
csp3_5_d_ww,csp3_5,d,ww
csp3_6_d_ww,csp3_6,d,ww
csp3_7_d_ww,csp3_7,d,ww
csp3_8_d_ww,csp3_8,d,ww
csp3_9_d_ww,csp3_9,d,ww
csp3_10_d_ww,csp3_10,d,ww
csp3_11_d_ww,csp3_11,d,ww
csp3_12_d_ww,csp3_12,d,ww
csp4_1_r_fsu,csp4_1,r,fsu
csp4_2_r_fsu,csp4_2,r,fsu
csp4_3_r_fsu,csp4_3,r,fsu
csp4_4_r_fsu,csp4_4,r,fsu
csp4_5_r_fsu,csp4_5,r,fsu
csp4_6_r_fsu,csp4_6,r,fsu
csp4_7_r_fsu,csp4_7,r,fsu
csp4_8_r_fsu,csp4_8,r,fsu
csp4_9_r_fsu,csp4_9,r,fsu
csp4_10_r_fsu,csp4_10,r,fsu
csp4_11_r_fsu,csp4_11,r,fsu
csp4_12_r_fsu,csp4_12,r,fsu
csp4_1_r_fsa,csp4_1,r,fsa
csp4_2_r_fsa,csp4_2,r,fsa
csp4_3_r_fsa,csp4_3,r,fsa
csp4_4_r_fsa,csp4_4,r,fsa
csp4_5_r_fsa,csp4_5,r,fsa
csp4_6_r_fsa,csp4_6,r,fsa
csp4_7_r_fsa,csp4_7,r,fsa
csp4_8_r_fsa,csp4_8,r,fsa
csp4_9_r_fsa,csp4_9,r,fsa
csp4_10_r_fsa,csp4_10,r,fsa
csp4_11_r_fsa,csp4_11,r,fsa
csp4_12_r_fsa,csp4_12,r,fsa
csp4_1_r_fsl,csp4_1,r,fsl
csp4_2_r_fsl,csp4_2,r,fsl
csp4_3_r_fsl,csp4_3,r,fsl
csp4_4_r_fsl,csp4_4,r,fsl
csp4_5_r_fsl,csp4_5,r,fsl
csp4_6_r_fsl,csp4_6,r,fsl
csp4_7_r_fsl,csp4_7,r,fsl
csp4_8_r_fsl,csp4_8,r,fsl
csp4_9_r_fsl,csp4_9,r,fsl
csp4_10_r_fsl,csp4_10,r,fsl
csp4_11_r_fsl,csp4_11,r,fsl
csp4_12_r_fsl,csp4_12,r,fsl
csp4_1_r_fg,csp4_1,r,fg
csp4_2_r_fg,csp4_2,r,fg
csp4_3_r_fg,csp4_3,r,fg
csp4_4_r_fg,csp4_4,r,fg
csp4_5_r_fg,csp4_5,r,fg
csp4_6_r_fg,csp4_6,r,fg
csp4_7_r_fg,csp4_7,r,fg
csp4_8_r_fg,csp4_8,r,fg
csp4_9_r_fg,csp4_9,r,fg
csp4_10_r_fg,csp4_10,r,fg
csp4_11_r_fg,csp4_11,r,fg
csp4_12_r_fg,csp4_12,r,fg
csp4_1_r_sg,csp4_1,r,sg
csp4_2_r_sg,csp4_2,r,sg
csp4_3_r_sg,csp4_3,r,sg
csp4_4_r_sg,csp4_4,r,sg
csp4_5_r_sg,csp4_5,r,sg
csp4_6_r_sg,csp4_6,r,sg
csp4_7_r_sg,csp4_7,r,sg
csp4_8_r_sg,csp4_8,r,sg
csp4_9_r_sg,csp4_9,r,sg
csp4_10_r_sg,csp4_10,r,sg
csp4_11_r_sg,csp4_11,r,sg
csp4_12_r_sg,csp4_12,r,sg
csp4_1_r_ss,csp4_1,r,ss
csp4_2_r_ss,csp4_2,r,ss
csp4_3_r_ss,csp4_3,r,ss
csp4_4_r_ss,csp4_4,r,ss
csp4_5_r_ss,csp4_5,r,ss
csp4_6_r_ss,csp4_6,r,ss
csp4_7_r_ss,csp4_7,r,ss
csp4_8_r_ss,csp4_8,r,ss
csp4_9_r_ss,csp4_9,r,ss
csp4_10_r_ss,csp4_10,r,ss
csp4_11_r_ss,csp4_11,r,ss
csp4_12_r_ss,csp4_12,r,ss
csp4_1_r_ww,csp4_1,r,ww
csp4_2_r_ww,csp4_2,r,ww
csp4_3_r_ww,csp4_3,r,ww
csp4_4_r_ww,csp4_4,r,ww
csp4_5_r_ww,csp4_5,r,ww
csp4_6_r_ww,csp4_6,r,ww
csp4_7_r_ww,csp4_7,r,ww
csp4_8_r_ww,csp4_8,r,ww
csp4_9_r_ww,csp4_9,r,ww
csp4_10_r_ww,csp4_10,r,ww
csp4_11_r_ww,csp4_11,r,ww
csp4_12_r_ww,csp4_12,r,ww
csp4_1_d_fsu,csp4_1,d,fsu
csp4_2_d_fsu,csp4_2,d,fsu
csp4_3_d_fsu,csp4_3,d,fsu
csp4_4_d_fsu,csp4_4,d,fsu
csp4_5_d_fsu,csp4_5,d,fsu
csp4_6_d_fsu,csp4_6,d,fsu
csp4_7_d_fsu,csp4_7,d,fsu
csp4_8_d_fsu,csp4_8,d,fsu
csp4_9_d_fsu,csp4_9,d,fsu
csp4_10_d_fsu,csp4_10,d,fsu
csp4_11_d_fsu,csp4_11,d,fsu
csp4_12_d_fsu,csp4_12,d,fsu
csp4_1_d_fsa,csp4_1,d,fsa
csp4_2_d_fsa,csp4_2,d,fsa
csp4_3_d_fsa,csp4_3,d,fsa
csp4_4_d_fsa,csp4_4,d,fsa
csp4_5_d_fsa,csp4_5,d,fsa
csp4_6_d_fsa,csp4_6,d,fsa
csp4_7_d_fsa,csp4_7,d,fsa
csp4_8_d_fsa,csp4_8,d,fsa
csp4_9_d_fsa,csp4_9,d,fsa
csp4_10_d_fsa,csp4_10,d,fsa
csp4_11_d_fsa,csp4_11,d,fsa
csp4_12_d_fsa,csp4_12,d,fsa
csp4_1_d_fsl,csp4_1,d,fsl
csp4_2_d_fsl,csp4_2,d,fsl
csp4_3_d_fsl,csp4_3,d,fsl
csp4_4_d_fsl,csp4_4,d,fsl
csp4_5_d_fsl,csp4_5,d,fsl
csp4_6_d_fsl,csp4_6,d,fsl
csp4_7_d_fsl,csp4_7,d,fsl
csp4_8_d_fsl,csp4_8,d,fsl
csp4_9_d_fsl,csp4_9,d,fsl
csp4_10_d_fsl,csp4_10,d,fsl
csp4_11_d_fsl,csp4_11,d,fsl
csp4_12_d_fsl,csp4_12,d,fsl
csp4_1_d_fg,csp4_1,d,fg
csp4_2_d_fg,csp4_2,d,fg
csp4_3_d_fg,csp4_3,d,fg
csp4_4_d_fg,csp4_4,d,fg
csp4_5_d_fg,csp4_5,d,fg
csp4_6_d_fg,csp4_6,d,fg
csp4_7_d_fg,csp4_7,d,fg
csp4_8_d_fg,csp4_8,d,fg
csp4_9_d_fg,csp4_9,d,fg
csp4_10_d_fg,csp4_10,d,fg
csp4_11_d_fg,csp4_11,d,fg
csp4_12_d_fg,csp4_12,d,fg
csp4_1_d_sg,csp4_1,d,sg
csp4_2_d_sg,csp4_2,d,sg
csp4_3_d_sg,csp4_3,d,sg
csp4_4_d_sg,csp4_4,d,sg
csp4_5_d_sg,csp4_5,d,sg
csp4_6_d_sg,csp4_6,d,sg
csp4_7_d_sg,csp4_7,d,sg
csp4_8_d_sg,csp4_8,d,sg
csp4_9_d_sg,csp4_9,d,sg
csp4_10_d_sg,csp4_10,d,sg
csp4_11_d_sg,csp4_11,d,sg
csp4_12_d_sg,csp4_12,d,sg
csp4_1_d_ss,csp4_1,d,ss
csp4_2_d_ss,csp4_2,d,ss
csp4_3_d_ss,csp4_3,d,ss
csp4_4_d_ss,csp4_4,d,ss
csp4_5_d_ss,csp4_5,d,ss
csp4_6_d_ss,csp4_6,d,ss
csp4_7_d_ss,csp4_7,d,ss
csp4_8_d_ss,csp4_8,d,ss
csp4_9_d_ss,csp4_9,d,ss
csp4_10_d_ss,csp4_10,d,ss
csp4_11_d_ss,csp4_11,d,ss
csp4_12_d_ss,csp4_12,d,ss
csp4_1_d_ww,csp4_1,d,ww
csp4_2_d_ww,csp4_2,d,ww
csp4_3_d_ww,csp4_3,d,ww
csp4_4_d_ww,csp4_4,d,ww
csp4_5_d_ww,csp4_5,d,ww
csp4_6_d_ww,csp4_6,d,ww
csp4_7_d_ww,csp4_7,d,ww
csp4_8_d_ww,csp4_8,d,ww
csp4_9_d_ww,csp4_9,d,ww
csp4_10_d_ww,csp4_10,d,ww
csp4_11_d_ww,csp4_11,d,ww
csp4_12_d_ww,csp4_12,d,ww
