"r","rs","i","h","value"
"Andhra_Pradesh",5,"OFSWIND","H7",0.1636
"Andhra_Pradesh",5,"OFSWIND","H2",0.129225806451613
"Andhra_Pradesh",5,"OFSWIND","H5",0.207924731182796
"Andhra_Pradesh",6,"UPV","H32",0.505188524590164
"Andhra_Pradesh",6,"UPV","H34",0
"Andhra_Pradesh",6,"UPV","H31",0.313163934426229
"Andhra_Pradesh",6,"UPV","H29",0
"Andhra_Pradesh",6,"UPV","H35",0
"Andhra_Pradesh",6,"UPV","H30",0.000191256830601093
"Andhra_Pradesh",6,"UPV","H33",0.171021857923497
"Andhra_Pradesh",6,"UPV","H25",0.452641304347826
"Andhra_Pradesh",6,"UPV","H27",0.00202735562310031
"Andhra_Pradesh",6,"UPV","H24",0.268032608695652
"Andhra_Pradesh",6,"UPV","H22",0
"Andhra_Pradesh",6,"UPV","H28",0.003425
"Andhra_Pradesh",6,"UPV","H23",0.00219927536231884
"Andhra_Pradesh",6,"UPV","H26",0.211349090909091
"Andhra_Pradesh",6,"UPV","H11",0.630444915254237
"Andhra_Pradesh",6,"UPV","H13",3.57142857142857e-05
"Andhra_Pradesh",6,"UPV","H10",0.340550847457627
"Andhra_Pradesh",6,"UPV","H8",0
"Andhra_Pradesh",6,"UPV","H14",0
"Andhra_Pradesh",6,"UPV","H9",0
"Andhra_Pradesh",6,"UPV","H12",0.292593220338983
"Andhra_Pradesh",6,"UPV","H18",0.503646153846155
"Andhra_Pradesh",6,"UPV","H20",0
"Andhra_Pradesh",6,"UPV","H17",0.271778021978022
"Andhra_Pradesh",6,"UPV","H15",0
"Andhra_Pradesh",6,"UPV","H21",0
"Andhra_Pradesh",6,"UPV","H16",0
"Andhra_Pradesh",6,"UPV","H19",0.113172161172161
"Andhra_Pradesh",6,"UPV","H4",0.578516129032259
"Andhra_Pradesh",6,"UPV","H6",0
"Andhra_Pradesh",6,"UPV","H3",0.394306451612903
"Andhra_Pradesh",6,"UPV","H1",0
"Andhra_Pradesh",6,"UPV","H7",0
"Andhra_Pradesh",6,"UPV","H2",0.0203548387096774
"Andhra_Pradesh",6,"UPV","H5",0.229559139784946
"Andhra_Pradesh",6,"ONSWIND","H32",0.110319672131147
"Andhra_Pradesh",6,"ONSWIND","H34",0.238470588235294
"Andhra_Pradesh",6,"ONSWIND","H31",0.137717213114754
"Andhra_Pradesh",6,"ONSWIND","H29",0.280827868852459
"Andhra_Pradesh",6,"ONSWIND","H35",0.035775
"Andhra_Pradesh",6,"ONSWIND","H30",0.215863387978142
"Andhra_Pradesh",6,"ONSWIND","H33",0.126120218579235
"Andhra_Pradesh",6,"ONSWIND","H25",0.320758152173913
"Andhra_Pradesh",6,"ONSWIND","H27",0.457395136778115
"Andhra_Pradesh",6,"ONSWIND","H24",0.343595108695652
"Andhra_Pradesh",6,"ONSWIND","H22",0.547586956521739
"Andhra_Pradesh",6,"ONSWIND","H28",0.47385
"Andhra_Pradesh",6,"ONSWIND","H23",0.476623188405797
"Andhra_Pradesh",6,"ONSWIND","H26",0.319007272727273
"Andhra_Pradesh",6,"ONSWIND","H11",0.0736949152542373
"Andhra_Pradesh",6,"ONSWIND","H13",0.197964285714286
"Andhra_Pradesh",6,"ONSWIND","H10",0.136885593220339
"Andhra_Pradesh",6,"ONSWIND","H8",0.492008474576271
"Andhra_Pradesh",6,"ONSWIND","H14",0.29305
"Andhra_Pradesh",6,"ONSWIND","H9",0.320531073446328
"Andhra_Pradesh",6,"ONSWIND","H12",0.0600564971751412
"Andhra_Pradesh",6,"ONSWIND","H18",0.163305494505495
"Andhra_Pradesh",6,"ONSWIND","H20",0.282334763948498
"Andhra_Pradesh",6,"ONSWIND","H17",0.228586813186813
"Andhra_Pradesh",6,"ONSWIND","H15",0.45447032967033
"Andhra_Pradesh",6,"ONSWIND","H21",0.358325
"Andhra_Pradesh",6,"ONSWIND","H16",0.386018315018315
"Andhra_Pradesh",6,"ONSWIND","H19",0.151131868131868
"Andhra_Pradesh",6,"ONSWIND","H4",0.0574072580645162
"Andhra_Pradesh",6,"ONSWIND","H6",0.213418269230769
"Andhra_Pradesh",6,"ONSWIND","H3",0.0756236559139785
"Andhra_Pradesh",6,"ONSWIND","H1",0.343859447004609
"Andhra_Pradesh",6,"ONSWIND","H7",0.139375
"Andhra_Pradesh",6,"ONSWIND","H2",0.169177419354839
"Andhra_Pradesh",6,"ONSWIND","H5",0.0537204301075269
"Andhra_Pradesh",7,"UPV","H32",0.469831967213115
"Andhra_Pradesh",7,"UPV","H34",0
"Andhra_Pradesh",7,"UPV","H31",0.283225409836066
"Andhra_Pradesh",7,"UPV","H29",0
"Andhra_Pradesh",7,"UPV","H35",0
"Andhra_Pradesh",7,"UPV","H30",0.000830601092896175
"Andhra_Pradesh",7,"UPV","H33",0.155409836065574
"Andhra_Pradesh",7,"UPV","H25",0.419535326086956
"Andhra_Pradesh",7,"UPV","H27",0.00121276595744681
"Andhra_Pradesh",7,"UPV","H24",0.251095108695652
"Andhra_Pradesh",7,"UPV","H22",0
"Andhra_Pradesh",7,"UPV","H28",0.0032
"Andhra_Pradesh",7,"UPV","H23",0.00353260869565218
"Andhra_Pradesh",7,"UPV","H26",0.197869090909091
"Andhra_Pradesh",7,"UPV","H11",0.609724576271186
"Andhra_Pradesh",7,"UPV","H13",0
"Andhra_Pradesh",7,"UPV","H10",0.339686440677966
"Andhra_Pradesh",7,"UPV","H8",0
"Andhra_Pradesh",7,"UPV","H14",0
"Andhra_Pradesh",7,"UPV","H9",2.25988700564972e-05
"Andhra_Pradesh",7,"UPV","H12",0.275853107344633
"Andhra_Pradesh",7,"UPV","H18",0.490821978021978
"Andhra_Pradesh",7,"UPV","H20",0
"Andhra_Pradesh",7,"UPV","H17",0.269404395604396
"Andhra_Pradesh",7,"UPV","H15",0
"Andhra_Pradesh",7,"UPV","H21",0
"Andhra_Pradesh",7,"UPV","H16",0
"Andhra_Pradesh",7,"UPV","H19",0.10267032967033
"Andhra_Pradesh",7,"UPV","H4",0.558072580645162
"Andhra_Pradesh",7,"UPV","H6",0
"Andhra_Pradesh",7,"UPV","H3",0.402005376344086
"Andhra_Pradesh",7,"UPV","H1",0
"Andhra_Pradesh",7,"UPV","H7",0
"Andhra_Pradesh",7,"UPV","H2",0.0245
"Andhra_Pradesh",7,"UPV","H5",0.21258064516129
"Andhra_Pradesh",7,"ONSWIND","H32",0.154225409836066
"Andhra_Pradesh",7,"ONSWIND","H34",0.222504901960784
