t,r,i,value
2045,Jammu_Kashmir,SUBCRITICAL-LIGNITE,0
2047,Jammu_Kashmir,SUBCRITICAL-LIGNITE,0
2017,Jammu_Kashmir,SUPERCRITICAL-COAL,0
2019,Jammu_Kashmir,SUPERCRITICAL-COAL,0
2021,Jammu_Kashmir,SUPERCRITICAL-COAL,0
2023,Jammu_Kashmir,SUPERCRITICAL-COAL,0
2025,Jammu_Kashmir,SUPERCRITICAL-COAL,0
2027,Jammu_Kashmir,SUPERCRITICAL-COAL,0
2029,Jammu_Kashmir,SUPERCRITICAL-COAL,0
2031,Jammu_Kashmir,SUPERCRITICAL-COAL,0
2033,Jammu_Kashmir,SUPERCRITICAL-COAL,0
2035,Jammu_Kashmir,SUPERCRITICAL-COAL,0
2037,Jammu_Kashmir,SUPERCRITICAL-COAL,0
2039,Jammu_Kashmir,SUPERCRITICAL-COAL,0
2041,Jammu_Kashmir,SUPERCRITICAL-COAL,0
2043,Jammu_Kashmir,SUPERCRITICAL-COAL,0
2045,Jammu_Kashmir,SUPERCRITICAL-COAL,0
2047,Jammu_Kashmir,SUPERCRITICAL-COAL,0
2017,Jammu_Kashmir,WHR,0
2019,Jammu_Kashmir,WHR,0
2021,Jammu_Kashmir,WHR,0
2023,Jammu_Kashmir,WHR,0
2025,Jammu_Kashmir,WHR,0
2027,Jammu_Kashmir,WHR,0
2029,Jammu_Kashmir,WHR,0
2031,Jammu_Kashmir,WHR,0
2033,Jammu_Kashmir,WHR,0
2035,Jammu_Kashmir,WHR,0
2037,Jammu_Kashmir,WHR,0
2039,Jammu_Kashmir,WHR,0
2041,Jammu_Kashmir,WHR,0
2043,Jammu_Kashmir,WHR,0
2045,Jammu_Kashmir,WHR,0
2047,Jammu_Kashmir,WHR,0
2017,Jharkhand,CCGT-GAS,0
2019,Jharkhand,CCGT-GAS,0
2021,Jharkhand,CCGT-GAS,0
2023,Jharkhand,CCGT-GAS,0
2025,Jharkhand,CCGT-GAS,0
2027,Jharkhand,CCGT-GAS,0
2029,Jharkhand,CCGT-GAS,0
2031,Jharkhand,CCGT-GAS,0
2033,Jharkhand,CCGT-GAS,0
2035,Jharkhand,CCGT-GAS,0
2037,Jharkhand,CCGT-GAS,0
2039,Jharkhand,CCGT-GAS,0
2041,Jharkhand,CCGT-GAS,0
2043,Jharkhand,CCGT-GAS,0
2045,Jharkhand,CCGT-GAS,0
2047,Jharkhand,CCGT-GAS,0
2017,Jharkhand,CCGT-LNG,0
2019,Jharkhand,CCGT-LNG,0
2021,Jharkhand,CCGT-LNG,0
2023,Jharkhand,CCGT-LNG,0
2025,Jharkhand,CCGT-LNG,0
2027,Jharkhand,CCGT-LNG,0
2029,Jharkhand,CCGT-LNG,0
2031,Jharkhand,CCGT-LNG,0
2033,Jharkhand,CCGT-LNG,0
2035,Jharkhand,CCGT-LNG,0
2037,Jharkhand,CCGT-LNG,0
2039,Jharkhand,CCGT-LNG,0
2041,Jharkhand,CCGT-LNG,0
2043,Jharkhand,CCGT-LNG,0
2045,Jharkhand,CCGT-LNG,0
2047,Jharkhand,CCGT-LNG,0
2017,Jharkhand,COGENERATION-BAGASSE,0
2019,Jharkhand,COGENERATION-BAGASSE,0
2021,Jharkhand,COGENERATION-BAGASSE,0
2023,Jharkhand,COGENERATION-BAGASSE,0
2025,Jharkhand,COGENERATION-BAGASSE,0
2027,Jharkhand,COGENERATION-BAGASSE,0
2029,Jharkhand,COGENERATION-BAGASSE,0
2031,Jharkhand,COGENERATION-BAGASSE,0
2033,Jharkhand,COGENERATION-BAGASSE,0
2035,Jharkhand,COGENERATION-BAGASSE,0
2037,Jharkhand,COGENERATION-BAGASSE,0
2039,Jharkhand,COGENERATION-BAGASSE,0
2041,Jharkhand,COGENERATION-BAGASSE,0
2043,Jharkhand,COGENERATION-BAGASSE,0
2045,Jharkhand,COGENERATION-BAGASSE,0
2047,Jharkhand,COGENERATION-BAGASSE,0
2017,Jharkhand,CT-GAS,0
2019,Jharkhand,CT-GAS,0
2021,Jharkhand,CT-GAS,0
2023,Jharkhand,CT-GAS,0
2025,Jharkhand,CT-GAS,0
2027,Jharkhand,CT-GAS,0
2029,Jharkhand,CT-GAS,0
2031,Jharkhand,CT-GAS,0
2033,Jharkhand,CT-GAS,0
2035,Jharkhand,CT-GAS,0
2037,Jharkhand,CT-GAS,0
2039,Jharkhand,CT-GAS,0
2041,Jharkhand,CT-GAS,0
2043,Jharkhand,CT-GAS,0
2045,Jharkhand,CT-GAS,0
2047,Jharkhand,CT-GAS,0
2017,Jharkhand,DIESEL,0
2019,Jharkhand,DIESEL,0
2021,Jharkhand,DIESEL,0
2023,Jharkhand,DIESEL,0
2025,Jharkhand,DIESEL,0
2027,Jharkhand,DIESEL,0
2029,Jharkhand,DIESEL,0
2031,Jharkhand,DIESEL,0
2033,Jharkhand,DIESEL,0
2035,Jharkhand,DIESEL,0
2037,Jharkhand,DIESEL,0
2039,Jharkhand,DIESEL,0
2041,Jharkhand,DIESEL,0
2043,Jharkhand,DIESEL,0
2045,Jharkhand,DIESEL,0
2047,Jharkhand,DIESEL,0
2017,Jharkhand,SUBCRITICAL-COAL,115
2019,Jharkhand,SUBCRITICAL-COAL,229
2021,Jharkhand,SUBCRITICAL-COAL,115
2023,Jharkhand,SUBCRITICAL-COAL,0
2025,Jharkhand,SUBCRITICAL-COAL,0
2027,Jharkhand,SUBCRITICAL-COAL,65
2029,Jharkhand,SUBCRITICAL-COAL,0
2031,Jharkhand,SUBCRITICAL-COAL,0
2033,Jharkhand,SUBCRITICAL-COAL,0
2035,Jharkhand,SUBCRITICAL-COAL,229
2037,Jharkhand,SUBCRITICAL-COAL,146
2039,Jharkhand,SUBCRITICAL-COAL,80
2041,Jharkhand,SUBCRITICAL-COAL,271
2043,Jharkhand,SUBCRITICAL-COAL,0
2045,Jharkhand,SUBCRITICAL-COAL,0
2047,Jharkhand,SUBCRITICAL-COAL,0
2017,Jharkhand,SUBCRITICAL-LIGNITE,0
2019,Jharkhand,SUBCRITICAL-LIGNITE,0
2021,Jharkhand,SUBCRITICAL-LIGNITE,0
2023,Jharkhand,SUBCRITICAL-LIGNITE,0
2025,Jharkhand,SUBCRITICAL-LIGNITE,0
2027,Jharkhand,SUBCRITICAL-LIGNITE,0
2029,Jharkhand,SUBCRITICAL-LIGNITE,0
2031,Jharkhand,SUBCRITICAL-LIGNITE,0
2033,Jharkhand,SUBCRITICAL-LIGNITE,0
2035,Jharkhand,SUBCRITICAL-LIGNITE,0
2037,Jharkhand,SUBCRITICAL-LIGNITE,0
2039,Jharkhand,SUBCRITICAL-LIGNITE,0
2041,Jharkhand,SUBCRITICAL-LIGNITE,0
2043,Jharkhand,SUBCRITICAL-LIGNITE,0
2045,Jharkhand,SUBCRITICAL-LIGNITE,0
2047,Jharkhand,SUBCRITICAL-LIGNITE,0
2017,Jharkhand,SUPERCRITICAL-COAL,0
2019,Jharkhand,SUPERCRITICAL-COAL,0
2021,Jharkhand,SUPERCRITICAL-COAL,0
2023,Jharkhand,SUPERCRITICAL-COAL,0
2025,Jharkhand,SUPERCRITICAL-COAL,0
2027,Jharkhand,SUPERCRITICAL-COAL,0
2029,Jharkhand,SUPERCRITICAL-COAL,0
2031,Jharkhand,SUPERCRITICAL-COAL,0
2033,Jharkhand,SUPERCRITICAL-COAL,0
2035,Jharkhand,SUPERCRITICAL-COAL,0
2037,Jharkhand,SUPERCRITICAL-COAL,0
2039,Jharkhand,SUPERCRITICAL-COAL,0
2041,Jharkhand,SUPERCRITICAL-COAL,0
2043,Jharkhand,SUPERCRITICAL-COAL,0
2045,Jharkhand,SUPERCRITICAL-COAL,0
2047,Jharkhand,SUPERCRITICAL-COAL,0
2017,Jharkhand,WHR,0
2019,Jharkhand,WHR,0
2021,Jharkhand,WHR,0
2023,Jharkhand,WHR,0
2025,Jharkhand,WHR,0
2027,Jharkhand,WHR,0
2029,Jharkhand,WHR,0
2031,Jharkhand,WHR,0
2033,Jharkhand,WHR,0
2035,Jharkhand,WHR,0
2037,Jharkhand,WHR,0
2039,Jharkhand,WHR,0
2041,Jharkhand,WHR,0
2043,Jharkhand,WHR,0
2045,Jharkhand,WHR,0
2047,Jharkhand,WHR,0
2017,Karnataka,CCGT-GAS,0
2019,Karnataka,CCGT-GAS,0
2021,Karnataka,CCGT-GAS,0
2023,Karnataka,CCGT-GAS,0
2025,Karnataka,CCGT-GAS,0
2027,Karnataka,CCGT-GAS,0
2029,Karnataka,CCGT-GAS,0
2031,Karnataka,CCGT-GAS,0
2033,Karnataka,CCGT-GAS,0
2035,Karnataka,CCGT-GAS,0
2037,Karnataka,CCGT-GAS,0
2039,Karnataka,CCGT-GAS,0
2041,Karnataka,CCGT-GAS,0
2043,Karnataka,CCGT-GAS,0
2045,Karnataka,CCGT-GAS,0
2047,Karnataka,CCGT-GAS,0
2017,Karnataka,CCGT-LNG,0
2019,Karnataka,CCGT-LNG,0
2021,Karnataka,CCGT-LNG,0
2023,Karnataka,CCGT-LNG,0
2025,Karnataka,CCGT-LNG,0
2027,Karnataka,CCGT-LNG,0
2029,Karnataka,CCGT-LNG,0
2031,Karnataka,CCGT-LNG,0
2033,Karnataka,CCGT-LNG,0
2035,Karnataka,CCGT-LNG,0
2037,Karnataka,CCGT-LNG,0
2039,Karnataka,CCGT-LNG,0
2041,Karnataka,CCGT-LNG,0
2043,Karnataka,CCGT-LNG,0
2045,Karnataka,CCGT-LNG,0
2047,Karnataka,CCGT-LNG,0
2017,Karnataka,COGENERATION-BAGASSE,0
2019,Karnataka,COGENERATION-BAGASSE,0
2021,Karnataka,COGENERATION-BAGASSE,0
2023,Karnataka,COGENERATION-BAGASSE,0
2025,Karnataka,COGENERATION-BAGASSE,0
2027,Karnataka,COGENERATION-BAGASSE,0
2029,Karnataka,COGENERATION-BAGASSE,0
2031,Karnataka,COGENERATION-BAGASSE,0
2033,Karnataka,COGENERATION-BAGASSE,0
2035,Karnataka,COGENERATION-BAGASSE,0
2037,Karnataka,COGENERATION-BAGASSE,0
2039,Karnataka,COGENERATION-BAGASSE,0
2041,Karnataka,COGENERATION-BAGASSE,0
2043,Karnataka,COGENERATION-BAGASSE,0
2045,Karnataka,COGENERATION-BAGASSE,0
2047,Karnataka,COGENERATION-BAGASSE,0
2017,Karnataka,CT-GAS,0
2019,Karnataka,CT-GAS,0
2021,Karnataka,CT-GAS,0
2023,Karnataka,CT-GAS,0
2025,Karnataka,CT-GAS,0
2027,Karnataka,CT-GAS,0
2029,Karnataka,CT-GAS,0
2031,Karnataka,CT-GAS,0
2033,Karnataka,CT-GAS,0
2035,Karnataka,CT-GAS,0
2037,Karnataka,CT-GAS,0
2039,Karnataka,CT-GAS,0
2041,Karnataka,CT-GAS,0
2043,Karnataka,CT-GAS,0
2045,Karnataka,CT-GAS,0
2047,Karnataka,CT-GAS,0
2017,Karnataka,DIESEL,0
2019,Karnataka,DIESEL,20.9
2021,Karnataka,DIESEL,0
2023,Karnataka,DIESEL,0
2025,Karnataka,DIESEL,4.2
2027,Karnataka,DIESEL,0
2029,Karnataka,DIESEL,0.4
2031,Karnataka,DIESEL,0
2033,Karnataka,DIESEL,0
2035,Karnataka,DIESEL,0
2037,Karnataka,DIESEL,0
2039,Karnataka,DIESEL,0
2041,Karnataka,DIESEL,0
2043,Karnataka,DIESEL,0
2045,Karnataka,DIESEL,0
2047,Karnataka,DIESEL,0
2017,Karnataka,SUBCRITICAL-COAL,0
2019,Karnataka,SUBCRITICAL-COAL,57
2021,Karnataka,SUBCRITICAL-COAL,0
2023,Karnataka,SUBCRITICAL-COAL,58
2025,Karnataka,SUBCRITICAL-COAL,186
2027,Karnataka,SUBCRITICAL-COAL,58
2029,Karnataka,SUBCRITICAL-COAL,0
2031,Karnataka,SUBCRITICAL-COAL,0
2033,Karnataka,SUBCRITICAL-COAL,137
2035,Karnataka,SUBCRITICAL-COAL,211
2037,Karnataka,SUBCRITICAL-COAL,301
2039,Karnataka,SUBCRITICAL-COAL,0
2041,Karnataka,SUBCRITICAL-COAL,192
2043,Karnataka,SUBCRITICAL-COAL,0
2045,Karnataka,SUBCRITICAL-COAL,0
2047,Karnataka,SUBCRITICAL-COAL,0
2017,Karnataka,SUBCRITICAL-LIGNITE,0
2019,Karnataka,SUBCRITICAL-LIGNITE,0
2021,Karnataka,SUBCRITICAL-LIGNITE,0
2023,Karnataka,SUBCRITICAL-LIGNITE,0
2025,Karnataka,SUBCRITICAL-LIGNITE,0
2027,Karnataka,SUBCRITICAL-LIGNITE,0
2029,Karnataka,SUBCRITICAL-LIGNITE,0
2031,Karnataka,SUBCRITICAL-LIGNITE,0
2033,Karnataka,SUBCRITICAL-LIGNITE,0
2035,Karnataka,SUBCRITICAL-LIGNITE,0
2037,Karnataka,SUBCRITICAL-LIGNITE,0
2039,Karnataka,SUBCRITICAL-LIGNITE,0
2041,Karnataka,SUBCRITICAL-LIGNITE,0
2043,Karnataka,SUBCRITICAL-LIGNITE,0
2045,Karnataka,SUBCRITICAL-LIGNITE,0
2047,Karnataka,SUBCRITICAL-LIGNITE,0
2017,Karnataka,SUPERCRITICAL-COAL,0
2019,Karnataka,SUPERCRITICAL-COAL,0
2021,Karnataka,SUPERCRITICAL-COAL,0
2023,Karnataka,SUPERCRITICAL-COAL,0
2025,Karnataka,SUPERCRITICAL-COAL,0
2027,Karnataka,SUPERCRITICAL-COAL,0
2029,Karnataka,SUPERCRITICAL-COAL,0
2031,Karnataka,SUPERCRITICAL-COAL,0
2033,Karnataka,SUPERCRITICAL-COAL,0
2035,Karnataka,SUPERCRITICAL-COAL,0
2037,Karnataka,SUPERCRITICAL-COAL,0
2039,Karnataka,SUPERCRITICAL-COAL,0
2041,Karnataka,SUPERCRITICAL-COAL,1600
2043,Karnataka,SUPERCRITICAL-COAL,0
2045,Karnataka,SUPERCRITICAL-COAL,0
2047,Karnataka,SUPERCRITICAL-COAL,0
2017,Karnataka,WHR,0
2019,Karnataka,WHR,0
2021,Karnataka,WHR,0
2023,Karnataka,WHR,0
2025,Karnataka,WHR,0
2027,Karnataka,WHR,0
2029,Karnataka,WHR,0
2031,Karnataka,WHR,0
2033,Karnataka,WHR,0
2035,Karnataka,WHR,0
2037,Karnataka,WHR,0
2039,Karnataka,WHR,0
2041,Karnataka,WHR,0
2043,Karnataka,WHR,0
2045,Karnataka,WHR,0
2047,Karnataka,WHR,0
2017,Kerala,CCGT-GAS,0
2019,Kerala,CCGT-GAS,0
2021,Kerala,CCGT-GAS,0
2023,Kerala,CCGT-GAS,0
2025,Kerala,CCGT-GAS,0
2027,Kerala,CCGT-GAS,0
2029,Kerala,CCGT-GAS,0
2031,Kerala,CCGT-GAS,0
2033,Kerala,CCGT-GAS,0
2035,Kerala,CCGT-GAS,0
2037,Kerala,CCGT-GAS,0
2039,Kerala,CCGT-GAS,0
2041,Kerala,CCGT-GAS,0
2043,Kerala,CCGT-GAS,0
2045,Kerala,CCGT-GAS,0
2047,Kerala,CCGT-GAS,0
2017,Kerala,CCGT-LNG,0
2019,Kerala,CCGT-LNG,0
2021,Kerala,CCGT-LNG,0
2023,Kerala,CCGT-LNG,0
2025,Kerala,CCGT-LNG,0
2027,Kerala,CCGT-LNG,0
2029,Kerala,CCGT-LNG,0
2031,Kerala,CCGT-LNG,0
2033,Kerala,CCGT-LNG,0
2035,Kerala,CCGT-LNG,0
2037,Kerala,CCGT-LNG,0
2039,Kerala,CCGT-LNG,0
2041,Kerala,CCGT-LNG,0
2043,Kerala,CCGT-LNG,0
2045,Kerala,CCGT-LNG,0
2047,Kerala,CCGT-LNG,0
2023,Kerala,CCGT-GAS,0.7
2025,Kerala,CCGT-GAS,0.2
2017,Kerala,COGENERATION-BAGASSE,0
2019,Kerala,COGENERATION-BAGASSE,0
2021,Kerala,COGENERATION-BAGASSE,0
2023,Kerala,COGENERATION-BAGASSE,0
2025,Kerala,COGENERATION-BAGASSE,0
2027,Kerala,COGENERATION-BAGASSE,0
2029,Kerala,COGENERATION-BAGASSE,0
2031,Kerala,COGENERATION-BAGASSE,0
2033,Kerala,COGENERATION-BAGASSE,0
2035,Kerala,COGENERATION-BAGASSE,0
2037,Kerala,COGENERATION-BAGASSE,0
2039,Kerala,COGENERATION-BAGASSE,0
2041,Kerala,COGENERATION-BAGASSE,0
2043,Kerala,COGENERATION-BAGASSE,0
2045,Kerala,COGENERATION-BAGASSE,0
2047,Kerala,COGENERATION-BAGASSE,0
2017,Kerala,CT-GAS,0
2019,Kerala,CT-GAS,0
2021,Kerala,CT-GAS,0
2023,Kerala,CT-GAS,0
2025,Kerala,CT-GAS,0
2027,Kerala,CT-GAS,0
2029,Kerala,CT-GAS,0
2031,Kerala,CT-GAS,0
2033,Kerala,CT-GAS,0
2035,Kerala,CT-GAS,0
2037,Kerala,CT-GAS,0
2039,Kerala,CT-GAS,0
2041,Kerala,CT-GAS,0
2043,Kerala,CT-GAS,0
2045,Kerala,CT-GAS,0
2047,Kerala,CT-GAS,0
2017,Kerala,DIESEL,0
2019,Kerala,DIESEL,0
2021,Kerala,DIESEL,0
2023,Kerala,DIESEL,0
2025,Kerala,DIESEL,0
2027,Kerala,DIESEL,0
2029,Kerala,DIESEL,0
2031,Kerala,DIESEL,0
2033,Kerala,DIESEL,0
2035,Kerala,DIESEL,0
2037,Kerala,DIESEL,0
2039,Kerala,DIESEL,0
2041,Kerala,DIESEL,0
2043,Kerala,DIESEL,0
2045,Kerala,DIESEL,0
2047,Kerala,DIESEL,0
2017,Kerala,SUBCRITICAL-COAL,0
2019,Kerala,SUBCRITICAL-COAL,0
2021,Kerala,SUBCRITICAL-COAL,0
2023,Kerala,SUBCRITICAL-COAL,0
2025,Kerala,SUBCRITICAL-COAL,0
2027,Kerala,SUBCRITICAL-COAL,0
2029,Kerala,SUBCRITICAL-COAL,0
2031,Kerala,SUBCRITICAL-COAL,0
2033,Kerala,SUBCRITICAL-COAL,0
2035,Kerala,SUBCRITICAL-COAL,0
2037,Kerala,SUBCRITICAL-COAL,0
2039,Kerala,SUBCRITICAL-COAL,0
2041,Kerala,SUBCRITICAL-COAL,0
2043,Kerala,SUBCRITICAL-COAL,0
2045,Kerala,SUBCRITICAL-COAL,0
2047,Kerala,SUBCRITICAL-COAL,0
2017,Kerala,SUBCRITICAL-LIGNITE,0
2019,Kerala,SUBCRITICAL-LIGNITE,0
2021,Kerala,SUBCRITICAL-LIGNITE,0
2023,Kerala,SUBCRITICAL-LIGNITE,0
2025,Kerala,SUBCRITICAL-LIGNITE,0
2027,Kerala,SUBCRITICAL-LIGNITE,0
2029,Kerala,SUBCRITICAL-LIGNITE,0
2031,Kerala,SUBCRITICAL-LIGNITE,0
2033,Kerala,SUBCRITICAL-LIGNITE,0
2035,Kerala,SUBCRITICAL-LIGNITE,0
2037,Kerala,SUBCRITICAL-LIGNITE,0
2039,Kerala,SUBCRITICAL-LIGNITE,0
2041,Kerala,SUBCRITICAL-LIGNITE,0
2043,Kerala,SUBCRITICAL-LIGNITE,0
2045,Kerala,SUBCRITICAL-LIGNITE,0
2047,Kerala,SUBCRITICAL-LIGNITE,0
2017,Kerala,SUPERCRITICAL-COAL,0
2019,Kerala,SUPERCRITICAL-COAL,0
2021,Kerala,SUPERCRITICAL-COAL,0
2023,Kerala,SUPERCRITICAL-COAL,0
2025,Kerala,SUPERCRITICAL-COAL,0
2027,Kerala,SUPERCRITICAL-COAL,0
2029,Kerala,SUPERCRITICAL-COAL,0
2031,Kerala,SUPERCRITICAL-COAL,0
2033,Kerala,SUPERCRITICAL-COAL,0
2035,Kerala,SUPERCRITICAL-COAL,0
2037,Kerala,SUPERCRITICAL-COAL,0
2039,Kerala,SUPERCRITICAL-COAL,0
2041,Kerala,SUPERCRITICAL-COAL,0
2043,Kerala,SUPERCRITICAL-COAL,0
2045,Kerala,SUPERCRITICAL-COAL,0
2047,Kerala,SUPERCRITICAL-COAL,0
2017,Kerala,WHR,0
2019,Kerala,WHR,0
2021,Kerala,WHR,0
2023,Kerala,WHR,0
2025,Kerala,WHR,0
2027,Kerala,WHR,0
2029,Kerala,WHR,0
2031,Kerala,WHR,0
2033,Kerala,WHR,0
2035,Kerala,WHR,0
2037,Kerala,WHR,0
2039,Kerala,WHR,0
2041,Kerala,WHR,0
2043,Kerala,WHR,0
2045,Kerala,WHR,0
2047,Kerala,WHR,0
2017,Madhya_Pradesh,CCGT-GAS,0
2019,Madhya_Pradesh,CCGT-GAS,0
2021,Madhya_Pradesh,CCGT-GAS,0
2023,Madhya_Pradesh,CCGT-GAS,0
2025,Madhya_Pradesh,CCGT-GAS,0
2027,Madhya_Pradesh,CCGT-GAS,0
2029,Madhya_Pradesh,CCGT-GAS,0
2031,Madhya_Pradesh,CCGT-GAS,0
2033,Madhya_Pradesh,CCGT-GAS,0
2035,Madhya_Pradesh,CCGT-GAS,0
2037,Madhya_Pradesh,CCGT-GAS,0
2039,Madhya_Pradesh,CCGT-GAS,0
2041,Madhya_Pradesh,CCGT-GAS,0
2043,Madhya_Pradesh,CCGT-GAS,0
2045,Madhya_Pradesh,CCGT-GAS,0
2047,Madhya_Pradesh,CCGT-GAS,0
2017,Madhya_Pradesh,CCGT-LNG,0
2019,Madhya_Pradesh,CCGT-LNG,0
2021,Madhya_Pradesh,CCGT-LNG,0
2023,Madhya_Pradesh,CCGT-LNG,0
2025,Madhya_Pradesh,CCGT-LNG,0
2027,Madhya_Pradesh,CCGT-LNG,0
2029,Madhya_Pradesh,CCGT-LNG,0
2031,Madhya_Pradesh,CCGT-LNG,0
2033,Madhya_Pradesh,CCGT-LNG,0
2035,Madhya_Pradesh,CCGT-LNG,0
2037,Madhya_Pradesh,CCGT-LNG,0
2039,Madhya_Pradesh,CCGT-LNG,0
2041,Madhya_Pradesh,CCGT-LNG,0
2043,Madhya_Pradesh,CCGT-LNG,0
2045,Madhya_Pradesh,CCGT-LNG,0
2047,Madhya_Pradesh,CCGT-LNG,0
2017,Madhya_Pradesh,COGENERATION-BAGASSE,0
2019,Madhya_Pradesh,COGENERATION-BAGASSE,0
2021,Madhya_Pradesh,COGENERATION-BAGASSE,0
2023,Madhya_Pradesh,COGENERATION-BAGASSE,0
2025,Madhya_Pradesh,COGENERATION-BAGASSE,0
2027,Madhya_Pradesh,COGENERATION-BAGASSE,0
2029,Madhya_Pradesh,COGENERATION-BAGASSE,0
2031,Madhya_Pradesh,COGENERATION-BAGASSE,0
2033,Madhya_Pradesh,COGENERATION-BAGASSE,0
2035,Madhya_Pradesh,COGENERATION-BAGASSE,0
2037,Madhya_Pradesh,COGENERATION-BAGASSE,0
2039,Madhya_Pradesh,COGENERATION-BAGASSE,0
2041,Madhya_Pradesh,COGENERATION-BAGASSE,0
2043,Madhya_Pradesh,COGENERATION-BAGASSE,0
2045,Madhya_Pradesh,COGENERATION-BAGASSE,0
2047,Madhya_Pradesh,COGENERATION-BAGASSE,0
2017,Madhya_Pradesh,CT-GAS,0
2019,Madhya_Pradesh,CT-GAS,0
2021,Madhya_Pradesh,CT-GAS,0
2023,Madhya_Pradesh,CT-GAS,0
2025,Madhya_Pradesh,CT-GAS,0
2027,Madhya_Pradesh,CT-GAS,0
2029,Madhya_Pradesh,CT-GAS,0
2031,Madhya_Pradesh,CT-GAS,0
2033,Madhya_Pradesh,CT-GAS,0
2035,Madhya_Pradesh,CT-GAS,0
2037,Madhya_Pradesh,CT-GAS,0
2039,Madhya_Pradesh,CT-GAS,0
2041,Madhya_Pradesh,CT-GAS,0
2043,Madhya_Pradesh,CT-GAS,0
2045,Madhya_Pradesh,CT-GAS,0
2047,Madhya_Pradesh,CT-GAS,0
2017,Madhya_Pradesh,DIESEL,0
2019,Madhya_Pradesh,DIESEL,0
2021,Madhya_Pradesh,DIESEL,0
2023,Madhya_Pradesh,DIESEL,0
2025,Madhya_Pradesh,DIESEL,0
2027,Madhya_Pradesh,DIESEL,0
2029,Madhya_Pradesh,DIESEL,0
2031,Madhya_Pradesh,DIESEL,0
2033,Madhya_Pradesh,DIESEL,0
2035,Madhya_Pradesh,DIESEL,0
2037,Madhya_Pradesh,DIESEL,0
2039,Madhya_Pradesh,DIESEL,0
2041,Madhya_Pradesh,DIESEL,0
2043,Madhya_Pradesh,DIESEL,0
2045,Madhya_Pradesh,DIESEL,0
2047,Madhya_Pradesh,DIESEL,0
2017,Madhya_Pradesh,SUBCRITICAL-COAL,299
2019,Madhya_Pradesh,SUBCRITICAL-COAL,142
2021,Madhya_Pradesh,SUBCRITICAL-COAL,0
2023,Madhya_Pradesh,SUBCRITICAL-COAL,287
2025,Madhya_Pradesh,SUBCRITICAL-COAL,539
2027,Madhya_Pradesh,SUBCRITICAL-COAL,428
2029,Madhya_Pradesh,SUBCRITICAL-COAL,0
2031,Madhya_Pradesh,SUBCRITICAL-COAL,198
2033,Madhya_Pradesh,SUBCRITICAL-COAL,824
2035,Madhya_Pradesh,SUBCRITICAL-COAL,0
2037,Madhya_Pradesh,SUBCRITICAL-COAL,341
2039,Madhya_Pradesh,SUBCRITICAL-COAL,1896.5
2041,Madhya_Pradesh,SUBCRITICAL-COAL,1569
2043,Madhya_Pradesh,SUBCRITICAL-COAL,0
2045,Madhya_Pradesh,SUBCRITICAL-COAL,0
2047,Madhya_Pradesh,SUBCRITICAL-COAL,0
2017,Madhya_Pradesh,SUBCRITICAL-LIGNITE,0
2019,Madhya_Pradesh,SUBCRITICAL-LIGNITE,0
2021,Madhya_Pradesh,SUBCRITICAL-LIGNITE,0
2023,Madhya_Pradesh,SUBCRITICAL-LIGNITE,0
2025,Madhya_Pradesh,SUBCRITICAL-LIGNITE,0
2027,Madhya_Pradesh,SUBCRITICAL-LIGNITE,0
2029,Madhya_Pradesh,SUBCRITICAL-LIGNITE,0
2031,Madhya_Pradesh,SUBCRITICAL-LIGNITE,0
2033,Madhya_Pradesh,SUBCRITICAL-LIGNITE,0
2035,Madhya_Pradesh,SUBCRITICAL-LIGNITE,0
2037,Madhya_Pradesh,SUBCRITICAL-LIGNITE,0
2039,Madhya_Pradesh,SUBCRITICAL-LIGNITE,0
2041,Madhya_Pradesh,SUBCRITICAL-LIGNITE,0
2043,Madhya_Pradesh,SUBCRITICAL-LIGNITE,0
2045,Madhya_Pradesh,SUBCRITICAL-LIGNITE,0
2047,Madhya_Pradesh,SUBCRITICAL-LIGNITE,0
2017,Madhya_Pradesh,SUPERCRITICAL-COAL,0
2019,Madhya_Pradesh,SUPERCRITICAL-COAL,0
2021,Madhya_Pradesh,SUPERCRITICAL-COAL,0
2023,Madhya_Pradesh,SUPERCRITICAL-COAL,0
2025,Madhya_Pradesh,SUPERCRITICAL-COAL,0
2027,Madhya_Pradesh,SUPERCRITICAL-COAL,0
2029,Madhya_Pradesh,SUPERCRITICAL-COAL,0
2031,Madhya_Pradesh,SUPERCRITICAL-COAL,0
2033,Madhya_Pradesh,SUPERCRITICAL-COAL,0
2035,Madhya_Pradesh,SUPERCRITICAL-COAL,0
2037,Madhya_Pradesh,SUPERCRITICAL-COAL,0
2039,Madhya_Pradesh,SUPERCRITICAL-COAL,0
2041,Madhya_Pradesh,SUPERCRITICAL-COAL,0
2043,Madhya_Pradesh,SUPERCRITICAL-COAL,0
2045,Madhya_Pradesh,SUPERCRITICAL-COAL,0
2047,Madhya_Pradesh,SUPERCRITICAL-COAL,0
2017,Madhya_Pradesh,WHR,0
2019,Madhya_Pradesh,WHR,0
2021,Madhya_Pradesh,WHR,0
2023,Madhya_Pradesh,WHR,0
2025,Madhya_Pradesh,WHR,0
2027,Madhya_Pradesh,WHR,0
2029,Madhya_Pradesh,WHR,0
2031,Madhya_Pradesh,WHR,0
2033,Madhya_Pradesh,WHR,0
2035,Madhya_Pradesh,WHR,0
2037,Madhya_Pradesh,WHR,0
2039,Madhya_Pradesh,WHR,0
