r,2010.spring.hydED,2010.summer.hydED,2010.fall.hydED,2010.winter.hydED,2012.spring.hydED,2012.summer.hydED,2012.fall.hydED,2012.winter.hydED,2014.spring.hydED,2014.summer.hydED,2014.fall.hydED,2014.winter.hydED,2010.spring.hydEND,2010.summer.hydEND,2010.fall.hydEND,2010.winter.hydEND,2012.spring.hydEND,2012.summer.hydEND,2012.fall.hydEND,2012.winter.hydEND,2014.spring.hydEND,2014.summer.hydEND,2014.fall.hydEND,2014.winter.hydEND
p46,0.990311212,1.001885264,0.864428008,0.999595113,0.711640646,1.137900923,1.214629007,0.994729876,1.420045511,1.321113322,1.603669271,1.202176479,0.977190888,0.989890448,0.859679105,0.987071619,0.740132051,1.172678212,1.251444268,1.026883762,1.393228789,1.29651887,1.574155448,1.179856868
p47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p50,1.256550516,1.172617396,2.056440217,1.494223344,1.01831026,0.373787061,0.233778212,0.763372561,0.719826972,1.174651224,0.948266556,0.744869969,1.27942824,1.258583937,1.598068129,1.564750976,0.967810853,0.289695218,0.156981878,0.578763508,0.646797356,1.011786522,0.894249471,0.592712732
p51,1.254546355,1.269046861,2.101288801,1.761658094,1.092443613,0.173966526,0.161190461,0.448643298,0.642070103,1.031568776,0.993018805,0.699884455,1.285771744,1.294659113,1.775380378,1.644474226,0.978053788,0.227190305,0.18511335,0.493072767,0.635725952,0.990529752,0.901843961,0.662037517
p52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p53,1,1,1,1,1,1,1,1,1,1,1,1,0.863407463,1.035720653,1.229428497,1.143189428,1.029284603,1.083816312,0.901283223,1.032511857,1.239782897,1.243941749,1.315824732,1.224555622
p54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p55,1.402790287,1.099895318,1.838398319,1.65069036,1.363878983,0.608781531,0.408275562,0.823531815,0.951338167,1.213749632,1.088020452,0.905219256,1.383867926,0.773262978,1.672606473,1.437425163,1.178139377,0.895652096,0.617802474,0.883927274,0.635745667,0.93882816,0.745847112,0.726044986
p56,1.242204197,1.141909743,0.837188984,1.695377921,1.145075983,1.118646004,1.197930786,0.835258921,0.721462378,0.769508777,0.819379002,0.576157857,0.9737351,1.393766432,1.088363727,1.330675139,0.74354351,0.38301136,0.364659783,0.696249722,0.815476745,0.785830545,0.741087843,0.46551532
p57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p58,1,1,1,1,1,1,1,1,1,1,1,1,1.075413715,1.341130445,1.467055562,1.225876717,0.945728062,0.839315856,0.789928945,0.944047741,1.056720999,1.296784672,1.124330506,1.040889897
p59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p61,1,1,1,1,1,1,1,1,1,1,1,1,1.07164646,0.769828313,0.866657467,1.291446653,1.584765587,0.93562409,1.357485106,0.410478374,0.383828676,0.593340983,0.69369844,1.278938436
p62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p63,1.987499675,1.083898831,1.392838018,1.962834005,0.755190325,0.364736529,0.55564435,0.167192523,0.067107639,0.136296434,0.120769737,0.412593082,1.595044311,1.216844534,1.131562236,2.176861961,0.709797339,0.991946349,0.468981613,0.352979209,0,0,0,0
