,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p47,0.078073811,5.728407335,17.686,25.602,37.253,48.648,57.393,62.802,66.926,69.957,72.291,74.417,76.717,79.334,81.933,84.316,86.239,88.365,88.531,88.56,91.043
p48,0.015890803,2.982025329,13.433,34.454,67.666,77.916,88.678,97.596,105.606,111.614,115.056,117.655,120.412,122.985,125.311,127.719,129.35,131.385,132.278,132.892,137.089
p49,0,0,0.018,0.051,0.083,0.234,0.451,0.705,1.064,1.509,1.92,2.32,2.71,3.077,3.357,3.594,3.765,3.972,4.094,4.134,4.474
p5,5.718094633,41.9169796,53.635,90.277,130.233,169.729,177.413,178.902,180.562,182.385,183.856,186.891,190.405,195.22,202.193,209.838,216.135,230.32,247.489,266.362,294.153
p50,0,0,0.544,1.257,4.978,16.452,28.325,43.22,61.584,79.926,96.849,115.215,135.052,153.824,170.784,189.19,205.108,224.886,248.21,256.281,295.347
p51,0,0,0.032,0.044,0.402,1.616,3.181,5.433,8.237,10.664,12.52,14.613,17.164,19.702,22.071,24.462,26.462,28.415,30.557,31.257,34.167
p52,0,0,2.222,3.314,4.178,4.529,4.711,4.811,4.905,4.996,5.084,5.178,5.275,5.375,5.476,5.579,5.668,5.796,5.869,5.925,6.047
p53,0,0,23.009,37.353,51.607,57.748,62.46,66.614,70.98,75.223,79.547,84.092,88.732,93.444,97.974,102.361,106.043,109.934,112.875,114.549,117.289
p54,0.094914678,2.754555382,25.342,34.387,44.373,45.536,45.927,46.272,46.678,47.128,47.596,48.069,48.553,49.022,49.454,49.855,50.194,50.538,50.81,50.934,51.175
p55,0.007026694,1.701282147,14.041,19.257,24.933,25.657,25.818,25.909,26.011,26.117,26.222,26.324,26.424,26.522,26.608,26.687,26.747,26.829,26.881,26.891,26.954
p56,0,0,0.576,1,3.075,9.067,22.618,41.211,58.647,61.374,62.634,63.36,64.306,65.181,65.972,66.783,74.764,75.384,76.393,76.887,78.904
p57,0.681239627,1.237219526,2.269,6.009,10.647,11.497,12.035,12.351,12.708,13.095,13.507,13.912,14.313,15.044,15.816,16.606,17.319,18.069,18.935,19.549,20.46
p58,2.973437518,3.310040121,30.663,75.767,94.509,231.684,239.921,241.603,243.319,244.758,249.395,252.282,254.653,257.286,259.883,263.604,266.363,271.954,282.237,288.495,300.876
p59,0.225905501,1.216504631,2.557,9.775,21.575,28.236,36.399,45.239,53.664,60.128,63.347,66.677,68.866,70.432,71.475,72.572,72.824,73.826,75.1,77.031,79.547
p6,0.246640299,9.779499557,11.337,17.847,24.092,30.098,31.824,32.647,33.442,34.26,34.648,35.472,36.292,37.129,38.014,39.017,39.75,40.766,41.911,42.637,44.789
p60,0.01193542,0.447235192,1.759,4.185,7.579,7.93,8.206,8.433,8.67,8.907,9.153,9.387,9.63,9.873,10.099,10.327,10.527,10.747,10.991,11.176,11.41
p61,0.007968921,0.746904448,1.453,3.868,7.344,7.741,8.136,8.493,8.866,9.25,9.65,10.04,10.445,10.853,11.246,11.629,11.988,12.347,12.694,13.017,13.355
p62,0.064115463,0.41323642,0.988,2.986,6.215,7.373,8.336,8.982,9.549,10.036,10.507,10.906,11.315,11.698,12.007,12.297,12.562,12.817,13.081,13.295,13.528
p63,0.201813968,12.24810532,23.333,61.482,104.253,108.445,112.707,116.787,121.559,126.971,132.905,138.848,144.88,150.796,156.233,161.416,165.957,170.515,175.039,178.709,183.542
p64,0.017288812,5.864901897,11.687,36.94,80.767,97.355,108.644,114.709,120.241,125.868,131.388,135.326,139.954,145.132,149.723,154.931,159.145,164.537,170.659,176.142,183.049
p65,0.074564522,6.345614295,12.094,38.854,88.578,108.401,119.86,122.921,126.647,130.642,134.563,138.031,143.315,148.672,153.149,157.351,160.734,164.846,170.154,172.974,179.553
p66,0.00687512,2.876324151,4.986,13.872,29.491,37.296,37.375,37.452,37.542,37.644,37.759,37.876,38,38.13,38.256,38.383,38.506,38.688,38.985,39.338,44.225
p67,0.049593126,5.42192879,10.964,29.909,52.893,55.848,59.119,62.724,66.76,71.095,75.639,80.113,84.487,88.647,92.395,95.959,99.043,101.92,104.679,106.959,109.702
p68,0,0,0.818,4.165,29.643,32.825,36.979,40.214,43.786,47.096,49.682,51.998,53.791,55.538,57.868,60.021,61.374,63.35,65.21,66.539,68.347
p69,0,0,4.128,7.581,15.458,15.74,15.827,15.857,15.888,15.914,15.934,15.951,15.964,15.979,15.998,16.014,16.026,16.052,16.082,16.108,16.133
p7,0.042888671,1.603520842,3.678,5.967,7.886,8.49,8.729,8.819,8.905,8.995,9.016,9.126,9.275,9.415,9.582,9.769,9.907,10.231,10.566,10.933,11.478
p70,0,0,8.13,15.525,31.243,31.649,31.768,31.807,31.843,31.874,31.898,31.92,31.944,31.979,32.014,32.055,32.083,32.133,32.172,32.193,32.225
p71,0.048889458,0.2611806,3.154,4.233,5.59,5.978,6.084,6.125,6.177,6.243,6.325,6.418,6.516,6.613,6.707,6.8,6.876,6.969,7.06,7.135,7.228
p72,0.051234245,4.395968779,39.215,53.147,70.477,76.373,78.013,78.719,79.613,80.717,82.037,83.512,85.1,86.712,88.178,89.603,90.857,92.244,93.507,94.594,95.643
p73,0,0.247787902,2.22,3.004,3.824,4.024,4.068,4.083,4.104,4.128,4.156,4.183,4.211,4.24,4.266,4.292,4.315,4.344,4.378,4.409,4.451
p74,0,0,0.105,0.21,0.362,0.415,0.486,0.581,0.738,0.967,1.249,1.531,1.772,1.953,2.073,2.156,2.205,2.265,2.301,2.334,2.348
p75,0.049455912,1.133727956,2.205,3.255,6.092,6.516,6.86,7.196,7.547,7.863,8.168,8.408,8.615,8.794,8.937,9.065,9.161,9.286,9.396,9.506,9.641
p76,0.004075108,2.41498537,4.344,6.329,13.102,15.255,17.239,17.689,18.23,18.774,19.238,19.708,20.208,21.233,22.444,23.982,25.411,27.384,29.335,31.03,32.944
p77,0,0.829536661,1.509,2.28,4.903,6.75,8.941,9.759,10.724,12.024,13.781,15.559,17.142,18.789,20.345,21.921,23.211,24.946,26.509,27.71,29.037
p78,0.044142199,1.68559734,2.43,3.569,7.152,8.531,10.274,10.568,11.016,11.664,12.735,13.829,15.075,16.179,17.146,18.068,18.83,20.761,22.768,24.726,26.993
p79,0.101972038,2.372986019,4.624,6.654,11.495,12.457,13.788,13.802,14.488,15.331,16.358,17.303,18.708,20.087,21.262,22.242,22.901,23.877,24.851,25.696,26.4
p8,0.819524,8.793521013,33.474,57.38,84.815,87.434,87.595,87.683,87.91,88.12,88.212,88.597,89.082,89.843,90.661,91.439,92.379,93.727,94.697,94.809,95.165
p80,0.355709642,8.406996517,11.31,20.929,48.863,49.811,49.813,49.813,49.813,49.813,49.813,49.813,49.813,49.813,49.814,49.814,49.815,49.815,49.817,49.817,49.818
p81,0.090199905,0.960017493,3.409,6.006,12.409,12.457,12.507,12.52,12.544,12.56,12.569,12.576,12.591,12.599,12.603,12.606,12.609,12.616,12.637,12.659,12.674
p82,0,0.338281606,0.818,1.448,2.981,2.987,2.997,2.997,3,3.003,3.013,3.02,3.023,3.024,3.025,3.026,3.027,3.028,3.029,3.03,3.031
p83,0.035923054,0.394704384,1.8,3.134,6.476,6.476,6.476,6.476,6.476,6.476,6.476,6.476,6.476,6.476,6.476,6.476,6.476,6.476,6.476,6.476,6.476
p84,0,0.93922519,7.911,10.714,14.116,15.006,15.226,15.273,15.35,15.462,15.592,15.722,15.856,15.992,16.129,16.265,16.381,16.522,16.654,16.771,16.976
p85,0,0,1.185,2.437,8.733,36.464,105.49,191.562,264.936,277.012,284.378,288.308,291.822,295.575,298.222,301.263,332.124,332.965,334.91,336.531,343.274
p86,0,0,0,0,2.333,6.648,7.154,7.287,7.442,7.581,8.144,8.566,8.875,9.125,9.317,9.505,9.649,9.808,10.019,10.162,10.484
p87,0,0,0.427,0.841,2.784,4.853,7.951,12.867,21.966,36.775,56.686,77.05,94.442,108.098,118.232,127.867,136.927,147.74,160.876,174.752,192.733
p88,0,0,0.119,0.226,0.79,1.433,2.463,4.237,7.561,12.976,20.011,26.991,32.874,37.733,41.662,45.725,49.753,54.551,60.584,67.192,75.217
p89,0,0,0.85,1.671,8.405,11.261,15.471,24.069,42.815,78.541,133.623,199.594,256.01,291.032,310.286,324.752,337.442,350.922,365.279,379.886,396.437
p9,430.9401092,716.7919976,1373.226,2718.865,4105.943,4784.661,4893.429,4959.175,5026.666,5080.311,5108.094,5162.146,5212.329,5269.64,5326.244,5376.307,5441.316,5545.604,5623.556,5639.458,5672.283
p90,0,0,1.051,2.068,11.816,16.061,20.84,30.162,49.922,86.535,144.997,219.353,285.951,328.054,351.916,369.705,385.256,402.015,421.171,441.681,465.225
p91,0.434143915,2.552060478,4.636,9.886,23.83,51.947,85.05,119.601,156.797,192.161,221.224,240.468,254.679,265.471,273.035,280.825,287.399,294.085,303.187,312.066,321.985
p92,0.114763759,35.8,56.494,74.347,83.594,88.063,89.177,89.727,90.245,90.779,91.352,91.877,92.525,93.412,94.655,96.575,99.004,102.435,107.337,113.808,122.333
p93,0,0,0.21,1.084,4.659,5.933,7.403,9.25,11.783,15.122,19.283,24.058,29.282,34.65,39.727,44.505,48.603,52.206,55.76,58.957,62.172
p94,0.872693419,21.5,29.56,36.65,46.88,56.248,63.527,70.419,78.192,87.046,97.09,108.118,120.501,134.678,150.375,168.3,188.469,211.573,238.495,267.146,300.264
p95,0,0,0.451,15.948,70.804,107.557,130.155,143.688,156.005,166.763,175.851,182.313,187.767,192.793,196.568,201.011,204.908,209.905,216.077,216.081,225.152
p96,0,0,1.025,34.098,141.134,255.325,338.229,376.198,407.685,434.956,458.352,475.257,490.069,504.599,516.353,529.274,541.184,556.449,578.974,587.689,621.538
p97,1.601205543,22.69234846,56.208,73.799,95.788,144.889,171.758,196.575,224.391,255.057,287.288,317.965,346.571,372.047,392.567,410.705,425.002,439.202,454.378,461.401,480.175
p98,1.314698949,24.50765154,57.227,75.121,93.661,143.737,160.274,172.096,184.841,199.677,216.396,232.838,249.118,264.281,276.529,287.589,296.589,305.573,314.873,323.116,329.932
p99,0,0,7.949,24.538,60.177,97.961,142.136,187.226,237.18,282.998,320.452,346.295,366.029,382.091,393.379,404.137,412.143,422.455,434.526,445.136,459.969
