wst,r,t,Value
fsu,p99,2034,1.0762620719557758
fsu,p99,2036,1.089262818465515
fsu,p99,2038,1.078902792261277
fsu,p99,2040,1.072092404554888
fsu,p99,2042,1.0615273176444635
fsu,p99,2044,1.0929109551165022
fsu,p99,2046,1.0918536467212467
fsu,p99,2048,1.0758514343714674
fsu,p99,2050,1.115972455604795
fsu,p100,2010,1.0
fsu,p100,2012,1.1022347209375052
fsu,p100,2014,1.0899829534089758
fsu,p100,2016,1.0942335702001065
fsu,p100,2018,1.096845162469351
fsu,p100,2020,1.0558723945667856
fsu,p100,2022,1.0637007737830315
fsu,p100,2024,1.0581131392519358
fsu,p100,2026,1.0367569407201316
fsu,p100,2028,1.0631970651648233
fsu,p100,2030,1.0462283180419367
fsu,p100,2032,1.0634733176969935
fsu,p100,2034,1.1036737652897064
fsu,p100,2036,1.1204814666665708
fsu,p100,2038,1.1072364094313254
fsu,p100,2040,1.1000432964725944
fsu,p100,2042,1.0759267365171452
fsu,p100,2044,1.0995790197377946
fsu,p100,2046,1.0956982671541229
fsu,p100,2048,1.0355967371485444
fsu,p100,2050,1.0950767311706668
fsu,p101,2010,1.0
fsu,p101,2012,0.977396961879395
fsu,p101,2014,0.9795745876814822
fsu,p101,2016,1.0055970142818045
fsu,p101,2018,0.9970215884774865
fsu,p101,2020,0.9235925551311952
fsu,p101,2022,0.9139505334104044
fsu,p101,2024,0.9433952129602359
fsu,p101,2026,0.9738019048499928
fsu,p101,2028,0.9785748325577311
fsu,p101,2030,0.9641446717153164
fsu,p101,2032,0.969876972234752
fsu,p101,2034,0.9716291834033284
fsu,p101,2036,0.9432030217042656
fsu,p101,2038,0.9677640541713844
fsu,p101,2040,0.9922236836288854
fsu,p101,2042,0.9705128534773028
fsu,p101,2044,0.9591879515553052
fsu,p101,2046,0.9092044442958982
fsu,p101,2048,0.9045505586080684
fsu,p101,2050,0.9635714718355456
fsu,p102,2010,1.0
fsu,p102,2012,1.0622051806010917
fsu,p102,2014,1.0643508856454702
fsu,p102,2016,1.0154354699020876
fsu,p102,2018,1.0119546578657304
fsu,p102,2020,0.9656031820001404
fsu,p102,2022,0.9129759234101804
fsu,p102,2024,0.9139932220963364
fsu,p102,2026,0.821986985877788
fsu,p102,2028,0.822737753791372
fsu,p102,2030,0.9276148313124408
fsu,p102,2032,0.9172272022262856
fsu,p102,2034,0.9864666638224512
fsu,p102,2036,1.0159703162493745
fsu,p102,2038,0.9649187855387421
fsu,p102,2040,0.9291075498726441
fsu,p102,2042,0.8940084617685363
fsu,p102,2044,0.879141815742005
fsu,p102,2046,0.8843760974486422
fsu,p102,2048,0.8189583171334438
fsu,p102,2050,0.6759415044537359
fsu,p103,2010,1.0
fsu,p103,2012,0.9682477389210686
fsu,p103,2014,0.9544516189613867
fsu,p103,2016,0.9529271902774692
fsu,p103,2018,0.9514308375460344
fsu,p103,2020,0.94455773469797
fsu,p103,2022,0.9437919591714632
fsu,p103,2024,0.9523737797014064
fsu,p103,2026,0.9564241731921068
fsu,p103,2028,0.984836306873866
fsu,p103,2030,0.9929878236325412
fsu,p103,2032,1.012894402259072
fsu,p103,2034,0.9974858312315004
fsu,p103,2036,0.9941030571285826
fsu,p103,2038,0.982004866491986
fsu,p103,2040,1.017108794691982
fsu,p103,2042,1.0503746290784788
fsu,p103,2044,1.091309724479986
fsu,p103,2046,1.1202944890439517
fsu,p103,2048,1.0621892918933964
fsu,p103,2050,1.0578669020047202
fsu,p104,2010,1.0
fsu,p104,2012,1.0190489577496522
fsu,p104,2014,1.018429621543442
fsu,p104,2016,1.0361066386922066
fsu,p104,2018,1.0449525042766907
fsu,p104,2020,1.0837455151167374
fsu,p104,2022,1.1400889454248282
fsu,p104,2024,1.1399478389089053
fsu,p104,2026,1.0838970252420266
fsu,p104,2028,1.0803969790572026
fsu,p104,2030,1.1228021465716735
fsu,p104,2032,1.1593278084175371
