,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p59,0.225905501,1.216504631,1.3877,3.3631,5.1053,7.0258,10.1941,18.3352,38.7882,77.4765,141.0962,219.2436,305.0983,388.4727,459.1711,520.3781,578.0018,636.5695,687.808,743.9515,797.7459
p6,0.246640299,9.779499557,11.4166,17.8862,23.47,26.1943,29.0561,33.8926,42.7689,58.7703,84.4702,115.7641,139.4478,166.6399,195.2345,224.6168,253.535,281.2288,304.4535,327.5266,350.1959
p60,0.01193542,0.447235192,1.9426,4.8726,9.1478,14.0344,20.7957,30.4774,44.7749,67.7386,98.2172,127.0634,135.9185,145.9802,155.2737,164.7033,175.4186,187.3616,203.6829,222.3021,239.8887
p61,0.007968921,0.746904448,1.7949,5.1466,10.0907,19.2441,32.4694,51.3561,78.7194,121.7934,175.8948,225.6746,238.1153,252.0721,265.1096,278.6395,294.405,312.2402,337.8792,366.2331,391.9847
p62,0.064115463,0.41323642,1.2314,3.9225,8.183,18.0913,31.8804,50.4694,76.517,116.4272,166.9573,211.6846,220.7177,229.7092,237.2912,244.9928,255.5176,268.0542,288.3601,310.834,331.0211
p63,0.201813968,12.24810532,31.2549,102.0765,216.2107,467.0413,791.0643,1239.6731,1920.1181,2990.2502,4478.9469,5870.1456,6183.9415,6517.7683,6808.7424,7100.8085,7449.3694,7830.7581,8354.7363,8965.7105,9506.8695
p64,0.017288812,5.864901897,7.6289,17.4018,29.1437,49.3349,81.0325,133.3993,227.3609,406.6027,698.7543,1038.6053,1320.3165,1601.8662,1831.9652,2033.5126,2233.1059,2462.2252,2697.1937,2947.7263,3181.0905
p65,0.074564522,6.345614295,8.0913,18.8526,30.3104,47.8849,77.1056,129.4941,230.1028,445.1964,796.3365,1205.2936,1573.5634,1941.6681,2239.099,2502.8592,2762.7371,3064.5009,3404.6555,3753.9501,4075.5118
p66,0.00687512,2.876324151,3.4353,6.6227,9.8943,13.8736,20.0839,32.5326,58.8276,113.6204,217.2804,362.9512,531.9148,709.1647,872.3429,1010.4055,1126.2165,1239.414,1365.9074,1502.0144,1576.0477
p67,0.049593126,5.42192879,15.4534,51.6296,110.6225,267.7372,483.0649,770.1765,1188.2443,1822.4018,2698.1949,3492.3695,3593.1692,3710.5986,3822.3459,3953.4666,4109.0948,4312.1546,4540.5618,4826.8732,5108.856
p68,0,0,1.2944,6.7717,49.1188,52.1807,56.5773,63.7248,75.5945,94.6929,126.1498,163.3569,170.674,177.7075,185.0433,195.6989,205.4613,212.8521,220.1661,229.4995,241.4761
p69,0,0,1.8805,3.7806,7.3625,7.8795,8.2959,9.438,11.5788,15.6049,23.2124,32.1121,42.1228,53.3475,66.2851,80.2121,95.1301,110.621,118.6705,127.9209,137.2066
p7,0.042888671,1.603520842,3.526,5.7431,7.5181,8.2048,8.7213,9.6784,11.4298,14.2406,18.5777,23.9416,26.9984,30.4771,34.081,37.8788,41.8539,45.9162,49.41,53.3579,57.41
p70,0,0,13.3791,25.9204,52.3905,59.1497,64.8524,73.9496,91.323,122.0335,176.4359,238.6496,307.9895,384.9464,471.5695,562.8815,659.9472,762.3483,823.451,885.6378,947.0076
p71,0.048889458,0.2611806,3.6195,4.788,6.118,6.3691,6.5275,6.9452,7.8804,10.4077,16.8346,23.4736,29.8233,36.7477,44.4563,52.4959,61.3885,70.857,76.6959,82.4883,95.1227
p72,0.051234245,4.395968779,35.3969,47.2284,60.6067,64.1311,65.9057,71.7003,85.6958,119.9774,204.8423,298.1553,395.2048,503.1617,629.2605,771.9686,937.2878,1122.8156,1224.6352,1340.9374,1610.619
p73,0,0.247787902,2.0312,2.6852,3.4208,3.6039,3.7105,3.9797,4.617,6.3279,10.4309,15.0891,20.1186,25.9354,32.828,40.5591,49.4958,59.1475,64.8098,70.9606,83.1684
p74,0,0,0.6854,1.5943,2.4925,2.5723,2.7117,2.9819,3.5989,5.061,7.179,10.1393,13.8291,17.7784,21.6749,26.0639,31.2157,37.8353,47.2656,58.3749,67.5353
p75,0.049455912,1.133727956,2.3496,3.194,6.2617,6.7697,7.321,8.2153,9.8236,12.9088,21.009,34.3164,54.9898,85.3662,125.9813,170.6836,215.4781,255.5541,295.3371,335.431,369.055
p76,0.004075108,2.41498537,4.1288,6.2355,12.5893,15.4169,19.5194,26.5926,39.1482,61.2996,102.9941,159.0873,225.3119,296.6243,369.4372,402.2782,431.3014,456.4857,484.453,515.8385,544.4511
p77,0,0.829536661,1.6044,2.5742,5.353,7.1464,9.8718,14.4448,22.0722,34.384,54.4839,80.2128,109.1685,138.6179,166.5747,171.0771,175.2641,179.1332,183.4683,188.8217,195.0364
p78,0.044142199,1.68559734,2.1563,3.1849,6.2852,7.4393,9.1522,12.4877,18.7837,30.5033,54.3952,87.678,127.9703,170.8809,213.3865,231.6611,247.611,261.5991,277.7221,296.557,316.202
p79,0.101972038,2.372986019,5.121,7.8407,14.8167,21.1179,29.0639,40.9507,61.5621,103.2497,196.8353,317.7106,453.5011,588.9815,708.3462,788.3537,855.6783,912.0147,972.8452,1040.8631,1079.892
p8,0.819524,8.793521013,30.3621,51.218,74.8255,76.7314,77.9135,79.1144,81.0514,83.8508,88.1821,92.0276,95.7085,99.0426,102.1474,106.8157,111.999,117.6068,120.9648,125.0211,129.1083
p80,0.355709642,8.406996517,12.2724,23.3011,54.0138,95.1117,114.7571,200.425,371.556,654.7862,1149.2833,1638.9341,2284.9303,3107.0694,3204.8135,3269.4285,3329.056,3385.3583,3494.1761,3654.8377,3698.3514
p81,0.090199905,0.960017493,2.9035,4.7667,9.7572,12.0055,16.4021,23.1544,34.6438,54.8977,96.2133,156.8182,266.4274,450.8806,520.3871,563.7234,593.6269,619.2235,664.6324,711.5295,727.183
p82,0,0.338281606,0.6743,1.0914,2.2684,2.316,2.4164,2.581,3.2431,4.7219,8.3881,16.5542,38.6996,83.2288,105.1066,120.3911,130.0921,137.5275,150.4246,159.5985,166.0342
p83,0.035923054,0.394704384,1.4872,2.3583,4.6895,4.6895,4.6895,4.7107,4.9457,5.9423,9.9119,24.4546,67.6755,151.5936,179.0883,197.0218,210.1184,221.6786,243.1615,268.4374,277.6071
p84,0,0.93922519,8.6092,11.3375,14.4291,14.9704,15.3503,16.26,18.5897,24.4568,40.027,55.9849,71.7594,89.6436,109.9121,132.1662,158.1375,185.8747,204.8817,226.12,262.583
p85,0,0,0.908,1.6484,5.4001,9.7072,14.056,17.5495,29.4454,63.3127,157.165,311.3434,498.4276,646.56,735.6462,794.2445,844.2146,895.8143,959.7742,1031.4226,1067.8628
p86,0,0,0.0599,0.1059,0.465,0.6142,0.9035,3.2528,13.8102,32.5098,63.0932,81.5212,94.9593,107.9159,119.7408,139.8053,157.9586,174.3856,193.8077,219.6186,231.4082
p87,0,0,0.4199,0.8294,2.6935,4.1666,6.9254,13.4608,29.8767,71.9147,161.9524,292.9537,443.7771,589.2052,672.7588,782.2638,902.4323,1062.7532,1282.4814,1542.1763,1744.2414
p88,0,0,0.1265,0.2378,0.8802,1.6245,3.1758,7.1879,17.1645,42.9111,93.035,160.9251,235.1798,302.3948,335.6904,374.7471,404.806,432.9351,485.0784,536.5355,577.7647
p89,0,0,0.9492,1.8567,10.2131,11.8654,15.5802,25.567,52.2738,108.7676,214.1481,313.7767,382.6355,431.4656,472.9189,521.4503,597.8704,724.5934,887.4985,1021.208,1110.1731
p9,430.9401092,716.7919976,1407.3187,2808.6492,4205.1976,5037.3743,5707.1718,5935.2603,6355.9411,7009.965,7918.9423,8673.4406,9331.1007,9878.3062,10316.2356,11123.6984,11880.8984,12471.6283,12945.8751,13469.0908,13954.6188
p90,0,0,0.9525,1.8822,10.0088,11.4803,14.9398,25.0258,52.1704,112.0853,222.2082,322.319,388.9502,436.3603,480.143,531.6789,609.5063,735.504,895.4783,1028.1075,1115.2416
p91,0.434143915,2.552060478,4.823,9.4946,23.8405,46.6193,81.6699,133.5558,219.4305,353.1967,562.7692,764.7956,804.6825,843.0971,879.0204,942.0709,997.4305,1051.003,1118.351,1192.4543,1263.6941
p92,0.114763759,35.8,56.4943,74.3473,83.5938,110.3252,130.4347,162.1415,221.6823,340.7321,538.9401,729.7359,913.3121,1108.5272,1300.0088,1505.7184,1728.8323,1979.0064,2274.3697,2613.1029,2980.0968
