reeds_ba,state_abbr,model,cr,pollutant,damage
p133,RI,InMAP,H6C,SO2,22857.977156
p133,RI,InMAP,H6C,VOC,2426.420205
p134,ME,AP2,ACS,NH3,5358.931550
p134,ME,AP2,ACS,NOX,316.167677
p134,ME,AP2,ACS,PM25,8263.377733
p134,ME,AP2,ACS,SO2,5712.625494
p134,ME,AP2,ACS,VOC,1029.284180
p134,ME,AP2,H6C,NH3,13767.276141
p134,ME,AP2,H6C,NOX,810.770812
p134,ME,AP2,H6C,PM25,21229.745809
p134,ME,AP2,H6C,SO2,14676.031259
p134,ME,AP2,H6C,VOC,2642.999724
p134,ME,EASIUR,ACS,NH3,45281.073108
p134,ME,EASIUR,ACS,NOX,8330.977761
p134,ME,EASIUR,ACS,PM25,71101.163244
p134,ME,EASIUR,ACS,SO2,27293.300248
p134,ME,EASIUR,H6C,NH3,116340.280329
p134,ME,EASIUR,H6C,NOX,21403.432333
p134,ME,EASIUR,H6C,PM25,182680.514362
p134,ME,EASIUR,H6C,SO2,70123.824270
p134,ME,InMAP,ACS,NH3,3116.828825
p134,ME,InMAP,ACS,NOX,375.099981
p134,ME,InMAP,ACS,PM25,3894.794657
p134,ME,InMAP,ACS,SO2,2389.598059
p134,ME,InMAP,ACS,VOC,299.838373
p134,ME,InMAP,H6C,NH3,8006.582872
p134,ME,InMAP,H6C,NOX,962.187124
p134,ME,InMAP,H6C,PM25,10005.430863
p134,ME,InMAP,H6C,SO2,6138.089812
p134,ME,InMAP,H6C,VOC,768.815503
p14,ID,AP2,ACS,NH3,1063.602897
p14,ID,AP2,ACS,NOX,1936.086069
p14,ID,AP2,ACS,PM25,6093.440287
p14,ID,AP2,ACS,SO2,4140.892069
p14,ID,AP2,ACS,VOC,829.319241
p14,ID,AP2,H6C,NH3,2731.175704
p14,ID,AP2,H6C,NOX,4972.869576
p14,ID,AP2,H6C,PM25,15654.468681
p14,ID,AP2,H6C,SO2,10637.735394
p14,ID,AP2,H6C,VOC,2129.224568
p14,ID,EASIUR,ACS,NH3,9456.809409
p14,ID,EASIUR,ACS,NOX,2649.039298
p14,ID,EASIUR,ACS,PM25,27871.522406
p14,ID,EASIUR,ACS,SO2,15607.566377
p14,ID,EASIUR,H6C,NH3,24296.061083
p14,ID,EASIUR,H6C,NOX,6804.678985
p14,ID,EASIUR,H6C,PM25,71609.465610
p14,ID,EASIUR,H6C,SO2,40099.362097
p14,ID,InMAP,ACS,NH3,3879.901578
p14,ID,InMAP,ACS,NOX,3402.214525
p14,ID,InMAP,ACS,PM25,3822.265324
p14,ID,InMAP,ACS,SO2,3116.986971
p14,ID,InMAP,ACS,VOC,648.963325
p14,ID,InMAP,H6C,NH3,9967.165687
p14,ID,InMAP,H6C,NOX,8739.831827
p14,ID,InMAP,H6C,PM25,9819.079349
p14,ID,InMAP,H6C,SO2,8006.989199
p14,ID,InMAP,H6C,VOC,1665.831388
p15,ID,AP2,ACS,NH3,2594.727275
p15,ID,AP2,ACS,NOX,3791.367188
p15,ID,AP2,ACS,PM25,9241.823838
p15,ID,AP2,ACS,SO2,9248.578549
p15,ID,AP2,ACS,VOC,1177.542165
p15,ID,AP2,H6C,NH3,6665.133681
p15,ID,AP2,H6C,NOX,9739.691961
p15,ID,AP2,H6C,PM25,23743.693020
p15,ID,AP2,H6C,SO2,23761.048075
p15,ID,AP2,H6C,VOC,3023.922849
p15,ID,EASIUR,ACS,NH3,7827.738381
p15,ID,EASIUR,ACS,NOX,2106.272073
p15,ID,EASIUR,ACS,PM25,21337.037655
p15,ID,EASIUR,ACS,SO2,12576.714788
p15,ID,EASIUR,H6C,NH3,20110.446210
p15,ID,EASIUR,H6C,NOX,5410.132934
p15,ID,EASIUR,H6C,PM25,54820.242750
p15,ID,EASIUR,H6C,SO2,32312.115703
p15,ID,InMAP,ACS,NH3,6499.923290
p15,ID,InMAP,ACS,NOX,4930.205578
p15,ID,InMAP,ACS,PM25,7530.374193
p15,ID,InMAP,ACS,SO2,5573.923911
p15,ID,InMAP,ACS,VOC,1014.513345
p15,ID,InMAP,H6C,NH3,16698.856110
p15,ID,InMAP,H6C,NOX,12665.739267
p15,ID,InMAP,H6C,PM25,19346.420613
p15,ID,InMAP,H6C,SO2,14319.661646
p15,ID,InMAP,H6C,VOC,2605.048632
p16,ID,AP2,ACS,NH3,2517.808577
p16,ID,AP2,ACS,NOX,3866.448253
p16,ID,AP2,ACS,PM25,8814.170851
p16,ID,AP2,ACS,SO2,9598.050692
p16,ID,AP2,ACS,VOC,1126.231464
p16,ID,AP2,H6C,NH3,6467.504454
p16,ID,AP2,H6C,NOX,9932.599707
p16,ID,AP2,H6C,PM25,22644.913000
p16,ID,AP2,H6C,SO2,24658.956009
p16,ID,AP2,H6C,VOC,2892.088920
p16,ID,EASIUR,ACS,NH3,8669.487757
p16,ID,EASIUR,ACS,NOX,1771.896708
p16,ID,EASIUR,ACS,PM25,17667.876011
p16,ID,EASIUR,ACS,SO2,12289.599109
p16,ID,EASIUR,H6C,NH3,22273.174933
p16,ID,EASIUR,H6C,NOX,4551.013548
p16,ID,EASIUR,H6C,PM25,45392.969614
p16,ID,EASIUR,H6C,SO2,31574.421870
p16,ID,InMAP,ACS,NH3,8456.558773
p16,ID,InMAP,ACS,NOX,5952.231178
p16,ID,InMAP,ACS,PM25,9732.891573
p16,ID,InMAP,ACS,SO2,7256.680610
p16,ID,InMAP,ACS,VOC,1224.804449
p16,ID,InMAP,H6C,NH3,21726.090915
p16,ID,InMAP,H6C,NOX,15291.656419
p16,ID,InMAP,H6C,PM25,25005.406218
p16,ID,InMAP,H6C,SO2,18643.212517
p16,ID,InMAP,H6C,VOC,3145.355074
p17,MT,AP2,ACS,NH3,2368.052411
p17,MT,AP2,ACS,NOX,3181.112576
p17,MT,AP2,ACS,PM25,7519.388792
p17,MT,AP2,ACS,SO2,14486.393793
p17,MT,AP2,ACS,VOC,968.039402
p17,MT,AP2,H6C,NH3,6082.732014
p17,MT,AP2,H6C,NOX,8171.748795
p17,MT,AP2,H6C,PM25,19318.195535
p17,MT,AP2,H6C,SO2,37218.704005
p17,MT,AP2,H6C,VOC,2485.641912
p17,MT,EASIUR,ACS,NH3,7472.653152
p17,MT,EASIUR,ACS,NOX,1511.160655
p17,MT,EASIUR,ACS,PM25,17101.625621
p17,MT,EASIUR,ACS,SO2,12056.632701
p17,MT,EASIUR,H6C,NH3,19198.116427
p17,MT,EASIUR,H6C,NOX,3881.097575
p17,MT,EASIUR,H6C,PM25,43938.087655
p17,MT,EASIUR,H6C,SO2,30975.855179
p17,MT,InMAP,ACS,NH3,5460.476605
p17,MT,InMAP,ACS,NOX,4258.204263
p17,MT,InMAP,ACS,PM25,5514.070277
p17,MT,InMAP,ACS,SO2,4468.765156
p17,MT,InMAP,ACS,VOC,795.855163
p17,MT,InMAP,H6C,NH3,14028.178511
p17,MT,InMAP,H6C,NOX,10939.148686
p17,MT,InMAP,H6C,PM25,14165.878137
p17,MT,InMAP,H6C,SO2,11480.148305
p17,MT,InMAP,H6C,VOC,2043.244437
p18,MT,AP2,ACS,NH3,2758.404102
p18,MT,AP2,ACS,NOX,3668.618119
p18,MT,AP2,ACS,PM25,8111.434816
p18,MT,AP2,ACS,SO2,14622.752689
p18,MT,AP2,ACS,VOC,1029.716875
p18,MT,AP2,H6C,NH3,7085.672840
p18,MT,AP2,H6C,NOX,9424.309561
p18,MT,AP2,H6C,PM25,20839.354892
p18,MT,AP2,H6C,SO2,37569.054486
p18,MT,AP2,H6C,VOC,2644.111458
p18,MT,EASIUR,ACS,NH3,7625.102702
p18,MT,EASIUR,ACS,NOX,1976.251042
p18,MT,EASIUR,ACS,PM25,15677.550866
p18,MT,EASIUR,ACS,SO2,12474.452995
p18,MT,EASIUR,H6C,NH3,19589.809050
p18,MT,EASIUR,H6C,NOX,5076.066493
p18,MT,EASIUR,H6C,PM25,40279.175076
p18,MT,EASIUR,H6C,SO2,32049.371803
p18,MT,InMAP,ACS,NH3,6416.106103
p18,MT,InMAP,ACS,NOX,4572.964454
p18,MT,InMAP,ACS,PM25,6200.119938
p18,MT,InMAP,ACS,SO2,5005.327233
p18,MT,InMAP,ACS,VOC,857.307574
p18,MT,InMAP,H6C,NH3,16483.502417
p18,MT,InMAP,H6C,NOX,11747.870289
p18,MT,InMAP,H6C,PM25,15928.563505
p18,MT,InMAP,H6C,SO2,12858.751305
p18,MT,InMAP,H6C,VOC,2201.135726
p19,MT,AP2,ACS,NH3,3226.181771
p19,MT,AP2,ACS,NOX,4607.309075
p19,MT,AP2,ACS,PM25,8999.168849
p19,MT,AP2,ACS,SO2,8666.989907
p19,MT,AP2,ACS,VOC,1119.134916
p19,MT,AP2,H6C,NH3,8287.546260
p19,MT,AP2,H6C,NOX,11836.112825
p19,MT,AP2,H6C,PM25,23120.233205
p19,MT,AP2,H6C,SO2,22266.757140
p19,MT,AP2,H6C,VOC,2873.855573
p19,MT,EASIUR,ACS,NH3,11292.451829
p19,MT,EASIUR,ACS,NOX,3448.393445
p19,MT,EASIUR,ACS,PM25,17802.812210
p19,MT,EASIUR,ACS,SO2,16920.698815
p19,MT,EASIUR,H6C,NH3,29012.425240
p19,MT,EASIUR,H6C,NOX,8858.480534
p19,MT,EASIUR,H6C,PM25,45739.664735
p19,MT,EASIUR,H6C,SO2,43473.227670
p19,MT,InMAP,ACS,NH3,7266.177080
p19,MT,InMAP,ACS,NOX,4672.655929
p19,MT,InMAP,ACS,PM25,6877.327801
p19,MT,InMAP,ACS,SO2,5320.672275
p19,MT,InMAP,ACS,VOC,950.751587
p19,MT,InMAP,H6C,NH3,18667.612050
p19,MT,InMAP,H6C,NOX,12004.010210
p19,MT,InMAP,H6C,PM25,17668.531410
p19,MT,InMAP,H6C,SO2,13668.975585
p19,MT,InMAP,H6C,VOC,2441.223878
p2,WA,AP2,ACS,NH3,4758.844804
p2,WA,AP2,ACS,NOX,1241.428707
p2,WA,AP2,ACS,PM25,7395.121551
p2,WA,AP2,ACS,SO2,4788.155440
p2,WA,AP2,ACS,VOC,968.826704
p2,WA,AP2,H6C,NH3,12225.457545
p2,WA,AP2,H6C,NOX,3188.068217
p2,WA,AP2,H6C,PM25,18998.912454
p2,WA,AP2,H6C,SO2,12300.766131
p2,WA,AP2,H6C,VOC,2487.664747
p2,WA,EASIUR,ACS,NH3,13991.275330
p2,WA,EASIUR,ACS,NOX,6490.706562
p2,WA,EASIUR,ACS,PM25,52857.903091
p2,WA,EASIUR,ACS,SO2,22024.466279
p2,WA,EASIUR,H6C,NH3,35946.583166
p2,WA,EASIUR,H6C,NOX,16675.175329
p2,WA,EASIUR,H6C,PM25,135807.628107
p2,WA,EASIUR,H6C,SO2,56586.471125
p2,WA,InMAP,ACS,NH3,7139.934332
p2,WA,InMAP,ACS,NOX,3207.964711
p2,WA,InMAP,ACS,PM25,12296.145660
p2,WA,InMAP,ACS,SO2,6603.515796
p2,WA,InMAP,ACS,VOC,884.347195
p2,WA,InMAP,H6C,NH3,18343.253249
p2,WA,InMAP,H6C,NOX,8240.740689
p2,WA,InMAP,H6C,PM25,31591.242094
p2,WA,InMAP,H6C,SO2,16965.019050
p2,WA,InMAP,H6C,VOC,2270.609333
p20,MT,AP2,ACS,NH3,3102.721601
p20,MT,AP2,ACS,NOX,4197.977246
p20,MT,AP2,ACS,PM25,8685.790286
p20,MT,AP2,ACS,SO2,12639.160700
p20,MT,AP2,ACS,VOC,1089.169967
p20,MT,AP2,H6C,NH3,7970.336809
p20,MT,AP2,H6C,NOX,10784.405833
p20,MT,AP2,H6C,PM25,22315.061450
p20,MT,AP2,H6C,SO2,32472.559622
p20,MT,AP2,H6C,VOC,2796.865846
p20,MT,EASIUR,ACS,NH3,7637.070863
p20,MT,EASIUR,ACS,NOX,2066.801043
p20,MT,EASIUR,ACS,PM25,16275.620010
p20,MT,EASIUR,ACS,SO2,12183.910016
p20,MT,EASIUR,H6C,NH3,19620.559161
p20,MT,EASIUR,H6C,NOX,5308.718982
p20,MT,EASIUR,H6C,PM25,41815.809798
p20,MT,EASIUR,H6C,SO2,31302.872112
p20,MT,InMAP,ACS,NH3,8779.591013
p20,MT,InMAP,ACS,NOX,5563.534699
p20,MT,InMAP,ACS,PM25,8921.412712
p20,MT,InMAP,ACS,SO2,6580.486702
p20,MT,InMAP,ACS,VOC,1159.448254
p20,MT,InMAP,H6C,NH3,22556.066115
p20,MT,InMAP,H6C,NOX,14292.968373
p20,MT,InMAP,H6C,PM25,22920.452319
p20,MT,InMAP,H6C,SO2,16905.849795
p20,MT,InMAP,H6C,VOC,2977.433689
p21,WY,AP2,ACS,NH3,3801.040803
p21,WY,AP2,ACS,NOX,5621.453602
p21,WY,AP2,ACS,PM25,11144.485251
p21,WY,AP2,ACS,SO2,13105.760475
p21,WY,AP2,ACS,VOC,1365.977279
p21,WY,AP2,H6C,NH3,9764.546633
p21,WY,AP2,H6C,NOX,14441.780925
p21,WY,AP2,H6C,PM25,28632.250833
p21,WY,AP2,H6C,SO2,33671.406647
p21,WY,AP2,H6C,VOC,3508.074126
p21,WY,EASIUR,ACS,NH3,8019.632014
p21,WY,EASIUR,ACS,NOX,1255.925296
p21,WY,EASIUR,ACS,PM25,12987.661893
p21,WY,EASIUR,ACS,SO2,10344.416713
p21,WY,EASIUR,H6C,NH3,20603.483551
p21,WY,EASIUR,H6C,NOX,3225.314682
p21,WY,EASIUR,H6C,PM25,33367.972866
p21,WY,EASIUR,H6C,SO2,26576.613779
p21,WY,InMAP,ACS,NH3,10265.171741
p21,WY,InMAP,ACS,NOX,6617.893987
p21,WY,InMAP,ACS,PM25,11573.246148
p21,WY,InMAP,ACS,SO2,8080.207388
p21,WY,InMAP,ACS,VOC,1326.575637
p21,WY,InMAP,H6C,NH3,26373.007596
p21,WY,InMAP,H6C,NOX,17001.961312
p21,WY,InMAP,H6C,PM25,29733.877438
p21,WY,InMAP,H6C,SO2,20759.121445
p21,WY,InMAP,H6C,VOC,3406.838454
p22,WY,AP2,ACS,NH3,3585.653573
p22,WY,AP2,ACS,NOX,6677.839566
p22,WY,AP2,ACS,PM25,11948.230520
p22,WY,AP2,ACS,SO2,13886.586895
p22,WY,AP2,ACS,VOC,1448.974289
p22,WY,AP2,H6C,NH3,9211.146580
p22,WY,AP2,H6C,NOX,17155.981060
p22,WY,AP2,H6C,PM25,30697.334615
p22,WY,AP2,H6C,SO2,35677.604430
p22,WY,AP2,H6C,VOC,3721.320518
p22,WY,EASIUR,ACS,NH3,7525.846145
p22,WY,EASIUR,ACS,NOX,1544.238738
p22,WY,EASIUR,ACS,PM25,14689.921050
p22,WY,EASIUR,ACS,SO2,10282.495855
p22,WY,EASIUR,H6C,NH3,19334.786580
p22,WY,EASIUR,H6C,NOX,3966.085961
p22,WY,EASIUR,H6C,PM25,37741.631930
p22,WY,EASIUR,H6C,SO2,26417.518900
p22,WY,InMAP,ACS,NH3,10120.890925
p22,WY,InMAP,ACS,NOX,6515.069086
p22,WY,InMAP,ACS,PM25,10089.094436
p22,WY,InMAP,ACS,SO2,7599.422553
p22,WY,InMAP,ACS,VOC,1257.193740
p22,WY,InMAP,H6C,NH3,26002.303120
p22,WY,InMAP,H6C,NOX,16737.770605
p22,WY,InMAP,H6C,PM25,25920.607575
p22,WY,InMAP,H6C,SO2,19523.828370
p22,WY,InMAP,H6C,VOC,3228.573728
p23,WY,AP2,ACS,NH3,2974.218298
p23,WY,AP2,ACS,NOX,3966.053387
p23,WY,AP2,ACS,PM25,7072.736199
p23,WY,AP2,ACS,SO2,13890.480413
p23,WY,AP2,ACS,VOC,923.720224
p23,WY,AP2,H6C,NH3,7640.169907
p23,WY,AP2,H6C,NOX,10188.517786
p23,WY,AP2,H6C,PM25,18170.599327
p23,WY,AP2,H6C,SO2,35687.608147
p23,WY,AP2,H6C,VOC,2371.771488
p23,WY,EASIUR,ACS,NH3,9467.320488
p23,WY,EASIUR,ACS,NOX,2000.640184
p23,WY,EASIUR,ACS,PM25,16476.026163
p23,WY,EASIUR,ACS,SO2,11723.744100
p23,WY,EASIUR,H6C,NH3,24323.067473
p23,WY,EASIUR,H6C,NOX,5138.730153
p23,WY,EASIUR,H6C,PM25,42330.718573
p23,WY,EASIUR,H6C,SO2,30120.555770
p23,WY,InMAP,ACS,NH3,11923.562563
p23,WY,InMAP,ACS,NOX,6939.006049
p23,WY,InMAP,ACS,PM25,11833.052103
p23,WY,InMAP,ACS,SO2,8470.728074
p23,WY,InMAP,ACS,VOC,1528.090996
p23,WY,InMAP,H6C,NH3,30633.954587
p23,WY,InMAP,H6C,NOX,17827.002947
p23,WY,InMAP,H6C,PM25,30401.403693
p23,WY,InMAP,H6C,SO2,21762.496473
p23,WY,InMAP,H6C,VOC,3924.597146
p24,WY,AP2,ACS,NH3,4096.488704
p24,WY,AP2,ACS,NOX,5087.051161
p24,WY,AP2,ACS,PM25,9544.475743
p24,WY,AP2,ACS,SO2,13035.337821
p24,WY,AP2,ACS,VOC,1197.111429
p24,WY,AP2,H6C,NH3,10523.648662
p24,WY,AP2,H6C,NOX,13068.726735
p24,WY,AP2,H6C,PM25,24521.304486
p24,WY,AP2,H6C,SO2,33490.467879
p24,WY,AP2,H6C,VOC,3074.202672
p24,WY,EASIUR,ACS,NH3,8072.416430
p24,WY,EASIUR,ACS,NOX,1604.264838
p24,WY,EASIUR,ACS,PM25,15114.992032
p24,WY,EASIUR,ACS,SO2,9928.579560
p24,WY,EASIUR,H6C,NH3,20739.103931
p24,WY,EASIUR,H6C,NOX,4120.312594
p24,WY,EASIUR,H6C,PM25,38833.777925
p24,WY,EASIUR,H6C,SO2,25508.192491
p24,WY,InMAP,ACS,NH3,14025.628588
p24,WY,InMAP,ACS,NOX,7777.263720
p24,WY,InMAP,ACS,PM25,16104.394528
p24,WY,InMAP,ACS,SO2,9603.587486
p24,WY,InMAP,ACS,VOC,1777.392833
p24,WY,InMAP,H6C,NH3,36034.847889
p24,WY,InMAP,H6C,NOX,19980.760340
p24,WY,InMAP,H6C,PM25,41375.875684
p24,WY,InMAP,H6C,SO2,24673.181840
p24,WY,InMAP,H6C,VOC,4565.134886
p25,UT,AP2,ACS,NH3,10613.074615
p25,UT,AP2,ACS,NOX,3296.381558
p25,UT,AP2,ACS,PM25,11064.126793
p25,UT,AP2,ACS,SO2,8271.257401
p25,UT,AP2,ACS,VOC,1360.445761
p25,UT,AP2,H6C,NH3,27266.883563
p25,UT,AP2,H6C,NOX,8467.912412
p25,UT,AP2,H6C,PM25,28425.783743
p25,UT,AP2,H6C,SO2,21249.991247
p25,UT,AP2,H6C,VOC,3493.861852
p25,UT,EASIUR,ACS,NH3,7887.979395
p25,UT,EASIUR,ACS,NOX,1368.112730
p25,UT,EASIUR,ACS,PM25,17980.392869
p25,UT,EASIUR,ACS,SO2,10125.843102
p25,UT,EASIUR,H6C,NH3,20265.225023
p25,UT,EASIUR,H6C,NOX,3513.560794
p25,UT,EASIUR,H6C,PM25,46195.927360
p25,UT,EASIUR,H6C,SO2,26015.026875
p25,UT,InMAP,ACS,NH3,10818.754546
p25,UT,InMAP,ACS,NOX,6569.399397
p25,UT,InMAP,ACS,PM25,13780.241321
p25,UT,InMAP,ACS,SO2,8745.850573
p25,UT,InMAP,ACS,VOC,1513.048742
p25,UT,InMAP,H6C,NH3,27795.342397
p25,UT,InMAP,H6C,NOX,16877.362891
p25,UT,InMAP,H6C,PM25,35404.367956
p25,UT,InMAP,H6C,SO2,22469.375918
p25,UT,InMAP,H6C,VOC,3885.948688
p26,UT,AP2,ACS,NH3,4088.927277
p26,UT,AP2,ACS,NOX,3422.742189
p26,UT,AP2,ACS,PM25,8396.524653
p26,UT,AP2,ACS,SO2,7887.710064
p26,UT,AP2,ACS,VOC,1086.008791
p26,UT,AP2,H6C,NH3,10504.220890
p26,UT,AP2,H6C,NOX,8792.574090
p26,UT,AP2,H6C,PM25,21571.843679
p26,UT,AP2,H6C,SO2,20264.533027
p26,UT,AP2,H6C,VOC,2788.743753
p26,UT,EASIUR,ACS,NH3,8929.122161
p26,UT,EASIUR,ACS,NOX,1507.227296
p26,UT,EASIUR,ACS,PM25,17288.438046
p26,UT,EASIUR,ACS,SO2,10856.438498
p26,UT,EASIUR,H6C,NH3,22940.260410
p26,UT,EASIUR,H6C,NOX,3870.991492
p26,UT,EASIUR,H6C,PM25,44418.069707
p26,UT,EASIUR,H6C,SO2,27892.164764
p26,UT,InMAP,ACS,NH3,11983.122379
p26,UT,InMAP,ACS,NOX,7090.148403
p26,UT,InMAP,ACS,PM25,15947.357690
p26,UT,InMAP,ACS,SO2,9548.046698
p26,UT,InMAP,ACS,VOC,1573.711318
p26,UT,InMAP,H6C,NH3,30786.983179
p26,UT,InMAP,H6C,NOX,18215.336956
p26,UT,InMAP,H6C,PM25,40972.396817
p26,UT,InMAP,H6C,SO2,24530.479436
p26,UT,InMAP,H6C,VOC,4041.810634
p27,AZ,AP2,ACS,NH3,8926.480380
p27,AZ,AP2,ACS,NOX,2192.407167
p27,AZ,AP2,ACS,PM25,7718.297810
p27,AZ,AP2,ACS,SO2,6424.028289
p27,AZ,AP2,ACS,VOC,1001.943618
p27,AZ,AP2,H6C,NH3,22933.472810
p27,AZ,AP2,H6C,NOX,5631.442086
p27,AZ,AP2,H6C,PM25,19829.257680
p27,AZ,AP2,H6C,SO2,16503.857100
p27,AZ,AP2,H6C,VOC,2572.752903
p27,AZ,EASIUR,ACS,NH3,7143.261581
p27,AZ,EASIUR,ACS,NOX,1313.429938
p27,AZ,EASIUR,ACS,PM25,19391.788760
p27,AZ,EASIUR,ACS,SO2,9015.280372
p27,AZ,EASIUR,H6C,NH3,18351.802040
p27,AZ,EASIUR,H6C,NOX,3373.062866
p27,AZ,EASIUR,H6C,PM25,49822.263810
p27,AZ,EASIUR,H6C,SO2,23161.628960
p27,AZ,InMAP,ACS,NH3,10816.005740
p27,AZ,InMAP,ACS,NOX,5271.417630
p27,AZ,InMAP,ACS,PM25,15392.356070
p27,AZ,InMAP,ACS,SO2,8136.944831
p27,AZ,InMAP,ACS,VOC,1569.002955
p27,AZ,InMAP,H6C,NH3,27788.279820
p27,AZ,InMAP,H6C,NOX,13542.424330
p27,AZ,InMAP,H6C,PM25,39546.416620
p27,AZ,InMAP,H6C,SO2,20904.898440
p27,AZ,InMAP,H6C,VOC,4029.713314
p28,AZ,AP2,ACS,NH3,5063.061767
p28,AZ,AP2,ACS,NOX,4058.914154
p28,AZ,AP2,ACS,PM25,11961.552412
p28,AZ,AP2,ACS,SO2,10710.507918
p28,AZ,AP2,ACS,VOC,1460.371697
p28,AZ,AP2,H6C,NH3,13007.090155
p28,AZ,AP2,H6C,NOX,10427.107389
p28,AZ,AP2,H6C,PM25,30731.562896
p28,AZ,AP2,H6C,SO2,27517.221505
p28,AZ,AP2,H6C,VOC,3750.604175
p28,AZ,EASIUR,ACS,NH3,6884.869192
p28,AZ,EASIUR,ACS,NOX,1356.553402
p28,AZ,EASIUR,ACS,PM25,20532.853489
p28,AZ,EASIUR,ACS,SO2,9160.164159
p28,AZ,EASIUR,H6C,NH3,17687.907703
p28,AZ,EASIUR,H6C,NOX,3483.861111
p28,AZ,EASIUR,H6C,PM25,52754.031310
p28,AZ,EASIUR,H6C,SO2,23533.882667
p28,AZ,InMAP,ACS,NH3,12199.625855
p28,AZ,InMAP,ACS,NOX,6016.175387
p28,AZ,InMAP,ACS,PM25,20320.570833
p28,AZ,InMAP,ACS,SO2,9342.919369
p28,AZ,InMAP,ACS,VOC,1920.018728
p28,AZ,InMAP,H6C,NH3,31343.251230
p28,AZ,InMAP,H6C,NOX,15455.949951
p28,AZ,InMAP,H6C,PM25,52208.607909
p28,AZ,InMAP,H6C,SO2,24003.440416
p28,AZ,InMAP,H6C,VOC,4931.587333
p29,AZ,AP2,ACS,NH3,5242.310397
p29,AZ,AP2,ACS,NOX,4754.412375
p29,AZ,AP2,ACS,PM25,10579.940860
p29,AZ,AP2,ACS,SO2,11478.341640
p29,AZ,AP2,ACS,VOC,1296.539007
p29,AZ,AP2,H6C,NH3,13467.638360
p29,AZ,AP2,H6C,NOX,12214.069190
p29,AZ,AP2,H6C,PM25,27181.752150
p29,AZ,AP2,H6C,SO2,29490.036800
p29,AZ,AP2,H6C,VOC,3329.664552
p29,AZ,EASIUR,ACS,NH3,6297.602656
p29,AZ,EASIUR,ACS,NOX,782.731118
p29,AZ,EASIUR,ACS,PM25,11867.526390
p29,AZ,EASIUR,ACS,SO2,8437.024578
p29,AZ,EASIUR,H6C,NH3,16179.028410
p29,AZ,EASIUR,H6C,NOX,2009.524484
p29,AZ,EASIUR,H6C,PM25,30489.979380
p29,AZ,EASIUR,H6C,SO2,21675.901200
p29,AZ,InMAP,ACS,NH3,12649.079830
p29,AZ,InMAP,ACS,NOX,7278.319067
p29,AZ,InMAP,ACS,PM25,14778.560300
p29,AZ,InMAP,ACS,SO2,9713.099270
p29,AZ,InMAP,ACS,VOC,1772.050350
p29,AZ,InMAP,H6C,NH3,32498.045110
p29,AZ,InMAP,H6C,NOX,18698.808770
p29,AZ,InMAP,H6C,PM25,37969.375060
p29,AZ,InMAP,H6C,SO2,24954.553340
p29,AZ,InMAP,H6C,VOC,4551.408304
p3,WA,AP2,ACS,NH3,1370.012795
p3,WA,AP2,ACS,NOX,1793.910956
p3,WA,AP2,ACS,PM25,5849.695664
p3,WA,AP2,ACS,SO2,3915.245552
p3,WA,AP2,ACS,VOC,805.442809
p3,WA,AP2,H6C,NH3,3518.442683
p3,WA,AP2,H6C,NOX,4607.575332
p3,WA,AP2,H6C,PM25,15028.209234
p3,WA,AP2,H6C,SO2,10057.975887
p3,WA,AP2,H6C,VOC,2067.878226
p3,WA,EASIUR,ACS,NH3,11050.470871
p3,WA,EASIUR,ACS,NOX,3537.977595
p3,WA,EASIUR,ACS,PM25,32340.522798
p3,WA,EASIUR,ACS,SO2,18194.702411
p3,WA,EASIUR,H6C,NH3,28390.697227
p3,WA,EASIUR,H6C,NOX,9088.651440
p3,WA,EASIUR,H6C,PM25,83091.785393
p3,WA,EASIUR,H6C,SO2,46746.558484
p3,WA,InMAP,ACS,NH3,3413.244224
p3,WA,InMAP,ACS,NOX,2854.853099
p3,WA,InMAP,ACS,PM25,4093.118564
p3,WA,InMAP,ACS,SO2,2536.431444
p3,WA,InMAP,ACS,VOC,582.468260
p3,WA,InMAP,H6C,NH3,8768.170722
p3,WA,InMAP,H6C,NOX,7333.481776
p3,WA,InMAP,H6C,PM25,10514.989674
p3,WA,InMAP,H6C,SO2,6515.352674
p3,WA,InMAP,H6C,VOC,1494.983876
p30,AZ,AP2,ACS,NH3,8248.701242
p30,AZ,AP2,ACS,NOX,3861.291043
p30,AZ,AP2,ACS,PM25,11272.066422
p30,AZ,AP2,ACS,SO2,8909.027861
p30,AZ,AP2,ACS,VOC,1387.120230
p30,AZ,AP2,H6C,NH3,21192.037115
p30,AZ,AP2,H6C,NOX,9919.349152
p30,AZ,AP2,H6C,PM25,28960.048480
p30,AZ,AP2,H6C,SO2,22888.631595
p30,AZ,AP2,H6C,VOC,3562.397262
p30,AZ,EASIUR,ACS,NH3,7177.228285
p30,AZ,EASIUR,ACS,NOX,1071.957380
p30,AZ,EASIUR,ACS,PM25,21361.612815
p30,AZ,EASIUR,ACS,SO2,8331.271111
p30,AZ,EASIUR,H6C,NH3,18439.073580
p30,AZ,EASIUR,H6C,NOX,2752.641097
p30,AZ,EASIUR,H6C,PM25,54883.384340
p30,AZ,EASIUR,H6C,SO2,21404.186045
p30,AZ,InMAP,ACS,NH3,16146.935980
p30,AZ,InMAP,ACS,NOX,5918.483293
p30,AZ,InMAP,ACS,PM25,28946.082250
p30,AZ,InMAP,ACS,SO2,10604.015036
p30,AZ,InMAP,ACS,VOC,2574.075337
