from_ba,to_ba,WKT
p74,p68,"LINESTRING(-87.4065875668684 46.5467311798901,-93.9991567400719 44.1636208283181)"
p38,p78,"LINESTRING(-96.729997804536 43.5499890330683,-89.4011169858218 43.0730155630143)"
p78,p38,"LINESTRING(-89.4011169858218 43.0730155630143,-96.729997804536 43.5499890330683)"
p174,p192,"LINESTRING(-99.0146229506645 22.0562165828326,-96.731002823498 17.4607698278138)"
p192,p174,"LINESTRING(-96.731002823498 17.4607698278138,-99.0146229506645 22.0562165828326)"
p42,p46,"LINESTRING(-95.98582149 47.536101,-91.2394285499568 43.8013690379522)"
p46,p42,"LINESTRING(-91.2394285499568 43.8013690379522,-95.98582149 47.536101)"
p146,p75,"LINESTRING(-80.6923455145141 43.5705988144701,-88.0000138770922 44.5299808950513)"
p75,p146,"LINESTRING(-88.0000138770922 44.5299808950513,-80.6923455145141 43.5705988144701)"
p129,p152,"LINESTRING(-73.2124668799627 44.4757981557933,-66.3733859464408 46.6103369615523)"
p152,p129,"LINESTRING(-66.3733859464408 46.6103369615523,-73.2124668799627 44.4757981557933)"
p31,p33,"LINESTRING(-106.641330812388 35.104974791498,-104.985961810968 39.7411339069655)"
p33,p31,"LINESTRING(-104.985961810968 39.7411339069655,-106.641330812388 35.104974791498)"
p66,p90,"LINESTRING(-94.101682781739 30.086263040176,-88.0499849871184 30.6800252472094)"
p90,p66,"LINESTRING(-88.0499849871184 30.6800252472094,-94.101682781739 30.086263040176)"
p131,p119,"LINESTRING(-71.0719595321869 42.3319060017023,-77.8602452002939 40.7937231639167)"
p170,p188,"LINESTRING(-98.2849872683049 25.8163982813975,-97.7701586082275 20.8348214371417)"
p188,p170,"LINESTRING(-97.7701586082275 20.8348214371417,-98.2849872683049 25.8163982813975)"
p157,p201,"LINESTRING(-111.266519364596 29.9936882178759,-116.63275694709 32.3896656272299)"
p201,p157,"LINESTRING(-116.63275694709 32.3896656272299,-111.266519364596 29.9936882178759)"
p131,p147,"LINESTRING(-71.0719595321869 42.3319060017023,-77.2746449287163 44.9496898234213)"
p147,p131,"LINESTRING(-77.2746449287163 44.9496898234213,-71.0719595321869 42.3319060017023)"
p133,p121,"LINESTRING(-71.4169255559512 41.8230481729244,-77.7202795834312 39.6416487824015)"
p66,p85,"LINESTRING(-94.101682781739 30.086263040176,-92.3310931821225 34.7360825795826)"
p85,p66,"LINESTRING(-92.3310931821225 34.7360825795826,-94.101682781739 30.086263040176)"
p130,p119,"LINESTRING(-71.4552873145261 42.9959918406833,-77.8602452002939 40.7937231639167)"
p129,p119,"LINESTRING(-73.2124668799627 44.4757981557933,-77.8602452002939 40.7937231639167)"
p125,p111,"LINESTRING(-75.52098513 39.16083229,-81.6969440699897 41.4719326537173)"
p48,p65,"LINESTRING(-101.87996769388 33.5800032745648,-98.5092511989633 29.489279048526)"
p65,p48,"LINESTRING(-98.5092511989633 29.489279048526,-101.87996769388 33.5800032745648)"
p123,p133,"LINESTRING(-77.0113644394371 38.901495235087,-71.4169255559512 41.8230481729244)"
p133,p123,"LINESTRING(-71.4169255559512 41.8230481729244,-77.0113644394371 38.901495235087)"
p31,p60,"LINESTRING(-106.641330812388 35.104974791498,-101.475186199737 32.2431856476064)"
p60,p31,"LINESTRING(-101.475186199737 32.2431856476064,-106.641330812388 35.104974791498)"
p24,p25,"LINESTRING(-104.819710735883 41.1400069367046,-111.931997781048 40.7769621540401)"
p25,p24,"LINESTRING(-111.931997781048 40.7769621540401,-104.819710735883 41.1400069367046)"
p157,p160,"LINESTRING(-111.266519364596 29.9936882178759,-108.208882912979 25.7583536915336)"
p160,p157,"LINESTRING(-108.208882912979 25.7583536915336,-111.266519364596 29.9936882178759)"
p92,p116,"LINESTRING(-86.76913977 36.1715035299999,-81.5616471778477 39.2666587514756)"
p124,p110,"LINESTRING(-75.74237466 37.71080118,-82.52436295 37.4804456)"
p158,p47,"LINESTRING(-109.478722970365 30.4118017092501,-104.522467897341 33.3945365590693)"
p47,p158,"LINESTRING(-104.522467897341 33.3945365590693,-109.478722970365 30.4118017092501)"
p55,p92,"LINESTRING(-93.319999228676 37.1800160919621,-86.76913977 36.1715035299999)"
p92,p55,"LINESTRING(-86.76913977 36.1715035299999,-93.319999228676 37.1800160919621)"
p50,p73,"LINESTRING(-97.5206293727874 35.4719888060368,-91.77041486 37.95128631)"
p73,p50,"LINESTRING(-91.77041486 37.95128631,-97.5206293727874 35.4719888060368)"
p45,p80,"LINESTRING(-94.99698758 42.42384459,-87.7520008327093 41.8319365192784)"
p168,p59,"LINESTRING(-102.162149643101 28.3185786352348,-106.511941018331 31.7819298053712)"
p59,p168,"LINESTRING(-106.511941018331 31.7819298053712,-102.162149643101 28.3185786352348)"
p177,p179,"LINESTRING(-99.2177562787674 23.6443324364708,-103.582753625878 20.501585150901)"
p179,p177,"LINESTRING(-103.582753625878 20.501585150901,-99.2177562787674 23.6443324364708)"
p84,p114,"LINESTRING(-90.4026837582867 36.7601967560229,-84.4588685084773 39.1638306436169)"
p43,p71,"LINESTRING(-93.2537321966635 44.9819251260619,-92.5828090838162 40.1936822703596)"
p11,p30,"LINESTRING(-117.18193572866 32.8219696816773,-110.891932066526 32.2069426227557)"
p30,p11,"LINESTRING(-110.891932066526 32.2069426227557,-117.18193572866 32.8219696816773)"
p21,p34,"LINESTRING(-108.395048056861 43.0281604197849,-104.791986329959 38.8629624624115)"
p34,p21,"LINESTRING(-104.791986329959 38.8629624624115,-108.395048056861 43.0281604197849)"
p85,p93,"LINESTRING(-92.3310931821225 34.7360825795826,-86.4436489275417 36.9906994822608)"
p93,p85,"LINESTRING(-86.4436489275417 36.9906994822608,-92.3310931821225 34.7360825795826)"
p202,p205,"LINESTRING(-114.954083348068 30.2430416764861,-112.018510360231 25.9195724170294)"
p205,p202,"LINESTRING(-112.018510360231 25.9195724170294,-114.954083348068 30.2430416764861)"
p158,p205,"LINESTRING(-109.478722970365 30.4118017092501,-112.018510360231 25.9195724170294)"
p205,p158,"LINESTRING(-112.018510360231 25.9195724170294,-109.478722970365 30.4118017092501)"
p18,p23,"LINESTRING(-111.299987021717 47.500290546756,-105.505250286667 44.2831742544253)"
p23,p18,"LINESTRING(-105.505250286667 44.2831742544253,-111.299987021717 47.500290546756)"
p46,p105,"LINESTRING(-91.2394285499568 43.8013690379522,-85.13065338 41.11969488)"
p85,p108,"LINESTRING(-92.3310931821225 34.7360825795826,-87.113323813612 37.7745792836963)"
p25,p33,"LINESTRING(-111.931997781048 40.7769621540401,-104.985961810968 39.7411339069655)"
p33,p25,"LINESTRING(-104.985961810968 39.7411339069655,-111.931997781048 40.7769621540401)"
p38,p39,"LINESTRING(-96.729997804536 43.5499890330683,-103.660685874225 41.8675077505093)"
p39,p38,"LINESTRING(-103.660685874225 41.8675077505093,-96.729997804536 43.5499890330683)"
p159,p59,"LINESTRING(-109.605571037534 27.5159989649668,-106.511941018331 31.7819298053712)"
p59,p159,"LINESTRING(-106.511941018331 31.7819298053712,-109.605571037534 27.5159989649668)"
p18,p4,"LINESTRING(-111.299987021717 47.500290546756,-119.27649915 47.13184305)"
p4,p18,"LINESTRING(-119.27649915 47.13184305,-111.299987021717 47.500290546756)"
p122,p98,"LINESTRING(-75.1719418320079 40.0019190225265,-78.6446934424845 35.8187813507458)"
p98,p122,"LINESTRING(-78.6446934424845 35.8187813507458,-75.1719418320079 40.0019190225265)"
p18,p21,"LINESTRING(-111.299987021717 47.500290546756,-108.395048056861 43.0281604197849)"
p21,p18,"LINESTRING(-108.395048056861 43.0281604197849,-111.299987021717 47.500290546756)"
p130,p152,"LINESTRING(-71.4552873145261 42.9959918406833,-66.3733859464408 46.6103369615523)"
p152,p130,"LINESTRING(-66.3733859464408 46.6103369615523,-71.4552873145261 42.9959918406833)"
p49,p62,"LINESTRING(-101.479501181834 36.6858085317387,-102.36722477396 31.8455613393366)"
p62,p49,"LINESTRING(-102.36722477396 31.8455613393366,-101.479501181834 36.6858085317387)"
p95,p107,"LINESTRING(-82.3941545020697 34.8529229929944,-87.5558291033274 37.9746962677465)"
p182,p192,"LINESTRING(-101.166961363025 20.4112138645946,-96.731002823498 17.4607698278138)"
p192,p182,"LINESTRING(-96.731002823498 17.4607698278138,-101.166961363025 20.4112138645946)"
p126,p111,"LINESTRING(-74.7433553483933 40.216962503107,-81.6969440699897 41.4719326537173)"
p173,p182,"LINESTRING(-101.203342455042 25.4994310223412,-101.166961363025 20.4112138645946)"
p182,p173,"LINESTRING(-101.166961363025 20.4112138645946,-101.203342455042 25.4994310223412)"
p53,p63,"LINESTRING(-97.32803106 37.69426323,-96.8419627874982 32.8219696816773)"
p63,p53,"LINESTRING(-96.8419627874982 32.8219696816773,-97.32803106 37.69426323)"
p170,p186,"LINESTRING(-98.2849872683049 25.8163982813975,-100.162614869147 21.018617447262)"
p186,p170,"LINESTRING(-100.162614869147 21.018617447262,-98.2849872683049 25.8163982813975)"
p10,p9,"LINESTRING(-118.18192636994 33.9919241087654,-122.417168773552 37.7691956296874)"
p9,p10,"LINESTRING(-122.417168773552 37.7691956296874,-118.18192636994 33.9919241087654)"
p34,p40,"LINESTRING(-104.791986329959 38.8629624624115,-98.357986289243 40.9222682892426)"
p40,p34,"LINESTRING(-98.357986289243 40.9222682892426,-104.791986329959 38.8629624624115)"
p57,p88,"LINESTRING(-94.7402742937857 32.5005342804199,-88.7033301205846 34.2579205515856)"
p88,p57,"LINESTRING(-88.7033301205846 34.2579205515856,-94.7402742937857 32.5005342804199)"
p145,p147,"LINESTRING(-82.2026985499697 48.7649977683787,-77.2746449287163 44.9496898234213)"
p147,p145,"LINESTRING(-77.2746449287163 44.9496898234213,-82.2026985499697 48.7649977683787)"
p184,p192,"LINESTRING(-101.743390938646 19.3606007858006,-96.731002823498 17.4607698278138)"
p192,p184,"LINESTRING(-96.731002823498 17.4607698278138,-101.743390938646 19.3606007858006)"
p147,p115,"LINESTRING(-77.2746449287163 44.9496898234213,-80.0019312526002 40.4319444538432)"
p129,p146,"LINESTRING(-73.2124668799627 44.4757981557933,-80.6923455145141 43.5705988144701)"
p146,p129,"LINESTRING(-80.6923455145141 43.5705988144701,-73.2124668799627 44.4757981557933)"
p64,p86,"LINESTRING(-97.7447242214212 30.2688955442973,-92.1191939715096 32.5096034942871)"
p86,p64,"LINESTRING(-92.1191939715096 32.5096034942871,-97.7447242214212 30.2688955442973)"
p1,p7,"LINESTRING(-122.341930845868 47.5719479125307,-116.96188948756 44.0266266063123)"
p7,p1,"LINESTRING(-116.96188948756 44.0266266063123,-122.341930845868 47.5719479125307)"
p37,p77,"LINESTRING(-96.7894257016716 46.8772278026129,-90.5038920509303 43.9850529165334)"
p77,p37,"LINESTRING(-90.5038920509303 43.9850529165334,-96.7894257016716 46.8772278026129)"
p20,p36,"LINESTRING(-108.54000044944 45.7883020213584,-100.783316285997 46.8083172801516)"
p36,p20,"LINESTRING(-100.783316285997 46.8083172801516,-108.54000044944 45.7883020213584)"
p43,p82,"LINESTRING(-93.2537321966635 44.9819251260619,-89.6700411394687 40.6999821157391)"
p12,p7,"LINESTRING(-119.820009604758 39.5299760122188,-116.96188948756 44.0266266063123)"
p7,p12,"LINESTRING(-116.96188948756 44.0266266063123,-119.820009604758 39.5299760122188)"
p16,p35,"LINESTRING(-112.033301434154 43.4666866242138,-105.839984376838 46.4088842967516)"
p35,p16,"LINESTRING(-105.839984376838 46.4088842967516,-112.033301434154 43.4666866242138)"
p159,p167,"LINESTRING(-109.605571037534 27.5159989649668,-103.999146896244 25.7821659593904)"
p167,p159,"LINESTRING(-103.999146896244 25.7821659593904,-109.605571037534 27.5159989649668)"
p32,p37,"LINESTRING(-103.230557090044 44.080550963409,-96.7894257016716 46.8772278026129)"
p37,p32,"LINESTRING(-96.7894257016716 46.8772278026129,-103.230557090044 44.080550963409)"
p166,p183,"LINESTRING(-105.052527418409 24.232600490598,-104.062775055913 19.1357314587546)"
p183,p166,"LINESTRING(-104.062775055913 19.1357314587546,-105.052527418409 24.232600490598)"
p55,p93,"LINESTRING(-93.319999228676 37.1800160919621,-86.4436489275417 36.9906994822608)"
p126,p134,"LINESTRING(-74.7433553483933 40.216962503107,-70.2152596452502 44.1007047720027)"
p134,p126,"LINESTRING(-70.2152596452502 44.1007047720027,-74.7433553483933 40.216962503107)"
p128,p147,"LINESTRING(-73.25742602 40.80816052,-77.2746449287163 44.9496898234213)"
p147,p128,"LINESTRING(-77.2746449287163 44.9496898234213,-73.25742602 40.80816052)"
p177,p189,"LINESTRING(-99.2177562787674 23.6443324364708,-96.5548543289361 19.0725025885487)"
p189,p177,"LINESTRING(-96.5548543289361 19.0725025885487,-99.2177562787674 23.6443324364708)"
p133,p147,"LINESTRING(-71.4169255559512 41.8230481729244,-77.2746449287163 44.9496898234213)"
p147,p133,"LINESTRING(-77.2746449287163 44.9496898234213,-71.4169255559512 41.8230481729244)"
p94,p117,"LINESTRING(-84.4018952418757 33.8319597126059,-81.6327281104652 38.3497379751048)"
p169,p61,"LINESTRING(-99.3454452788888 26.7668789730515,-102.88091183 30.90188409)"
p61,p169,"LINESTRING(-102.88091183 30.90188409,-99.3454452788888 26.7668789730515)"
p42,p77,"LINESTRING(-95.98582149 47.536101,-90.5038920509303 43.9850529165334)"
p77,p42,"LINESTRING(-90.5038920509303 43.9850529165334,-95.98582149 47.536101)"
p155,p156,"LINESTRING(-56.0238805311544 48.7131734620278,-63.2463204795681 46.4009827781187)"
p156,p155,"LINESTRING(-63.2463204795681 46.4009827781187,-56.0238805311544 48.7131734620278)"
p161,p173,"LINESTRING(-106.935479634913 24.3756966070532,-101.203342455042 25.4994310223412)"
p173,p161,"LINESTRING(-101.203342455042 25.4994310223412,-106.935479634913 24.3756966070532)"
p159,p166,"LINESTRING(-109.605571037534 27.5159989649668,-105.052527418409 24.232600490598)"
p166,p159,"LINESTRING(-105.052527418409 24.232600490598,-109.605571037534 27.5159989649668)"
p76,p71,"LINESTRING(-88.4005062273542 44.2686790151675,-92.5828090838162 40.1936822703596)"
p146,p80,"LINESTRING(-80.6923455145141 43.5705988144701,-87.7520008327093 41.8319365192784)"
p134,p156,"LINESTRING(-70.2152596452502 44.1007047720027,-63.2463204795681 46.4009827781187)"
p156,p134,"LINESTRING(-63.2463204795681 46.4009827781187,-70.2152596452502 44.1007047720027)"
p75,p106,"LINESTRING(-88.0000138770922 44.5299808950513,-86.1719939153852 39.7519342813145)"
p162,p182,"LINESTRING(-105.968131351165 23.196510250903,-101.166961363025 20.4112138645946)"
p182,p162,"LINESTRING(-101.166961363025 20.4112138645946,-105.968131351165 23.196510250903)"
p44,p75,"LINESTRING(-95.78703761 44.44491793,-88.0000138770922 44.5299808950513)"
p75,p44,"LINESTRING(-88.0000138770922 44.5299808950513,-95.78703761 44.44491793)"
p97,p121,"LINESTRING(-80.8319839462883 35.206940384812,-77.7202795834312 39.6416487824015)"
p166,p182,"LINESTRING(-105.052527418409 24.232600490598,-101.166961363025 20.4112138645946)"
p182,p166,"LINESTRING(-101.166961363025 20.4112138645946,-105.052527418409 24.232600490598)"
p18,p7,"LINESTRING(-111.299987021717 47.500290546756,-116.96188948756 44.0266266063123)"
p7,p18,"LINESTRING(-116.96188948756 44.0266266063123,-111.299987021717 47.500290546756)"
p92,p82,"LINESTRING(-86.76913977 36.1715035299999,-89.6700411394687 40.6999821157391)"
p69,p106,"LINESTRING(-92.3427978940366 42.4931543162673,-86.1719939153852 39.7519342813145)"
p15,p18,"LINESTRING(-116.227489870044 43.6085901072873,-111.299987021717 47.500290546756)"
p18,p15,"LINESTRING(-111.299987021717 47.500290546756,-116.227489870044 43.6085901072873)"
p30,p47,"LINESTRING(-110.891932066526 32.2069426227557,-104.522467897341 33.3945365590693)"
p47,p30,"LINESTRING(-104.522467897341 33.3945365590693,-110.891932066526 32.2069426227557)"
p22,p25,"LINESTRING(-106.66107774 44.340041,-111.931997781048 40.7769621540401)"
p25,p22,"LINESTRING(-111.931997781048 40.7769621540401,-106.66107774 44.340041)"
p45,p72,"LINESTRING(-94.99698758 42.42384459,-90.2419263698286 38.6369635781852)"
p50,p86,"LINESTRING(-97.5206293727874 35.4719888060368,-92.1191939715096 32.5096034942871)"
p86,p50,"LINESTRING(-92.1191939715096 32.5096034942871,-97.5206293727874 35.4719888060368)"
p166,p177,"LINESTRING(-105.052527418409 24.232600490598,-99.2177562787674 23.6443324364708)"
p177,p166,"LINESTRING(-99.2177562787674 23.6443324364708,-105.052527418409 24.232600490598)"
p45,p75,"LINESTRING(-94.99698758 42.42384459,-88.0000138770922 44.5299808950513)"
p75,p45,"LINESTRING(-88.0000138770922 44.5299808950513,-94.99698758 42.42384459)"
p164,p60,"LINESTRING(-107.462318821811 30.3622434887791,-101.475186199737 32.2431856476064)"
p60,p164,"LINESTRING(-101.475186199737 32.2431856476064,-107.462318821811 30.3622434887791)"
p45,p73,"LINESTRING(-94.99698758 42.42384459,-91.77041486 37.95128631)"
p146,p76,"LINESTRING(-80.6923455145141 43.5705988144701,-88.4005062273542 44.2686790151675)"
p76,p146,"LINESTRING(-88.4005062273542 44.2686790151675,-80.6923455145141 43.5705988144701)"
p58,p85,"LINESTRING(-90.0419127386428 29.9969483193615,-92.3310931821225 34.7360825795826)"
p85,p58,"LINESTRING(-92.3310931821225 34.7360825795826,-90.0419127386428 29.9969483193615)"
p181,p191,"LINESTRING(-100.758610639159 22.7474689524954,-99.4366141777358 17.5874581040656)"
p191,p181,"LINESTRING(-99.4366141777358 17.5874581040656,-100.758610639159 22.7474689524954)"
p45,p53,"LINESTRING(-94.99698758 42.42384459,-97.32803106 37.69426323)"
p53,p45,"LINESTRING(-97.32803106 37.69426323,-94.99698758 42.42384459)"
p163,p29,"LINESTRING(-106.238907145723 31.1609394588711,-109.16755915 35.69539952)"
p29,p163,"LINESTRING(-109.16755915 35.69539952,-106.238907145723 31.1609394588711)"
p36,p68,"LINESTRING(-100.783316285997 46.8083172801516,-93.9991567400719 44.1636208283181)"
p68,p36,"LINESTRING(-93.9991567400719 44.1636208283181,-100.783316285997 46.8083172801516)"
p171,p64,"LINESTRING(-98.0474693796669 25.1324674394656,-97.7447242214212 30.2688955442973)"
p64,p171,"LINESTRING(-97.7447242214212 30.2688955442973,-98.0474693796669 25.1324674394656)"
p96,p99,"LINESTRING(-79.9921047380627 32.7923769317883,-75.9802645859174 36.8551601927613)"
p99,p96,"LINESTRING(-75.9802645859174 36.8551601927613,-79.9921047380627 32.7923769317883)"
p167,p171,"LINESTRING(-103.999146896244 25.7821659593904,-98.0474693796669 25.1324674394656)"
p171,p167,"LINESTRING(-98.0474693796669 25.1324674394656,-103.999146896244 25.7821659593904)"
p98,p119,"LINESTRING(-78.6446934424845 35.8187813507458,-77.8602452002939 40.7937231639167)"
p29,p33,"LINESTRING(-109.16755915 35.69539952,-104.985961810968 39.7411339069655)"
p33,p29,"LINESTRING(-104.985961810968 39.7411339069655,-109.16755915 35.69539952)"
p97,p112,"LINESTRING(-80.8319839462883 35.206940384812,-82.9919554632241 39.9819202432293)"
p61,p63,"LINESTRING(-102.88091183 30.90188409,-96.8419627874982 32.8219696816773)"
p63,p61,"LINESTRING(-96.8419627874982 32.8219696816773,-102.88091183 30.90188409)"
p160,p178,"LINESTRING(-108.208882912979 25.7583536915336,-104.907286793293 21.4220858927954)"
p178,p160,"LINESTRING(-104.907286793293 21.4220858927954,-108.208882912979 25.7583536915336)"
p17,p35,"LINESTRING(-113.993052614175 46.8722410268966,-105.839984376838 46.4088842967516)"
p35,p17,"LINESTRING(-105.839984376838 46.4088842967516,-113.993052614175 46.8722410268966)"
p157,p27,"LINESTRING(-111.266519364596 29.9936882178759,-114.308278851156 34.4982934763913)"
p27,p157,"LINESTRING(-114.308278851156 34.4982934763913,-111.266519364596 29.9936882178759)"
p96,p110,"LINESTRING(-79.9921047380627 32.7923769317883,-82.52436295 37.4804456)"
p36,p43,"LINESTRING(-100.783316285997 46.8083172801516,-93.2537321966635 44.9819251260619)"
p43,p36,"LINESTRING(-93.2537321966635 44.9819251260619,-100.783316285997 46.8083172801516)"
p53,p84,"LINESTRING(-97.32803106 37.69426323,-90.4026837582867 36.7601967560229)"
p84,p53,"LINESTRING(-90.4026837582867 36.7601967560229,-97.32803106 37.69426323)"
p173,p178,"LINESTRING(-101.203342455042 25.4994310223412,-104.907286793293 21.4220858927954)"
p178,p173,"LINESTRING(-104.907286793293 21.4220858927954,-101.203342455042 25.4994310223412)"
p146,p149,"LINESTRING(-80.6923455145141 43.5705988144701,-74.8472312312428 46.9925202219928)"
p149,p146,"LINESTRING(-74.8472312312428 46.9925202219928,-80.6923455145141 43.5705988144701)"
p140,p141,"LINESTRING(-112.151925867628 51.2844118425023,-115.190117334949 56.1049291802847)"
p141,p140,"LINESTRING(-115.190117334949 56.1049291802847,-112.151925867628 51.2844118425023)"
p131,p120,"LINESTRING(-71.0719595321869 42.3319060017023,-77.64509082 39.93275473)"
p24,p49,"LINESTRING(-104.819710735883 41.1400069367046,-101.479501181834 36.6858085317387)"
p49,p24,"LINESTRING(-101.479501181834 36.6858085317387,-104.819710735883 41.1400069367046)"
p89,p110,"LINESTRING(-86.8249951596396 33.5300063263225,-82.52436295 37.4804456)"
p188,p194,"LINESTRING(-97.7701586082275 20.8348214371417,-93.0258267375822 17.9581365745392)"
p194,p188,"LINESTRING(-93.0258267375822 17.9581365745392,-97.7701586082275 20.8348214371417)"
p20,p39,"LINESTRING(-108.54000044944 45.7883020213584,-103.660685874225 41.8675077505093)"
p39,p20,"LINESTRING(-103.660685874225 41.8675077505093,-108.54000044944 45.7883020213584)"
p126,p147,"LINESTRING(-74.7433553483933 40.216962503107,-77.2746449287163 44.9496898234213)"
p147,p126,"LINESTRING(-77.2746449287163 44.9496898234213,-74.7433553483933 40.216962503107)"
p123,p113,"LINESTRING(-77.0113644394371 38.901495235087,-84.2019332871221 39.7523218545566)"
p163,p28,"LINESTRING(-106.238907145723 31.1609394588711,-112.071937559695 33.5419257363676)"
p28,p163,"LINESTRING(-112.071937559695 33.5419257363676,-106.238907145723 31.1609394588711)"
p159,p202,"LINESTRING(-109.605571037534 27.5159989649668,-114.954083348068 30.2430416764861)"
p202,p159,"LINESTRING(-114.954083348068 30.2430416764861,-109.605571037534 27.5159989649668)"
p31,p61,"LINESTRING(-106.641330812388 35.104974791498,-102.88091183 30.90188409)"
p61,p31,"LINESTRING(-102.88091183 30.90188409,-106.641330812388 35.104974791498)"
p147,p120,"LINESTRING(-77.2746449287163 44.9496898234213,-77.64509082 39.93275473)"
p146,p148,"LINESTRING(-80.6923455145141 43.5705988144701,-73.2941446698144 45.3946750256179)"
p148,p146,"LINESTRING(-73.2941446698144 45.3946750256179,-80.6923455145141 43.5705988144701)"
p31,p52,"LINESTRING(-106.641330812388 35.104974791498,-100.86408654967 37.9752130320694)"
p52,p31,"LINESTRING(-100.86408654967 37.9752130320694,-106.641330812388 35.104974791498)"
p169,p176,"LINESTRING(-99.3454452788888 26.7668789730515,-98.8880381360018 21.5196545172561)"
p176,p169,"LINESTRING(-98.8880381360018 21.5196545172561,-99.3454452788888 26.7668789730515)"
p55,p63,"LINESTRING(-93.319999228676 37.1800160919621,-96.8419627874982 32.8219696816773)"
p63,p55,"LINESTRING(-96.8419627874982 32.8219696816773,-93.319999228676 37.1800160919621)"
p74,p103,"LINESTRING(-87.4065875668684 46.5467311798901,-83.0820016464927 42.3319060017023)"
p54,p107,"LINESTRING(-94.6060400775458 39.1090343683975,-87.5558291033274 37.9746962677465)"
p167,p179,"LINESTRING(-103.999146896244 25.7821659593904,-103.582753625878 20.501585150901)"
p179,p167,"LINESTRING(-103.582753625878 20.501585150901,-103.999146896244 25.7821659593904)"
p95,p113,"LINESTRING(-82.3941545020697 34.8529229929944,-84.2019332871221 39.7523218545566)"
p48,p51,"LINESTRING(-101.87996769388 33.5800032745648,-95.9300207944416 36.120003274575)"
p51,p48,"LINESTRING(-95.9300207944416 36.120003274575,-101.87996769388 33.5800032745648)"
p171,p67,"LINESTRING(-98.0474693796669 25.1324674394656,-95.341925149146 29.8219202431888)"
p67,p171,"LINESTRING(-95.341925149146 29.8219202431888,-98.0474693796669 25.1324674394656)"
p53,p72,"LINESTRING(-97.32803106 37.69426323,-90.2419263698286 38.6369635781852)"
p95,p99,"LINESTRING(-82.3941545020697 34.8529229929944,-75.9802645859174 36.8551601927613)"
p99,p95,"LINESTRING(-75.9802645859174 36.8551601927613,-82.3941545020697 34.8529229929944)"
p167,p61,"LINESTRING(-103.999146896244 25.7821659593904,-102.88091183 30.90188409)"
p61,p167,"LINESTRING(-102.88091183 30.90188409,-103.999146896244 25.7821659593904)"
p189,p181,"LINESTRING(-96.5548543289361 19.0725025885487,-100.758610639159 22.7474689524954)"
p165,p172,"LINESTRING(-106.1153364555 28.0477762634166,-100.422226893188 25.9744104538249)"
p172,p165,"LINESTRING(-100.422226893188 25.9744104538249,-106.1153364555 28.0477762634166)"
p124,p133,"LINESTRING(-75.74237466 37.71080118,-71.4169255559512 41.8230481729244)"
p133,p124,"LINESTRING(-71.4169255559512 41.8230481729244,-75.74237466 37.71080118)"
p56,p107,"LINESTRING(-94.1572091082366 36.0629783315409,-87.5558291033274 37.9746962677465)"
p146,p114,"LINESTRING(-80.6923455145141 43.5705988144701,-84.4588685084773 39.1638306436169)"
p54,p68,"LINESTRING(-94.6060400775458 39.1090343683975,-93.9991567400719 44.1636208283181)"
p68,p54,"LINESTRING(-93.9991567400719 44.1636208283181,-94.6060400775458 39.1090343683975)"
p63,p87,"LINESTRING(-96.8419627874982 32.8219696816773,-90.1849967872571 32.2988153269685)"
p87,p63,"LINESTRING(-90.1849967872571 32.2988153269685,-96.8419627874982 32.8219696816773)"
p40,p51,"LINESTRING(-98.357986289243 40.9222682892426,-95.9300207944416 36.120003274575)"
p51,p40,"LINESTRING(-95.9300207944416 36.120003274575,-98.357986289243 40.9222682892426)"
p77,p103,"LINESTRING(-90.5038920509303 43.9850529165334,-83.0820016464927 42.3319060017023)"
p176,p183,"LINESTRING(-98.8880381360018 21.5196545172561,-104.062775055913 19.1357314587546)"
p183,p176,"LINESTRING(-104.062775055913 19.1357314587546,-98.8880381360018 21.5196545172561)"
p45,p83,"LINESTRING(-94.99698758 42.42384459,-88.2041874610773 40.1099922882629)"
p15,p21,"LINESTRING(-116.227489870044 43.6085901072873,-108.395048056861 43.0281604197849)"
p21,p15,"LINESTRING(-108.395048056861 43.0281604197849,-116.227489870044 43.6085901072873)"
p50,p62,"LINESTRING(-97.5206293727874 35.4719888060368,-102.36722477396 31.8455613393366)"
p62,p50,"LINESTRING(-102.36722477396 31.8455613393366,-97.5206293727874 35.4719888060368)"
p175,p191,"LINESTRING(-98.2208072774353 22.8919218594279,-99.4366141777358 17.5874581040656)"
p191,p175,"LINESTRING(-99.4366141777358 17.5874581040656,-98.2208072774353 22.8919218594279)"
p126,p117,"LINESTRING(-74.7433553483933 40.216962503107,-81.6327281104652 38.3497379751048)"
p1,p17,"LINESTRING(-122.341930845868 47.5719479125307,-113.993052614175 46.8722410268966)"
p17,p1,"LINESTRING(-113.993052614175 46.8722410268966,-122.341930845868 47.5719479125307)"
p13,p25,"LINESTRING(-115.221952004694 36.2119436400243,-111.931997781048 40.7769621540401)"
p25,p13,"LINESTRING(-111.931997781048 40.7769621540401,-115.221952004694 36.2119436400243)"
p158,p31,"LINESTRING(-109.478722970365 30.4118017092501,-106.641330812388 35.104974791498)"
p31,p158,"LINESTRING(-106.641330812388 35.104974791498,-109.478722970365 30.4118017092501)"
p13,p30,"LINESTRING(-115.221952004694 36.2119436400243,-110.891932066526 32.2069426227557)"
p30,p13,"LINESTRING(-110.891932066526 32.2069426227557,-115.221952004694 36.2119436400243)"
